User ID;Name;Total;Hunt;Purchase; ;L1 (Hunt);L2 (Hunt);L3 (Hunt);L4 (Hunt);L5 (Hunt); ;L1 (Purchase);L2 (Purchase);L3 (Purchase);L4 (Purchase);L5 (Purchase); ;Points (Hunt);Goal Percentage (Hunt); ;Points (Purchase);Goal Percentage (Purchase); ;First Hunt Time;Last Hunt Time
0;Total;256;256;0;;0;213;40;3;0;;0;0;0;0;0;;0;0%;;0;0%;;2025/17/05 06:00:00;2025/18/05 06:00:00
694991679;Whitey Bay;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;24;100%;;0;0%;;2025/17/05 10:46:02;2025/18/05 05:08:02
604286782;AlexGeoo;9;9;0;;0;9;0;0;0;;0;0;0;0;0;;36;150%;;0;0%;;2025/17/05 20:20:19;2025/17/05 21:39:56
575890186;Amaro Snappe;1;1;0;;0;0;0;1;0;;0;0;0;0;0;;36;150%;;0;0%;;2025/17/05 19:14:18;2025/17/05 19:14:18
763965635;Anton200;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1833982199;ARKERAOSCURA;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;12;50%;;0;0%;;2025/17/05 11:05:59;2025/17/05 22:48:50
393410196;Cores;3;3;0;;0;0;3;0;0;;0;0;0;0;0;;36;150%;;0;0%;;2025/17/05 12:37:18;2025/18/05 00:45:51
831891353;Darkcod;10;10;0;;0;9;1;0;0;;0;0;0;0;0;;48;200%;;0;0%;;2025/17/05 07:03:26;2025/17/05 22:10:32
604850303;Delsy;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;32;133%;;0;0%;;2025/17/05 16:21:20;2025/18/05 00:28:12
1993043416;foodXtrigo;1;1;0;;0;1;0;0;0;;0;0;0;0;0;;4;17%;;0;0%;;2025/18/05 04:28:53;2025/18/05 04:28:53
330034203;Fug4s;6;6;0;;0;4;2;0;0;;0;0;0;0;0;;40;167%;;0;0%;;2025/17/05 10:01:47;2025/17/05 22:13:07
370364111;IGC2024;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;28;117%;;0;0%;;2025/17/05 08:30:51;2025/17/05 23:04:31
807663807;m siu;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;24;100%;;0;0%;;2025/18/05 02:29:29;2025/18/05 03:51:49
397556193;M1ST3RI0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
812137514;MacArthor;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;12;50%;;0;0%;;2025/17/05 14:02:56;2025/17/05 14:02:56
539772248;minipirata;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;28;117%;;0;0%;;2025/17/05 07:16:21;2025/18/05 01:28:24
526729906;nljorge2015;1;1;0;;0;0;0;1;0;;0;0;0;0;0;;36;150%;;0;0%;;2025/17/05 13:58:22;2025/17/05 13:58:22
597088429;WellingtonGF;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;12;50%;;0;0%;;2025/18/05 05:04:53;2025/18/05 05:12:07
635128233;Agent 89;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
323678982;akileskach0;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;32;133%;;0;0%;;2025/17/05 07:54:25;2025/18/05 04:03:28
613081527;Akitedoy;7;7;0;;0;6;1;0;0;;0;0;0;0;0;;36;150%;;0;0%;;2025/17/05 07:01:49;2025/18/05 05:55:35
542599120;best bby;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;28;117%;;0;0%;;2025/17/05 12:49:47;2025/18/05 05:53:28
607053196;BlitzWolf So;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
736862175;bocajrss;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;28;117%;;0;0%;;2025/17/05 15:01:17;2025/18/05 03:39:43
831518455;craxus;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;12;50%;;0;0%;;2025/17/05 21:48:30;2025/17/05 21:48:30
645296234;Crazy Apple;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;32;133%;;0;0%;;2025/17/05 08:32:33;2025/18/05 04:04:39
555155242;CryWolf0000o;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;24;100%;;0;0%;;2025/17/05 18:21:26;2025/18/05 01:10:39
1769404856;DanielCPM;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;24;100%;;0;0%;;2025/17/05 10:56:45;2025/17/05 23:11:49
734692503;Death lol;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
773316046;Delsy14;7;7;0;;0;6;1;0;0;;0;0;0;0;0;;36;150%;;0;0%;;2025/17/05 07:44:05;2025/18/05 03:04:00
653073693;Dinamita000;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
569380928;Dixon124;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;28;117%;;0;0%;;2025/17/05 19:32:03;2025/18/05 05:00:41
754302043;Dixon93;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;24;100%;;0;0%;;2025/18/05 05:08:30;2025/18/05 05:31:02
599972863;EL  MATADOR7;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;8;33%;;0;0%;;2025/17/05 09:34:48;2025/17/05 09:35:35
637864327;eslam777;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
540397145;esperion2019;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;12;50%;;0;0%;;2025/17/05 14:11:04;2025/17/05 14:11:04
706874998;Franking127;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1031131246;FREEPALEST1N;2;2;0;;0;1;1;0;0;;0;0;0;0;0;;16;67%;;0;0%;;2025/17/05 11:45:27;2025/17/05 19:40:56
683110836;FugasBrave;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;20;83%;;0;0%;;2025/17/05 09:51:28;2025/18/05 02:03:34
707169548;FugasDark;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;20;83%;;0;0%;;2025/17/05 06:41:32;2025/18/05 03:37:20
1401208142;FugasMin;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;8;33%;;0;0%;;2025/17/05 11:53:33;2025/17/05 22:28:57
1436843562;FugasPed;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;12;50%;;0;0%;;2025/17/05 12:32:33;2025/18/05 03:46:19
817382736;Gandalf JB;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;20;83%;;0;0%;;2025/18/05 01:39:47;2025/18/05 01:43:35
991824699;Hinata198;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
950815929;JASP Cosmos;3;3;0;;0;1;2;0;0;;0;0;0;0;0;;28;117%;;0;0%;;2025/17/05 12:49:19;2025/18/05 02:52:45
604177155;Knight Lute;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
773085582;Lazy Reader;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;28;117%;;0;0%;;2025/17/05 09:31:40;2025/18/05 00:13:06
646388458;LORD ISRAFEL;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1821947720;momonga2224;1;1;0;;0;1;0;0;0;;0;0;0;0;0;;4;17%;;0;0%;;2025/18/05 05:15:03;2025/18/05 05:15:03
570114869;MP I;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;32;133%;;0;0%;;2025/17/05 07:42:42;2025/18/05 01:18:08
370384111;mvk11;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;20;83%;;0;0%;;2025/17/05 13:32:02;2025/18/05 00:45:46
529943604;Pak0o;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;32;133%;;0;0%;;2025/17/05 16:42:00;2025/18/05 00:47:03
267701285;RaMiiReZz;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;32;133%;;0;0%;;2025/17/05 06:10:18;2025/17/05 23:19:35
385544387;SPaRRoWdark;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;32;133%;;0;0%;;2025/17/05 09:34:23;2025/18/05 02:42:38
795567443;stev123;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
633176319;tesoropirata;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;12;50%;;0;0%;;2025/17/05 12:10:33;2025/18/05 02:05:54
576959111;Tholin;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
742450424;Tuerto;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;24;100%;;0;0%;;2025/17/05 11:09:36;2025/18/05 01:31:43
830596565;Ven Ktecacho;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;24;100%;;0;0%;;2025/17/05 08:07:46;2025/17/05 22:23:07
603429642;Viriato III;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;32;133%;;0;0%;;2025/17/05 07:36:14;2025/18/05 01:09:53
773606034;XxTurGuTxX;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;24;100%;;0;0%;;2025/17/05 10:31:00;2025/18/05 04:16:14
649129633;Dragonear;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;28;117%;;0;0%;;2025/17/05 07:56:37;2025/18/05 02:37:38
744236892;Fortus2556;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
811788517;hasan dmr;2;2;0;;0;1;1;0;0;;0;0;0;0;0;;16;67%;;0;0%;;2025/18/05 01:01:55;2025/18/05 01:04:28
773025853;Huntsman198;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
824269943;I N X 92;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
671971498;Joss  Lr;1;1;0;;0;1;0;0;0;;0;0;0;0;0;;4;17%;;0;0%;;2025/17/05 11:28:37;2025/17/05 11:28:37
