Name;Completed;Total;Score;Completed Bonus
foodXtrigo;10;10;2168;No
Darkcod;10;10;2131;No
Cores;10;10;2125;No
lxlpersa;10;10;2113;No
Ningguan;10;10;2102;No
RaMiiReZz24;10;10;2083;No
EL  MATADOR7;10;10;2076;No
Lazy Reader;10;10;2047;No
arkdarkangel;10;10;2019;No
DanielCPM;10;10;2018;No
FugasDark;10;10;2016;No
FugasPed;10;10;2013;No
Ven Ktecacho;10;10;2010;No
Tuerto;10;10;2010;No
Akitedoy;10;10;2010;No
Amaro Snappe;10;10;2010;No
akileskach0;10;10;2010;No
FugasBrave;10;10;1996;No
Dragonear;10;10;1930;No
Uriel 25;10;10;1929;No
LORD ISRAFEL;9;10;1919;No
AlexGeoo;10;10;1907;No
WellingtonGF;10;10;1905;No
stev123;10;10;1903;No
RaMiiReZz1;10;10;1887;No
tesoropirata;10;10;1884;No
Agent 89;10;10;1881;No
FugasMin;10;10;1879;No
M1ST3RI0;10;10;1870;No
bocajrss;10;10;1868;No
MapleQoQleaf;10;10;1867;No
LordFranking;10;10;1856;No
XxTurGuTxX;10;10;1855;No
MacArthor;10;10;1854;No
best bby;9;10;1850;No
minipirata;10;10;1848;No
craxus;10;10;1847;No
hasan dmr;10;10;1846;No
Gandalf JB;10;10;1845;No
RaMiiReZz;10;10;1835;No
m siu;10;10;1834;No
RockDXebe;10;10;1834;No
Anton200;10;10;1833;No
mvk11;10;10;1827;No
Viriato III;10;10;1821;No
Crazy Apple;10;10;1820;No
nljorge2015;10;10;1813;No
Dinamita000;10;10;1806;No
Huntsman198;10;10;1805;No
Delsy14;9;10;1804;No
JASP Cosmos;10;10;1803;No
Dixon124;9;9;1803;No
CapitanLuffy;10;10;1801;No
IGC2024;10;10;1798;No
Hinata198;10;10;1797;No
Fortus2556;10;10;1797;No
Franking127;10;10;1796;No
Fug4s;10;10;1792;No
Whitey Bay;10;10;1782;No
Pak0o;10;10;1780;No
I N X 92;10;10;1776;No
MP I;10;10;1774;No
SPaRRoWdark;10;10;1766;No
YINGYANG SOO;10;10;1765;No
ARKERAOSCURA;10;10;1764;No
CryWolf0000o;10;10;1761;No
toma toma ch;10;10;1759;No
Delsy;10;10;1747;No
momonga2224;9;10;1743;No
Silsamun;10;10;1743;No
MR Clipper;9;10;1727;No
Knight Lute;9;10;1726;No
Tholin;9;10;1713;No
esperion2019;9;10;1699;No
