IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1993043416;foodXtrigo;RANK4;31899159;31743756;155403;1611;1611;0;
1833982199;ARKERAOSCURA;RANK4;177829133;177627303;201830;1231846;1231846;0;
1821947720;momonga2224;RANK3;139803865;139575766;228099;2306440;2306440;0;
1769404856;DanielCPM;RANK3;473822099;473501292;320807;2666839;2666839;0;
1436843562;FugasPed;RANK3;222693955;222435315;258640;620706;620706;0;
1401208142;FugasMin;RANK3;212052153;203219073;8833080;944219;944219;0;
1349735167;toma toma ch;RANK2;328090010;328090010;0;692001;692001;0;
1031131246;FREEPALEST1N;RANK3;632339355;631658131;681224;113096459;113096459;0;
991824699;Hinata198;RANK3;319421221;316502216;2919005;2776922;2776922;0;
970682298;LordFranking;RANK2;693548006;692670096;877910;11299315;11299315;0;
950815929;JASP Cosmos;RANK3;852076271;851852999;223272;7968078;7968078;0;
832148490;Ningguan;RANK2;354633333;354531333;102000;26770816;26770816;0;
831891353;Darkcod;RANK4;1140141495;1138750695;1390800;51058234;51058234;0;
831518455;craxus;RANK3;929011866;925433237;3578629;22021878;22021878;0;
830851438;arkdarkangel;RANK1;8715548;8671434;44114;12743;12743;0;
830596565;Ven Ktecacho;RANK3;946190912;946087054;103858;63378815;63378815;0;
826839849;Uriel 25;RANK2;505504604;503508908;1995696;17865354;17865354;0;
824269943;I N X 92;RANK2;466221412;479054316;-12832904;237200;217740;19460;
817382736;Gandalf JB;RANK3;926907455;926907455;0;24702614;24702614;0;
812137514;MacArthor;RANK4;1302436274;1302386714;49560;203137722;203137722;0;
811788517;hasan dmr;RANK2;868252714;868273630;-20916;10019808;10019808;0;
807663807;m siu;RANK4;1008320733;1008303750;16983;86727119;86727119;0;
795567443;stev123;RANK3;875724180;875724180;0;23207939;23207939;0;
779484501;lxlpersa;RANK2;775667079;775606119;60960;10689596;10689596;0;
776648251;RockDXebe;RANK2;80770008;80203008;567000;190062;190062;0;
775199185;CapitanLuffy;RANK1;20690680;20620120;70560;652144;652144;0;
773606034;XxTurGuTxX;RANK3;788327172;788266212;60960;4216838;4216838;0;
773316046;Delsy14;RANK3;1022020468;1021864468;156000;18578403;18578403;0;
773085582;Lazy Reader;RANK3;656650042;656458522;191520;9801157;9801157;0;
773025853;Huntsman198;RANK2;604621310;604621310;0;11131838;11131838;0;
763965635;Anton200;RANK4;1077065254;1035128437;41936817;43985378;43985378;0;
754302043;Dixon93;RANK3;664752400;664670038;82362;6131826;6131826;0;
744236892;Fortus2556;RANK2;274191847;274191847;0;115994;115994;0;
742450424;Tuerto;RANK3;419777419;419777419;0;438791;438791;0;
736862175;bocajrss;RANK3;379304510;379200674;103836;9523894;9523894;0;
734692503;Death lol;RANK3;621702212;620917362;784850;102721966;102721966;0;
725176675;RaMiiReZz1;RANK2;1379987538;1379343538;644000;52343133;52343133;0;
707169548;FugasDark;RANK3;328907020;324478036;4428984;111552;111552;0;
706874998;Franking127;RANK3;1027643874;1027543994;99880;26543601;26543601;0;
704383467;RaMiiReZz24;RANK2;269050492;269050492;0;1800912;1800912;0;
694991679;Whitey Bay;RANK5;2019086149;2019086149;0;1117661616;1117661616;0;
689020679;VALIR LM;RANK2;967421225;967265225;156000;61235575;61235575;0;
683110836;FugasBrave;RANK3;323045383;322761223;284160;239868;239868;0;
671971498;Joss  Lr;RANK2;756371710;756371710;0;22744965;22744965;0;
664334180;YINGYANG SOO;RANK2;619028867;619028867;0;63405678;63405678;0;
653073693;Dinamita000;RANK3;526077206;526077206;0;1417271;1417271;0;
649129633;Dragonear;RANK2;729786640;729778000;8640;6403310;6403310;0;
646388458;LORD ISRAFEL;RANK3;1350952587;1504459036;-153506449;81178924;78109250;3069674;
645296234;Crazy Apple;RANK3;494429530;494415130;14400;55654;55654;0;
637864327;eslam777;RANK3;630689736;630661808;27928;15721536;15721536;0;
635128233;Agent 89;RANK3;651300757;651300757;0;15591392;15591392;0;
633176319;tesoropirata;RANK3;149836143;149792643;43500;520523;520523;0;
613081527;Akitedoy;RANK3;1528136780;1527908780;228000;113733914;113733914;0;
612315254;N1GGA 777;RANK2;794273102;794273102;0;69895491;69895491;0;
607053196;BlitzWolf So;RANK3;859284442;859284442;0;87162052;87162052;0;
604850303;Delsy;RANK4;1027325758;1027437502;-111744;53134588;53134588;0;
604578125;Niga777 Oww;RANK2;1085980996;1085980996;0;185001271;185001271;0;
604286782;AlexGeoo;RANK4;1864039093;1864039093;0;651148523;651148523;0;
604177155;Knight Lute;RANK3;663474650;663474650;0;14431843;14431843;0;
603429642;Viriato III;RANK3;1086944744;1086944744;0;15274219;15274219;0;
599972863;EL  MATADOR7;RANK3;624856928;624856928;0;19832904;19832904;0;
597088429;WellingtonGF;RANK4;989718606;879514109;110204497;11431310;11431310;0;
576959111;Tholin;RANK3;1188047017;1187931417;115600;16616841;16616841;0;
575890186;Amaro Snappe;RANK4;2218366030;2218364794;1236;335886074;335886074;0;
570114869;MP I;RANK3;1150478513;1150478513;0;20567815;20567815;0;
569380928;Dixon124;RANK3;1426855370;1419013308;7842062;40041813;40041813;0;
555155242;CryWolf0000o;RANK3;1099271627;1065898311;33373316;323656592;323617599;38993;
542599120;best bby;RANK3;489741347;488595361;1145986;147720579;147720579;0;
540397145;esperion2019;RANK3;889976942;880386484;9590458;23229401;23229401;0;
539772248;minipirata;RANK4;1193519470;1193519470;0;34441601;34441601;0;
529943604;Pak0o;RANK3;893513208;892873208;640000;23887686;23887686;0;
526729906;nljorge2015;RANK4;2617853136;2617736179;116957;31242414;31242414;0;
506401310;HB Lord Dark;RANK1;1383579232;1383594312;-15080;102845726;102845726;0;
505538613;ZEYAD777;RANK2;559451315;548830782;10620533;5825422;5825422;0;
430250713;Silsamun;RANK2;1018982230;1018982230;0;82719684;82719684;0;
397556193;M1ST3RI0;RANK4;1474893214;1472265730;2627484;46203445;46203445;0;
393410196;Cores;RANK4;1853508848;1853091464;417384;75575126;75575126;0;
389766574;MR Clipper;RANK2;739491194;739358194;133000;9446482;9446482;0;
385544387;SPaRRoWdark;RANK3;1536735723;1536701047;34676;52897303;52897303;0;
370384111;mvk11;RANK3;425414610;408928456;16486154;6419386;6419386;0;
370364111;IGC2024;RANK4;1494136908;1492799396;1337512;45208538;45028538;180000;
362884157;MapleQoQleaf;RANK2;1220639082;1220027956;611126;69339914;69339914;0;
330034203;Fug4s;RANK4;1258205141;1256656528;1548613;93812989;93812989;0;
323678982;akileskach0;RANK3;1307709536;1307553536;156000;205779113;205779113;0;
267701285;RaMiiReZz;RANK3;689875602;689701482;174120;11882951;11882951;0;
