IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1991436921;Name Less 02;RANK3;72174564;70389429;1785135;3979959;3979959;0;
1976370463;Rohit BRH;RANK3;48484596;48284057;200539;21215;21215;0;
1953004725;exparta 300;RANK3;239834229;237549453;2284776;2699189;2699189;0;
1895225525;UlisesLara 1;RANK1;51062108;50792170;269938;470072;470072;0;
1878226755;Mdosman 01;RANK3;240807016;240970041;-163025;1157908;1157908;0;
1876991620;mdosman 02;RANK3;37019512;36906285;113227;36407;36407;0;
1865655896;Arnald;RANK3;155381868;155381868;0;417656;417656;0;
1835251519;BD Archer;RANK3;238210735;237155563;1055172;8326848;8326848;0;
1829533916;BD FoYsal22;RANK4;409004081;402305332;6698749;16796351;16796351;0;
1812242908;Davids34;RANK3;58853101;53128186;5724915;1562273;1562273;0;
1805392461;SHOPON Bhai;RANK4;380270044;379628740;641304;2208978;2208978;0;
1798082358;sr tio;RANK1;203860877;203644844;216033;3719698;3719698;0;
1575135925;World kill02;RANK4;288539722;406636024;-118096302;93066785;92078577;988208;
1491111997;ABDUL 420;RANK3;427529925;422585513;4944412;1090405;1090405;0;
1434098193;SAiFuL 0;RANK4;1263736829;1248106515;15630314;28240937;28240937;0;
1430964693;Carneiro34;RANK3;201450965;201396332;54633;693520;693520;0;
1319793618;Koushikpunam;RANK4;636789165;631372366;5416799;7590271;7590271;0;
1291517751;Tex Hik ru;RANK3;297384147;296929348;454799;3009387;3009387;0;
1281971046;Boss X DJ;RANK3;268788150;268788150;0;7752175;7752175;0;
1274053856;ABDUL AKJ;RANK4;1193444360;1193087531;356829;22655297;22655297;0;
1268837245;ADES333;RANK3;787250242;784730309;2519933;20662973;20662973;0;
1259404288;cumbia 21;RANK3;345684986;345588506;96480;4209434;4209434;0;
1248533104;TroyMcClure7;RANK3;26624551;26623731;820;93154;93154;0;
1231864379;Flokitho;RANK4;805173032;800824781;4348251;44145751;44103475;42276;
1230715621;Ulises lara;RANK4;630719163;629924873;794290;12811704;12811704;0;
1218400831;sukis;RANK2;506360078;506360078;0;15529165;15529165;0;
1204061986;rhaenyra85;RANK2;79845778;75150005;4695773;613355;613355;0;
1091346744;artemisa85;RANK2;262465147;262440606;24541;2306096;2306096;0;
1089729250;Rossemberthg;RANK4;1061842987;1058558126;3284861;14176821;14163308;13513;
1089197505;Somrat JS;RANK3;287794479;287728159;66320;7129543;7129543;0;
1059882725;Nena94;RANK4;219286752;219286752;0;4602697;4602697;0;
1052841957;Lagerthaa85;RANK2;469955268;468007523;1947745;6415014;6415014;0;
1037344998;Hades1234569;RANK4;1266342825;1266268281;74544;9770772;9770772;0;
1036562095;Ryzen 9;RANK3;285144920;285178328;-33408;7182983;7182983;0;
1030714087;Maradon4 xRN;RANK2;456974095;456974095;0;44760;44760;0;
1021109878;franco e isa;RANK3;771965659;771600547;365112;3052848;3052848;0;
1020536322;Royal Bangla;RANK4;1485879284;1480978126;4901158;34506159;34506159;0;
1017960864;Darcksider2;RANK1;457565943;457525027;40916;23604137;23604137;0;
1006632236;Fatema Islam;RANK3;703442038;703379638;62400;23755029;23755029;0;
1000860405;Chapolin xRn;RANK4;1811127616;1811121480;6136;178588031;178588031;0;
988897627;Afrodita101;RANK3;1707224978;1707177698;47280;9836512;9836512;0;
988653129;SantiSO;RANK4;627788265;627770265;18000;5268414;5268414;0;
988631428;Saruman X;RANK4;794301538;794269926;31612;13921898;13921898;0;
987468963;DAVIL VIPER;RANK4;1206981059;1206110737;870322;127459702;127459702;0;
976753644;Glad73737373;RANK4;1260534300;1260327174;207126;5775132;5775132;0;
961035645;TAKBIR xD;RANK4;1128941828;1128761830;179998;39428859;39428859;0;
954413696;Napoleon2018;RANK4;799861663;799822163;39500;11087904;11087904;0;
950983102;Jordi  E N P;RANK2;348425540;348425540;0;41644855;41644855;0;
933906112;MURAT 060;RANK3;532941985;524635001;8306984;34701589;34701589;0;
896632660;Destructoski;RANK4;486370451;480219455;6150996;7330408;7330408;0;
896397129;EGY LORD 10;RANK3;137005768;137005768;0;1933364;1933364;0;
886861087;ADES 888;RANK3;1060605102;1056013761;4591341;14366433;14366433;0;
875686253;Yna16;RANK3;465869209;465454273;414936;17566754;17566754;0;
871687154;sreelaxman;RANK4;2105596445;2104409629;1186816;947040606;943574337;3466269;
862668268;Olgiz;RANK3;514352050;511145486;3206564;15165183;15165183;0;
838078071;TexHik pyc;RANK3;877110814;877201730;-90916;9617894;9617894;0;
837112253;borre1421;RANK4;796617911;793533497;3084414;32341320;32341320;0;
836562718;rufo 44;RANK4;714354753;714375103;-20350;36486498;36486498;0;
834188413;3AXAP GALA;RANK3;1018337289;1018443102;-105813;6567719;6567719;0;
829438122;Intel i9;RANK3;465659952;465659954;-2;22830294;22830294;0;
829121660;Desquintador;RANK3;501985385;498282646;3702739;33635985;33635985;0;
822362301;Tourbulence;RANK3;628631617;628543580;88037;14562277;14562277;0;
820039438;laxman11;RANK4;277762065;277199113;562952;829136;829136;0;
813734403;3axap gala U;RANK3;940166381;939731080;435301;8485438;8485438;0;
813359673;juanpablo3;RANK4;1170306662;1170258662;48000;73992123;73992123;0;
812510915;radamanthizz;RANK3;539493386;535867202;3626184;67015395;67015395;0;
812108151;LordTaz20;RANK3;179267304;179212253;55051;4909793;4909793;0;
805478451;AMATEUS;RANK3;1137022975;1137022975;0;271393619;271393619;0;
800319527;Lord Josed;RANK4;853021935;852647535;374400;26359454;26359454;0;
791477549;Arman BRH;RANK4;1649739124;1648859006;880118;138251755;138251755;0;
784399067;Bank Of BNG;RANK3;370850222;370850222;0;39067782;39067782;0;
766917672;ezequiel2B2T;RANK1;161460944;161422499;38445;2358906;2358900;6;
752752544;BDPolice;RANK3;59257085;59257085;0;148335;148335;0;
737959216;robert72 jr;RANK3;110574428;110574428;0;1361969;1361969;0;
722457143;rey d Gondor;RANK4;873663973;873663973;0;187137217;187137217;0;
704183402;davids28;RANK3;337388185;337387969;216;1430294;1430294;0;
686476355;RANA BRH;RANK5;1468869549;1465951105;2918444;521723364;521723364;0;
677337970;SAD1Q;RANK3;969587323;969587323;0;171559696;171559696;0;
