IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1960755471;carloso007;RANK2;23774414;23521940;252474;1067127;1067127;0;
1942772588;coco crocodi;RANK2;116206258;116206258;0;264907;264907;0;
1815015712;100k nomas;RANK2;53384503;53384503;0;49353;49353;0;
1810344189;iguanilla;RANK2;49643745;49636430;7315;1540;1540;0;
1802026617;canaman;RANK2;8972155;10158485;-1186330;14543;14318;225;
1356548453;khalidtortue;RANK3;462700978;462700978;0;3425004;3425004;0;
1310974438;ANTHONY 30;RANK2;293035983;290654678;2381305;7697764;7697764;0;
1284609497;DAVIDll1;RANK2;333366341;333276741;89600;61958663;61958663;0;
1215961243;Arman I;RANK3;1071876577;1071736429;140148;12464571;12464571;0;
1201021682;Raptor1221;RANK2;531805699;531225699;580000;6933309;6933309;0;
1095429556;aluvion;RANK3;669843375;669843375;0;8241867;8241867;0;
1042659181;LadyMdusa;RANK3;527054016;527020966;33050;3038715;3038715;0;
967084961;Lord Chars;RANK3;811404361;810633869;770492;23842304;23842304;0;
953561080;Fernando1x;RANK2;437241742;437241742;0;10776295;10776295;0;
947675815;hector 1234;RANK3;581032082;581032082;0;10691615;10691615;0;
938003679;Javit08;RANK3;1096113209;1095938873;174336;50782304;50782304;0;
929178567;carlos0007;RANK2;521603882;526246150;-4642268;35183631;35183631;0;
923597524;REYDELNORTE;RANK3;775730059;774654316;1075743;38540019;38540019;0;
905196019;khalidcroc;RANK4;1673367158;1672779435;587723;121292660;121292660;0;
890538125;T3oKl3S;RANK2;701423984;701423984;0;3510748;3510748;0;
884002209;sol lit;RANK3;507770794;507633495;137299;4136714;4136714;0;
851839111;LORD MAU II;RANK2;118075350;118075350;0;1537050;1537050;0;
809898713;sr biilz;RANK3;267905269;264593069;3312200;55673838;55673838;0;
791448103;Donisaac;RANK3;1365236326;1364300214;936112;4722399;4722399;0;
783901704;PEKA FAW;RANK4;1108624071;1108624071;0;238505003;238505003;0;
778372342;Devis;RANK4;483784429;483807056;-22627;1185092;1185092;0;
768757451;KRATOS FAW;RANK3;426666533;426666533;0;61898843;61898843;0;
768446678;nenocoketo 9;RANK2;574355495;572821895;1533600;10493007;10493007;0;
752871791;alex160895;RANK2;543154566;543154566;0;10995737;10995737;0;
733895990;Helena I;RANK3;430761020;377749059;53011961;2201349;2198841;2508;
709053949;Alejandro 95;RANK1;738445956;738445956;0;24861320;24861320;0;
702537532;SATANAS A;RANK4;1712924726;1712924726;0;187088997;187088997;0;
692580653;xTROSSx;RANK3;1341570224;1340905208;665016;114330658;114330658;0;
688436236;Reina I;RANK3;690574824;690553309;21515;7894301;7894301;0;
688435792;ElenadTroya;RANK3;553568926;553568926;0;4549714;4549714;0;
673818078;ReinadHielo;RANK3;515782232;515660845;121387;2399952;2399952;0;
667175085;Carl0s007;RANK3;1120102287;1125368571;-5266284;37427493;37427493;0;
663102130;Dhanielo;RANK3;816191187;815017446;1173741;24742088;24742088;0;
647014343;flamenking;RANK4;1589250765;1588402991;847774;97517504;97517504;0;
639485490;Mustafunk;RANK3;917458490;917458490;0;29036534;29036534;0;
635430899;PunisherIsma;RANK3;162927936;162927936;0;138445;138445;0;
634665528;camaleonking;RANK4;1213716188;1213279864;436324;133442901;133442901;0;
631001564;ISalvatoreI;RANK4;516865668;517003152;-137484;4663520;4663520;0;
628506766;alee33;RANK3;450106915;450106915;0;4325692;4325692;0;
617488437;ELMEXICANO;RANK3;794363319;793513072;850247;22497470;22497470;0;
610695403;Aldemar C;RANK2;355726467;355722617;3850;13953426;13953426;0;
608075191;Bank M0RIA;RANK4;697528325;697546902;-18577;115042936;115042936;0;
604038259;Andres37;RANK2;558484874;557225284;1259590;4181212;4181212;0;
603519552;Aalexa12;RANK3;615771521;615771521;0;37541580;37541580;0;
602123489;valee   22;RANK3;1009256933;1009196213;60720;23576929;23576929;0;
598784101;IIThorrII;RANK2;500266795;420487791;79779004;61378517;61378517;0;
595587844;A SAD 1;RANK2;600831806;600829406;2400;12078896;12078896;0;
594179527;Sir Enerway;RANK3;1021214880;1024040048;-2825168;45834266;45834266;0;
594165583;Salva100;RANK5;1080061659;1080756859;-695200;297065311;297065311;0;
593978582;Jobolu;RANK3;1409562900;1405705137;3857763;249137418;249137418;0;
593940146;BnK Mun;RANK3;1315457842;1316950346;-1492504;99246750;99246750;0;
586593035;Coronel10;RANK3;1040237400;1041244959;-1007559;62451699;62451699;0;
583730574;LORD MAUPER;RANK3;268013416;268013416;0;12930938;12930938;0;
572474088;KroKusmagnus;RANK2;1050365228;1050292728;72500;49408873;49408873;0;
567827558;solreina;RANK3;935766542;934526247;1240295;19655943;19655943;0;
566611896;x IGUANA x;RANK4;1003317011;1003343929;-26918;224530512;224530512;0;
563001076;IISL4iF3RII;RANK3;1267306475;1266546007;760468;214233876;214233876;0;
553549765;REY LAGARTO;RANK4;1284312299;1282477485;1834814;1059193852;1059193852;0;
545956721;Rulipzin;RANK2;274689701;274697733;-8032;7115910;7115902;8;
467025259;Javier 1313;RANK3;823440423;823340703;99720;22685901;22685901;0;
446107237;Thanoz C;RANK3;1109682610;1107067914;2614696;26199631;26199631;0;
431737484;Papox;RANK3;1443609940;1443537940;72000;222589701;222589701;0;
424314706;Rulipz;RANK3;1134046076;1133883097;162979;21451088;21451088;0;
400339463;gelhidro;RANK4;1591855700;1591548092;307608;274821094;274780367;40727;
381821409;Pitbull king;RANK3;1552133904;1552133904;0;78405955;78405955;0;
329959173;V KuRaMa V;RANK2;702229105;708912645;-6683540;879739232;879735703;3529;
315971442;Belly Dancer;RANK3;1178367084;1178367084;0;25802340;25802340;0;
