IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1590476720;Eduardo0l;RANK3;870360890;861362286;8998604;11632713;11632713;0;
1315106395;MoisesGSX1;RANK2;1063827937;1064949737;-1121800;15938430;15938430;0;
1285995534;LZ DK;RANK1;309561370;0;0;222826;0;0;
1233886605;KaNiBaLxxx;RANK3;900423958;900423958;0;97862328;97862328;0;
1229388490;John 21;RANK3;520338733;515773541;4565192;26219477;25332545;886932;
1222019264;Xinxing XxX;RANK3;777389394;776739234;650160;63759239;63759239;0;
1112327257;WILO95;RANK2;1013439193;1016496757;-3057564;60741192;59713173;1028019;
1111772841;CHINGATMD2;RANK2;1155358612;1160634916;-5276304;117127769;117127769;0;
1088050196;tincho1986;RANK4;2017918805;2025751552;-7832747;571309354;571309354;0;
1087716151;Manya 1891;RANK3;1238887681;1238887681;0;224287132;224287132;0;
1082085838;Samu 20;RANK4;2152583792;2149902025;2681767;173495438;172827988;667450;
1073377570;teQuila2;RANK3;1088857743;1097428783;-8571040;45186823;42184635;3002188;
1072811614;Lcdo Kenne;RANK4;1083241707;1084755639;-1513932;184046701;183512171;534530;
1064831200;RL Nico;RANK2;642289154;642590510;-301356;89063793;88795169;268624;nisimiya
1054858966;Petette;RANK4;1045301471;1042180473;3120998;97448163;97448163;0;
1051306394;B4BY D4DDY;RANK3;954769044;954769044;0;431388368;431388368;0;
1043146862;xzoux x;RANK4;2000023358;1996072352;3951006;208143113;207892713;250400;
1032147791;DK FANG;RANK4;1127673595;1127499595;174000;854822042;854822042;0;
1023725319;harald f;RANK3;954532016;971579920;-17047904;10284861;9874233;410628;
1013397933;DKSILVERFANG;RANK2;797642527;799024389;-1381862;75494433;75494433;0;
969002939;LionGod22;RANK3;1201340165;1203007289;-1667124;79091008;78230150;860858;
920190504;KidReyhuesos;RANK2;1208607219;1211139423;-2532204;86957608;86957608;0;
912773405;k vaina e;RANK4;1071807805;1091294677;-19486872;95068631;95068631;0;
890682407;CARNAGE  X2;RANK3;1495394570;1494993818;400752;195280297;194974753;305544;
853259245;xX RM Xx;RANK3;1075040376;1074879441;160935;38929751;38929751;0;
841305669;ReyHUESOS;RANK2;1416132703;1415234347;898356;129915175;128222540;1692635;
822057188;FredyMorales;RANK3;629838033;617413211;12424822;166073814;166073814;0;
812939501;IMANOL POOL;RANK3;987205962;987536357;-330395;126523689;123967131;2556558;
810092909;Ayankouji;RANK2;669393185;670167449;-774264;76843689;76184846;658843;
807807227;killua3;RANK2;573357786;570706170;2651616;56174506;56174506;0;
802871640;Oussama TOU;RANK1;791258557;790794028;464529;12658844;12658844;0;
796909256;BERSERK JG;RANK3;1981781320;1977606684;4174636;332058363;329999136;2059227;
796585778;kraken one;RANK2;777704092;777694966;9126;30075468;30075468;0;
796148946;de leon 100;RANK1;969060988;965208221;3852767;188083525;188083525;0;
789402592;xXCH4M4K0Xx;RANK2;1063606487;1063571315;35172;120764073;120764073;0;
779816001;CABALLERO;RANK1;1476520084;1476520084;0;33429232;33429232;0;
771599309;GingiAmano;RANK2;1329560832;1331479964;-1919132;34212439;33989543;222896;
749717599;x Rolex x;RANK3;1006103975;1003313350;2790625;46626801;46626801;0;
747121888;Piojo tuert0;RANK2;842775943;842775943;0;107313006;107313006;0;
742259998;Minilion7;RANK4;579973377;579945537;27840;1429039;1429039;0;
741136368;Bartfort;RANK2;1389749365;1394374490;-4625125;31977942;31148464;829478;
731016587;Ibra 14;RANK3;1346207227;1343554207;2653020;159344843;159344843;0;
726675686;Lionprince19;RANK4;1124274288;1114981628;9292660;75596015;74709474;886541;
715210568;KG Azteka;RANK2;1465246575;1456871778;8374797;587175210;584615910;2559300;
714275405;LIONKING HDe;RANK4;1452747877;1452813073;-65196;299980759;299980005;754;
699145829;luisitoo11;RANK4;1486756246;1486218406;537840;1581408634;1581398337;10297;
693836499;Novacrono J;RANK2;494265812;502937960;-8672148;142692996;142692996;0;
690669443;XxHarley xX;RANK3;1579479706;1578754026;725680;102668603;102668603;0;
679668839;Ripple x;RANK2;982260574;992865190;-10604616;198916651;198916651;0;
670188550;VlM DORUK oo;RANK2;1850645429;1850460973;184456;40195215;40195215;0;
659605690;RisingDead;RANK3;1956729055;1956322414;406641;258650192;258650192;0;
653383050;CHAPOx;RANK3;751104294;750451974;652320;149848666;149848666;0;
628313432;Devastador07;RANK5;1695963788;1685831928;10131860;521697487;519187962;2509525;
614872019;The King Zam;RANK3;1297249118;1298864273;-1615155;520669277;520042826;626451;
612997155;DK Inmortal;RANK3;1287300399;1281818283;5482116;610066722;610066722;0;
611030179;Zeldriz12;RANK3;1515326452;1508236705;7089747;177234520;177234520;0;
605931969;cleopatra 20;RANK4;1082305197;1082305197;0;46359487;46359487;0;
601405279;Guerrero lgd;RANK3;1668863641;1661190441;7673200;213951735;213951735;0;
600987235;xXyankeeXx;RANK2;969934683;973826419;-3891736;114267648;113647949;619699;
596159412;lhuis1978;RANK2;999209890;1016444446;-17234556;41913868;40376228;1537640;
591431749;elvisnav656;RANK3;1635534709;1636412767;-878058;215609698;213763459;1846239;
589457597;CV Jolex21;RANK4;2282347619;2299267175;-16919556;2243214160;2232788357;10425803;
584888654;DK ANA;RANK4;1788733438;1788111382;622056;1183730757;1183730757;0;
577581648;DK Anitta;RANK2;920344408;920210408;134000;21943255;21943255;0;
573524267;DZ baba Yaga;RANK2;1678631542;1678091542;540000;244366407;244366407;0;
571643646;LordMacr;RANK3;1402660174;1403950863;-1290689;49324187;48442448;881739;
562581213;ARGpunisher;RANK2;1132956471;1136726823;-3770352;112806795;112806795;0;
560703645;NOinmortal;RANK3;1050766144;1050558144;208000;176137120;176137120;0;
560117445;Lord JJDH;RANK2;654044070;661145070;-7101000;32131609;32131609;0;
557590533;luisilloo00;RANK2;804751425;804877705;-126280;846825499;844808968;2016531;
547476522;robert1319;RANK2;1282638239;1298136539;-15498300;69566075;68028435;1537640;
538551452;XGargolaX;RANK3;1368837712;1368291712;546000;45313157;45313157;0;
532983430;NaStAr2420;RANK2;1204774323;1204774323;0;97396277;97396277;0;
512074173;Catrachita;RANK2;962611245;962502045;109200;44187136;44187136;0;
506254042;B4RRAKUS;RANK2;1233223680;1232843270;380410;389812142;389812142;0;
500278574;TU MA CHO;RANK2;927806580;927570980;235600;162524661;162524661;0;
463930631;Sugar Nami;RANK3;899136804;899027604;109200;132975206;132975206;0;
457500312;QUEEN NAMI;RANK4;1247294181;1259376827;-12082646;926107027;925526766;580261;
