Name;Completed;Total;Score;Completed Bonus
Grappamen;8;8;1227;No
IsmakingII;8;8;1216;No
Mariscal1;8;8;1182;No
AngelStylexD;8;8;1177;No
chiquistriki;8;8;1174;No
Jessica20a;8;8;1163;No
SiKaRiO34;8;8;1160;No
el triste;8;8;1140;No
Isma King11;7;8;1137;No
noe26;8;8;1135;No
Araucano;8;8;1119;No
pesadilla35;8;8;1118;No
ISIcomp;8;8;1113;No
Gabriela19a;8;8;1111;No
Pesadilla34;8;8;1097;No
Migleon11;8;8;1089;No
sikrio123;8;8;1053;No
Freya12;7;7;1046;No
Gerax 01;7;8;1013;No
celestino1;8;8;1012;No
ESTREllA1284;8;8;985;No
LocoStylexD;7;8;966;No
GabyJr19;8;8;964;No
FelixJr 01;7;8;956;No
celestiales2;7;8;932;No
el yerar 77;8;8;929;No
andy lugo;7;8;929;No
MICHAEL RH;7;7;905;No
Sofia Gk;7;8;888;No
FrikyStylexD;6;7;883;No
Leonidas17;6;6;873;No
Tinaquillo 2;6;6;830;No
Segs33;7;7;817;No
Bizcochito 0;5;6;719;No
El Cuervofer;6;6;699;No
Alberto1010;5;6;695;No
Drawoh PL;6;7;675;No
Oskar78;6;7;653;No
BUSHUSHIMA;6;6;651;No
Lord Free;4;6;571;No
oscuropro1;4;6;535;No
Gabyjr2;4;5;470;No
jocha;3;3;426;No
Vegueta3;3;4;383;No
Moloc;2;2;309;No
Alberto1020;1;3;145;No
WarhammerR17;1;6;143;No
Bank Of LVO;1;1;138;No
Alberto1040;1;2;105;No
Ps57Mazikeen;0;0;0;No
cris100413 2;0;0;0;No
Dj Tauro;0;0;0;No
elmanolillo;0;0;0;No
