IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1836440023;3simsw;RANK2;39276572;39276572;0;533998;533998;0;
1798360495;Sofia Gk;RANK3;13564096;12971527;592569;60323;60323;0;
1747938272;Jessica jr1;RANK3;15807638;15634453;173185;6959;6959;0;
1693201119;Alberto1040;RANK4;85695971;85695971;0;52714;52714;0;
1649828692;LocoStylexD;RANK3;125591750;120219243;5372507;51098;51098;0;
1436605171;Vegueta3;RANK3;379574752;378526752;1048000;4699663;4699663;0;
1315391680;IsmakingII;RANK3;152731972;152632260;99712;2271209;2271209;0;
1289783798;AngelStylexD;RANK3;430374021;430364895;9126;319063;319063;0;
1288474928;WarhammerR17;RANK4;32833103;32829103;4000;24145;24145;0;
1286179845;el yerar 77;RANK3;134806399;134806399;0;360538;360538;0;
1277435704;Lilithk17;RANK3;351001188;351001188;0;10257923;10257923;0;
1264938001;GabyJr19;RANK3;30347290;29219066;1128224;1485256;1485256;0;
1264083790;Leonidas17;RANK3;266281811;266228037;53774;1264473;1264473;0;
1263523353;FrikyStylexD;RANK4;612245165;612216839;28326;1351746;1351746;0;
1260091970;2simsw;RANK3;271008504;271013376;-4872;2132412;2132380;32;
1250284273;Bizcochito 0;RANK3;86683458;86688522;-5064;14303;13871;432;
1246881260;Oskar78;RANK2;131029490;131029490;0;1894805;1894805;0;
1241030674;Gerax 01;RANK3;976425520;976094920;330600;45867120;45867050;70;
1236010610;El Cuervofer;RANK3;388962580;388496056;466524;4346326;4346326;0;
1230161955;andy lugo;RANK3;417786523;417701090;85433;1626932;1626932;0;
1229947599;Tinaquillo 2;RANK2;216376508;216376508;0;3705472;3705472;0;
1229884598;chiquistriki;RANK3;898170001;895488908;2681093;9247994;9237246;10748;
1229771516;jocha;RANK2;821295324;843103808;-21808484;6491431;6329746;161685;
1229658326;noe26;RANK3;838961792;836822654;2139138;12897410;12897410;0;
1229254360;cris100413 2;RANK4;457538992;457538992;0;61037582;61037582;0;
1229168740;LutySkywalkr;RANK3;415211290;415177423;33867;6051771;6051771;0;
1228979362;Mariscal1;RANK4;1044960649;1044994621;-33972;58829415;58829055;360;
1228923680;Isma King11;RANK4;381768406;381758102;10304;5221430;5221430;0;
1228920137;ESTREllA1284;RANK3;354043116;349852559;4190557;3684516;3684516;0;
1228741110;sikrio123;RANK3;790901831;789713105;1188726;7453337;7453337;0;
1228643807;Segs33;RANK3;190635990;190368978;267012;1953959;1953959;0;
1228601943;LordCarverus;RANK5;1077104420;1075603512;1500908;45989869;45989869;0;
1228405371;FelixJr 01;RANK3;33883353;33883353;0;27749;27749;0;
1217886034;Migleon11;RANK3;227549024;227549118;-94;528974;528974;0;
1215158248;Yuli 88;RANK4;996550910;993903486;2647424;11418855;11418855;0;
1215153397;Jessica20a;RANK3;364729673;364339673;390000;13278377;13278259;118;
1214686639;Gabriela19a;RANK3;409968658;409910119;58539;12253006;12252774;232;
1210601117;ISIcomp;RANK3;363690730;363685730;5000;4438675;4438675;0;
1094265960;el triste;RANK3;387002303;387002303;0;4114870;4114870;0;
1093551696;BUSHUSHIMA;RANK3;747154388;747154388;0;9188420;9188420;0;
1084280285;Bank Of LVO;RANK4;277632575;277567179;65396;11936336;11936336;0;
1028518720;Freya12;RANK2;386486707;386446479;40228;3882409;3882409;0;
977609068;3zc4nor;RANK4;321051501;321051501;0;5401872;5401872;0;
977140835;Alberto1010;RANK3;815979508;810678514;5300994;8529165;8529165;0;
942069046;Amores1;RANK3;428660696;428660696;0;1697291;1696957;334;
823340341;Lord Free;RANK2;401354560;401354560;0;12136098;12136098;0;
752206866;Adxniss;RANK1;182958284;191677594;-8719310;3664254;3661309;2945;
741474930;Alberto1020;RANK3;424544045;424544045;0;2036598;2036598;0;
643745670;SIM SW;RANK3;830717255;831749340;-1032085;21535530;21535438;92;
617521930;Thumadree;RANK2;1092884205;1092884205;0;26712566;26712566;0;
583569292;Diego Brito;RANK2;83411228;77534104;5877124;1061071;1061071;0;
554854155;Cenutrio max;RANK2;19636740;19875772;-239032;393382;393298;84;
407737379;elmanolillo;RANK3;635606644;635606644;0;8354216;8354216;0;
401215526;Grappamen;RANK3;1162398282;1162313118;85164;41087879;41087879;0;
317548670;XKingslayer;RANK2;249148215;249135786;12429;22206418;22206418;0;
