IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1919870785;DaMiedo;RANK3;33220902;33157504;63398;673036;673036;0;
1874883805;EJC ASRAEL;RANK3;9335253;9317822;17431;798806;798806;0;
1874334769;EJC YOGUI;RANK3;1197229;1197229;0;272;272;0;
1874330978;EJC PITUFO;RANK3;1103764;1103764;0;74;74;0;
1874327060;EJC PIOLIN;RANK3;859873;859873;0;21;21;0;
1874311284;EJC COYOTE;RANK3;1491599;1491599;0;136;136;0;
1854107901;Foo12;RANK4;55766280;54235273;1531007;466;466;0;
1848598324;abuelo 50;RANK3;67689230;65782262;1906968;1379341;1379341;0;
1793197141;Reina Glori;RANK3;294344915;294227202;117713;9459597;9459597;0;
1768616725;EJC RUNING01;RANK3;13036266;13036266;0;2966;2966;0;
1764120794;EJC GORDON01;RANK3;16317305;16317305;0;8651;8651;0;
1764103300;EJC FLASH01;RANK3;12502906;12502906;0;8288;8288;0;
1764089194;EJC POWER01;RANK3;15789255;15789255;0;2657;2657;0;
1764066592;EJC SUGAR01;RANK3;15552486;15552486;0;1609;1609;0;
1615063548;CaRoS 77;RANK4;687868016;685783316;2084700;35522858;35522858;0;
1491798385;EJC THORPOWE;RANK3;35499991;35499991;0;14769;14769;0;
1491764494;EJC CICLOPE1;RANK3;25683827;25683827;0;5069;5069;0;
1486941293;EJC ARES1;RANK3;30703615;30703615;0;16805;16805;0;
1486900530;EJC ZEUS 1;RANK3;28815421;28815421;0;113080;113080;0;
1486891083;EJC HEFESTO1;RANK3;27117046;27008580;108466;10877;10877;0;
1486845651;EJC ODISEO 1;RANK3;32411027;32401923;9104;15421;15421;0;
1486801699;EJC PERSEO 1;RANK3;35925507;35864497;61010;26131;26131;0;
1486761393;EJC SANSON;RANK3;92140516;92140516;0;58476;58476;0;
1461635621;fernjr;RANK3;178501073;178604333;-103260;2131886;2131886;0;
1428075256;PIKULISIT0;RANK4;27905259;27544929;360330;33308;33308;0;
1403808042;BeeSam;RANK3;92374584;92374560;24;3677481;3677481;0;
1347847775;Philipspro06;RANK4;105961225;105895225;66000;2744406;2744406;0;
1337196418;DiegoC26;RANK4;450401093;446117334;4283759;3956037;3956037;0;
1324949085;EJC GUERREGO;RANK4;145167513;145167513;0;1009165;1009165;0;
1324095470;Philipsproo3;RANK4;280919888;280919888;0;1742987;1742987;0;
1322188763;pecosa1977;RANK3;360619557;359749164;870393;3747196;3747196;0;
1316599481;Chechu0525;RANK4;465771944;465748280;23664;7167894;7167894;0;
1315907918;R3Y DE REY3S;RANK4;452718098;450856369;1861729;11498395;11498395;0;
1311979914;RJwithLuuv;RANK3;367707011;367655011;52000;572110;572110;0;
1310166303;t3qu3;RANK2;432818743;432697753;120990;5246021;5246021;0;
1292987618;Hie12;RANK4;288372451;288291638;80813;12192740;12192740;0;
1289691052;fern0123;RANK4;458265127;458349578;-84451;24354949;24354949;0;
1285613153;Diego26C;RANK4;639465972;636778868;2687104;5628854;5628854;0;
1285562822;AndresZapata;RANK2;452639889;504941580;-52301691;14810158;14670871;139287;
1285501762;REY SUPR3MO;RANK5;722952431;721744721;1207710;27228187;27228187;0;
1285479728;kronosDG;RANK4;342867615;342543339;324276;4184179;4184179;0;
1285442719;Alvin0525;RANK4;489623911;489585535;38376;10179336;10179336;0;
1285437444;Philipspro0;RANK4;660260544;659873706;386838;33155028;33155028;0;
1285037529;LuisGon10;RANK3;438727656;437185134;1542522;4936841;4936841;0;
1285029724;jesus 23;RANK4;576964054;576902254;61800;8632332;8632332;0;
1284636887;jpsg0000;RANK4;693749827;693094971;654856;13416092;13416092;0;
1284344782;PANDA 2023;RANK4;1111716660;1111596660;120000;46333638;46333638;0;
1282924281;Julve15;RANK3;260054729;259956312;98417;3780458;3780458;0;
1282106827;Devora111;RANK1;28799209;28799209;0;563721;563721;0;
1280006431;EJC GUERRECO;RANK4;359493956;359379512;114444;1518963;1518963;0;
1277356854;Philipsproo2;RANK4;236296541;236296541;0;1246450;1246450;0;
1277002298;86jdl86jdl;RANK2;297456138;296917020;539118;4337924;4337924;0;
1273764383;TICOMETAL;RANK3;403358987;403306711;52276;4448036;4448036;0;
1269634830;Philipsproo4;RANK4;323378854;323378854;0;7285373;7285373;0;
1267910371;BBIT0 FIUFIU;RANK4;564078207;564017727;60480;10617115;10617115;0;
