IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1841242271;BenetXD;RANK2;184559128;182021924;2537204;675321;569182;106139;
1406862593;Mini Hel3n4;RANK4;131233230;131405410;-172180;1002754;1002754;0;
1293763466;RYHOMA BANK;RANK2;938644850;935039468;3605382;500046591;500046591;0;RYHOMA RYU
1283970149;Kike1970;RANK3;1362829513;1357343886;5485627;5936184;5936184;0;
1229890014;KI4R4;RANK2;167731862;166120875;1610987;1417957;1417957;0;
1226171089;Persimon;RANK3;1148511572;1135300657;13210915;11585768;11514416;71352;
1218672559;LuzDorada;RANK3;1284344724;1282868704;1476020;68212243;68148888;63355;
1113373295;DRAKARiS;RANK3;1396561474;1371372030;25189444;16225703;16225703;0;
1099565829;Mala noche;RANK3;609418241;606342605;3075636;26046960;26046960;0;
1074293573;1DarkFire1;RANK3;944614997;941205496;3409501;4917834;4917834;0;
1020054742;Perceo;RANK4;1119212014;1110338075;8873939;121452382;121452382;0;
946599901;Deadpool9601;RANK1;605512058;590760024;14752034;51989148;51989148;0;
894633449;El Kraken1;RANK2;1006714822;1003098085;3616737;91864767;91811665;53102;
853735873;I DevineSoul;RANK1;1161033146;0;0;19608609;0;0;
848407805;Titan Batto;RANK3;1503081151;1490334810;12746341;244756219;244753447;2772;
846491933;Sofocles;RANK3;1498189228;1477157243;21031985;195629713;195538429;91284;
840596106;GERSON JH C;RANK2;948922250;938669115;10253135;18545707;18545707;0;
836273340;xNightfallx;RANK4;1488299966;1486791277;1508689;244416043;244416043;0;
835869850;Dragonlord91;RANK3;1662529428;1661237260;1292168;455960568;455938323;22245;
834286083;Beretta99;RANK3;1505205457;1481064543;24140914;375016510;375016510;0;
829821849;jhuuniior;RANK3;1724050577;1716142320;7908257;227685220;227541540;143680;
826681410;SPARTAN721;RANK3;1792974394;1783970048;9004346;450502297;449984895;517402;
826038816;PT Diablo;RANK2;1313459378;1286663030;26796348;90788082;90782676;5406;
822022891;Dafne18;RANK4;598355093;592972237;5382856;122507631;122507631;0;
821212297;Arkantos 69;RANK3;1289592353;1269172398;20419955;369148936;369124528;24408;
820425594;ElReyHelado;RANK2;1038296636;1031683101;6613535;51482704;51482700;4;
814554943;SirAlexGold;RANK3;1844171740;1842615901;1555839;88740481;88376355;364126;
811822862;Psiconauta66;RANK2;779044162;778828434;215728;84562723;84453849;108874;
790967668;xXChArLi3Xx;RANK3;1038524379;1031727934;6796445;200066643;200066643;0;
779091106;M 0 W G L I;RANK2;918048486;913197167;4851319;27098313;27098313;0;
778030136;Oscardcs;RANK2;947666403;946068465;1597938;5423877;5396209;27668;
770013823;ARIES1513;RANK2;482586124;0;0;5163540;0;0;
766982787;Simox91;RANK3;1882565335;1876601647;5963688;904957207;904942698;14509;
755488005;ALREAM;RANK2;1288201085;1268206389;19994696;25954378;25888234;66144;
754677465;HERMANO FIEL;RANK3;1530317016;1533059799;-2742783;364609930;362897977;1711953;
752768898;Ar3ccO;RANK4;1038250800;1025934256;12316544;372476405;372476405;0;
748850018;ARIDER 23;RANK2;1114444136;1101873265;12570871;17115131;17061789;53342;
738738943;SirDarkStrik;RANK1;1698235218;1874519843;-176284625;94087577;90106646;3980931;
726707791;R A K S H A;RANK2;993001629;985622741;7378888;48993008;48993008;0;
711035978;Lord R4YD3N;RANK3;1418949632;1415128699;3820933;195162397;194938919;223478;
703470469;titan lucio;RANK3;959227346;942235550;16991796;564965715;564962171;3544;
700256343;LoboMartin02;RANK3;1341219046;1340779005;440041;70188033;70188033;0;
698094420;AREYESAMAYA;RANK3;1645048224;1624084184;20964040;151371371;150949542;421829;
694109927;Extors;RANK3;1469730119;1461240439;8489680;251639185;247949308;3689877;
689557966;QUETZA7COATL;RANK3;1303248284;1296538265;6710019;18088908;18011691;77217;
687446599;Kaprioty;RANK2;1206916027;1203575252;3340775;30735080;30666606;68474;
681664710;nico0370;RANK2;1228799086;1080132319;148666767;211560524;211560524;0;
674049056;Jinkatama;RANK3;1449863274;1466155399;-16292125;117720376;117334458;385918;
673046859;Qsfh;RANK4;1653852205;1639463103;14389102;340378398;339216152;1162246;
658174520;Xx RaTM xX;RANK4;1277951304;1126062668;151888636;246129641;244934351;1195290;
