Name;Completed;Total;Score;Completed Bonus
khathalina;9;9;1646;No
XxLucy16xX;8;8;1608;No
Lady Vamp8;9;9;1561;No
Mluis179;9;9;1505;No
patagona;9;9;1465;No
lllTANGOlll;9;9;1449;No
viejitoo;9;9;1427;No
AQUELARRE;9;9;1427;No
CarlosMan;9;9;1427;No
XxYurikoxX;9;9;1425;No
MamaSesta;9;9;1421;No
HerNanSCiTo;9;9;1419;No
que mira bob;9;9;1416;No
Coyhaiquina;9;9;1408;No
Giann0;9;9;1408;No
Duncans chef;9;9;1403;No
Ever rich;9;9;1389;No
rata asesina;9;9;1385;No
IrvinSM26;9;9;1378;No
NARUTOSHINPU;9;9;1365;No
x Rey lobo x;9;9;1364;No
ESPIAME ESTA;9;9;1358;No
xx nico xx;9;9;1357;No
vanesi;9;9;1350;No
1Vannessa;9;9;1349;No
Chilotit;9;9;1347;No
XxLadySilxX;9;9;1336;No
XxDuffmanxX;9;9;1330;No
IrvinSM;9;9;1327;No
SANTYYY;9;9;1323;No
brokentheart;9;9;1318;No
sir bastiann;9;9;1314;No
N1ppur;9;9;1308;No
XxPerlyxX;9;9;1307;No
BenTor;9;9;1288;No
paulo1604;9;9;1276;No
Usi340;8;8;1258;No
LORDJUAREZ31;9;9;1257;No
SK You Daddy;9;9;1254;No
TANQUE GM;8;8;1249;No
MizukiBatman;9;9;1242;No
Johanssy;9;9;1239;No
maltacnhuevo;7;9;1222;No
f2pPiKaBoss;8;8;1211;No
C0NEJ0;8;9;1186;No
Al3xander97;8;8;1172;No
WUQINGXY;8;8;1163;No
TOPO YIY0;9;9;1161;No
HFime;8;9;1157;No
KINGYON1;9;9;1156;No
XxCHUKYxX;8;9;1138;No
Selene86;7;7;1085;No
LORDM4RT1NEZ;8;9;1066;No
licantropo;7;8;1056;No
tatto 20;7;7;1018;No
X Psycho xX;7;7;952;No
XGod Anubis;6;6;944;No
Im The SOUL;6;8;873;No
tanquesito;6;7;860;No
terror xtrem;6;6;810;No
lord tanquex;5;6;730;No
Super Tank;5;5;711;No
tank food;5;5;700;No
Martin  43;5;5;684;No
XGod Anubis2;4;4;679;No
rey d3monio;3;4;603;No
MALEFICO;3;4;434;No
maburro ctm;2;3;304;No
Alberto R1;2;2;293;No
Rasmus 1;2;2;287;No
AlbertoR2;1;2;135;No
RT020;1;2;128;No
AlbertoR4;0;1;0;No
Espadas Roja;0;0;0;No
Meikobato;0;0;0;No
zx601;0;0;0;No
NoMolestarX;0;2;0;No
RuhaniCam;0;0;0;No
Granero;0;0;0;No
Pinotea;0;0;0;No
Shinitenshy;0;0;0;No
Real g4;0;0;0;No
In The Soul;0;0;0;No
WU El CAPO;0;0;0;No
Aaddrriiaann;0;0;0;No
