IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1787570362;paulo1604;RANK4;537089164;536993337;95827;7736937;7736937;0;
1326163584;ADAMARI26;RANK2;2544707;1723611;821096;465;465;0;
1287617621;RuhaniCam;RANK2;25831602;25831602;0;25561;25561;0;
1103685981;tank food;RANK4;296920154;296836440;83714;2462434;2462434;0;
1094648511;LORDJUAREZ31;RANK4;123798973;123798973;0;128085;128085;0;
949454072;Mluis179;RANK4;840913885;839654194;1259691;45340605;45340605;0;
949062617;Usi340;RANK4;1918069804;1917419804;650000;123993292;123993292;0;
937941305;MizukiBatman;RANK4;931152667;930631851;520816;81493024;81493024;0;
925761742;Yonii RG;RANK2;383411877;383205481;206396;10659045;10659045;0;
918198297;tanquesito;RANK4;649871492;649655492;216000;6424004;6424004;0;
846573341;maburro ctm;RANK4;1525009121;1524311189;697932;186313271;186313271;0;
844861124;KINGYON1;RANK4;805754906;805242854;512052;14639688;14639688;0;
844625151;HFime;RANK4;552792718;552861410;-68692;7942788;7942788;0;
835099741;Johanssy;RANK4;979908077;979908077;0;7728196;7728196;0;
827694659;HerNanSCiTo;RANK4;1694604947;1694704633;-99686;82773055;82563527;209528;
824235455;XGod Anubis2;RANK4;385989537;385989537;0;5276064;5276064;0;
809309200;tatto 20;RANK4;508630601;506704821;1925780;82767640;82767640;0;
796997690;XGod Anubis;RANK4;1154458230;1154458230;0;142293571;142293571;0;
772463969;AlbertoR4;RANK4;286670300;286039060;631240;1357979;1357979;0;
764366507;SK You Daddy;RANK4;953266844;953392280;-125436;212211108;212211108;0;
753327750;Granero;RANK4;645640810;645640810;0;4994687;4994687;0;
751696444;Pinotea;RANK4;578501551;578501551;0;22101320;22101320;0;
739205877;viejitoo;RANK4;1689255657;1689295001;-39344;1446696052;1446696052;0;
728888893;Espadas Roja;RANK4;39598439;39598439;0;582240;582240;0;
718218085;que mira bob;RANK4;1141859599;1139907258;1952341;121264749;121264749;0;
712279144;Miami fc;RANK3;864298963;864298963;0;344370284;344370284;0;
702239037;IrvinSM;RANK4;491564317;491564317;0;6270477;6270477;0;
694876933;maltacnhuevo;RANK4;1015121907;1015106907;15000;80413678;80413678;0;
678137938;S0FISTA;RANK4;1033534744;1033557568;-22824;78742301;78742301;0;
672413075;Rasmus 1;RANK4;509119552;508558432;561120;12454547;12443990;10557;
662280632;khathalina;RANK4;975523674;975523674;0;3981797;3981797;0;
655921445;IrvinSM26;RANK4;1008052547;1007561147;491400;206467187;206467187;0;
655010613;brokentheart;RANK4;1216009739;1214554340;1455399;65868098;65868098;0;
645708235;patagona;RANK4;887077552;886561612;515940;20507382;20507382;0;
630341892;C0NEJ0;RANK4;248769572;247375472;1394100;679451;679451;0;
624903095;Shinitenshy;RANK4;1245488206;1243192330;2295876;479717319;479717319;0;
624602047;Chilotit;RANK4;835634715;834517991;1116724;4794765;4794765;0;
622191815;rey d3monio;RANK4;215391132;215383132;8000;680808;680808;0;
585650306;ESPIAME ESTA;RANK4;1130914689;1129444447;1470242;73757997;73757997;0;
584380599;AlbertoR2;RANK4;496278920;493811980;2466940;15003538;15003538;0;
581678141;MamaSesta;RANK4;1180266787;1179305289;961498;85407182;85407182;0;
581670059;XxLadySilxX;RANK4;687121092;687190356;-69264;50210056;50191193;18863;
578070951;DsantyCC;RANK4;669226658;669285554;-58896;3397502;3397502;0;
576251888;Selene86;RANK4;433764941;433931441;-166500;10302858;10302858;0;
576004265;Duncans chef;RANK4;1434070034;1431230815;2839219;16072032;16072032;0;
575588030;xx nico xx;RANK4;366396476;366397448;-972;14049534;14049534;0;
575170344;sir bastiann;RANK4;827347153;827407885;-60732;4799321;4799321;0;
575112757;Alberto R1;RANK4;497493697;497655275;-161578;14713832;14713832;0;
575042041;XxPerlyxX;RANK4;667714549;666869560;844989;10101753;10101753;0;
567034330;lord tanquex;RANK4;892646141;887093197;5552944;10857757;10857757;0;
565644164;Meikobato;RANK4;208736876;208736876;0;4985673;4985673;0;
563483698;Real g4;RANK3;697025250;697025250;0;81732164;81732164;0;
562681573;XxLucy16xX;RANK4;278788470;278788470;0;29672;29672;0;
558410518;XxYurikoxX;RANK5;1255286581;1254751655;534926;177481902;177481902;0;
557623431;licantropo;RANK4;1270764782;1270296782;468000;75216127;75216127;0;
556904547;X Psycho xX;RANK4;593563704;593563704;0;91323006;91323006;0;
555262823;zx601;RANK3;810631386;810631386;0;16857879;16857879;0;
547863342;NoMolestarX;RANK4;309646807;309625807;21000;31745410;31745410;0;
546955595;Martin  43;RANK3;861005243;860342508;662735;33103468;33103468;0;
543842693;vanesi;RANK4;936801265;936778817;22448;6775117;6775117;0;
543814578;1Vannessa;RANK4;1195328436;1195339994;-11558;5333286;5333286;0;
463937090;Coyhaiquina;RANK4;1172592560;1172779972;-187412;23454058;23454058;0;
461628858;Super Tank;RANK4;1313129102;1313110850;18252;52291344;52291344;0;
446138590;Lady Vamp8;RANK4;1264999516;1262977963;2021553;17859615;17859615;0;
436226230;MALEFICO;RANK3;506805175;506324423;480752;42735754;42735754;0;
430980593;XxCHUKYxX;RANK4;1356398873;1356398873;0;908441361;908441361;0;
408630761;NARUTOSHINPU;RANK4;1162525857;1161996057;529800;69921459;69921459;0;
402264140;terror xtrem;RANK4;835090916;830784156;4306760;96875280;96875280;0;
400641116;TANQUE GM;RANK4;1277986820;1277926254;60566;295818080;295818080;0;
397453130;N1ppur;RANK4;2091909731;2091909731;0;375796609;375796609;0;
396515097;Giann0;RANK4;1022377940;1022198198;179742;86742252;86742252;0;
377334783;WUQINGXY;RANK4;627137837;627077837;60000;32025418;32025418;0;
368801815;x Rey lobo x;RANK4;837912472;837913552;-1080;79234211;79234211;0;
368000441;RT020;RANK3;554434603;554018519;416084;17068936;17068936;0;
366392691;Ever rich;RANK4;1353269720;1352700980;568740;44023674;44023674;0;
360517277;WU El CAPO;RANK4;1395570468;1395570468;0;144175472;144175472;0;
355381625;BenTor;RANK4;768199923;768188855;11068;11262468;11262468;0;
340020311;Al3xander97;RANK4;1219320895;1219320895;0;234691799;234691799;0;
337887912;lllTANGOlll;RANK4;1536061932;1533181765;2880167;161422614;161422614;0;
334814436;CarlosMan;RANK4;983117810;982628570;489240;155994713;155994713;0;
320352921;XxDuffmanxX;RANK4;1350963005;1348581067;2381938;539872580;539872580;0;
315261871;Aaddrriiaann;RANK3;891518085;891518085;0;100877036;100877036;0;
289564205;rata asesina;RANK4;990563198;983763638;6799560;242231351;242223114;8237;
241102972;f2pPiKaBoss;RANK4;1473880863;1471385821;2495042;542452539;542385689;66850;
