IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1949814828;012I;RANK4;14483779;0;0;339;0;0;
1949813949;011I;RANK4;14662737;0;0;545;0;0;
1949808742;010I;RANK4;14568911;0;0;1237;0;0;
1949801565;Numero 9;RANK4;13906857;0;0;604;0;0;
1949796982;I80;RANK4;14324907;0;0;673;0;0;
1949791207;Numero 7;RANK4;14969756;0;0;879;0;0;
1931879126;I13I;RANK3;12603879;12603879;0;6;6;0;
1730021625;COMIDAI4I;RANK3;228563197;228507197;56000;530920;530920;0;
1729946269;COMIDAI5I;RANK3;233981921;233933921;48000;605384;605384;0;
1729863107;COMIDAI6I;RANK3;230192884;230192884;0;786542;786542;0;
1478752261;MINERAL29;RANK4;302666820;302486952;179868;6486067;6486067;0;
1269229262;Ave fenix a;RANK3;202410257;202612801;-202544;4172665;4172665;0;
1260365716;LordMaragon;RANK4;989047613;988960573;87040;1970602;1970602;0;
1252178078;LILITH 7516;RANK3;576706649;576706649;0;53529996;53529996;0;
1098984189;chinchulin72;RANK3;292049724;291147960;901764;9327622;9327622;0;
1066803555;Olli Stark;RANK3;84505861;84382858;123003;660974;660974;0;
941416181;BaldurMini;RANK3;631789825;631660912;128913;4340594;4340594;0;
934101372;FreenBeckyyy;RANK3;520332255;520332255;0;1459376;1459376;0;
926369902;HOOR60;RANK3;748022650;747960250;62400;8906010;8906010;0;
925986669;BALDUR43;RANK3;1271781984;1271682858;99126;18730412;18730412;0;
918572776;ripul 94;RANK4;765478948;763747348;1731600;7733742;7733742;0;
918570565;Lugui81;RANK3;408629136;408629136;0;8579617;8579617;0;
917597247;mausito;RANK3;70949584;70949584;0;13242;13242;0;
906431954;OdiseoV;RANK3;592155633;592155633;0;27638170;27638170;0;
882703268;dariogrande1;RANK3;472787272;472606804;180468;16616149;16616149;0;
862492555;PIEDRAI29;RANK4;712716506;712003514;712992;25945257;25945257;0;
859662206;Calbillo;RANK4;844551560;844551560;0;48978931;48978931;0;
858774151;Pelus0;RANK3;649770812;649428812;342000;21455714;21455714;0;
858385000;Acuabb;RANK3;785685252;785947256;-262004;50562452;50562452;0;
826891117;AAcua;RANK4;1439638200;1431632836;8005364;88408725;88408725;0;
813425406;BurNmaXx;RANK4;943884345;941124910;2759435;37629382;37629382;0;
779995635;VileplumePy;RANK4;920294276;920097410;196866;80791731;80791731;0;
763263786;Purepecha81;RANK4;1031957020;1031477020;480000;80519838;80519838;0;
750391815;Aguila11;RANK3;320936447;320936447;0;2944479;2944479;0;
