User ID;Name;Total;Hunt;Purchase; ;L1 (Hunt);L2 (Hunt);L3 (Hunt);L4 (Hunt);L5 (Hunt); ;L1 (Purchase);L2 (Purchase);L3 (Purchase);L4 (Purchase);L5 (Purchase); ;Points (Hunt);Goal Percentage (Hunt); ;Points (Purchase);Goal Percentage (Purchase); ;First Hunt Time;Last Hunt Time
0;Total;676;676;0;;1;637;30;3;5;;0;0;0;0;0;;0;0%;;0;0%;;2025/23/04 06:00:00;2025/24/04 06:00:00
527571135;Matias8;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/23/04 15:18:35;2025/24/04 04:05:57
562040476;0RickHunter0;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/23/04 13:47:03;2025/23/04 16:14:48
469048815;Ashnyk;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/23/04 12:44:01;2025/24/04 04:35:41
522130170;Campanula13;9;9;0;;0;9;0;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/23/04 09:51:50;2025/24/04 02:47:28
747751737;cyntu;9;9;0;;0;9;0;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/23/04 12:39:05;2025/24/04 01:51:49
436361778;Dariiooo;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;40%;;0;0%;;2025/23/04 08:08:07;2025/23/04 08:15:08
672088260;Dark Mundo;10;10;0;;0;9;0;0;1;;0;0;0;0;0;;27;540%;;0;0%;;2025/23/04 10:24:30;2025/23/04 23:46:35
686099078;Darkgreen;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/23/04 21:28:24;2025/23/04 21:32:19
687037882;El Dorado;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/23/04 09:06:50;2025/24/04 04:10:10
527850333;FedEx2021;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 16:43:57;2025/24/04 04:40:40
579115818;Felipe8;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 07:42:54;2025/24/04 03:47:13
653763973;Fifi fifone;12;12;0;;0;12;0;0;0;;0;0;0;0;0;;12;240%;;0;0%;;2025/23/04 12:37:20;2025/24/04 01:54:11
665549405;giackrox;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
543536478;Juan 7777777;9;9;0;;0;9;0;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/23/04 07:27:25;2025/23/04 15:21:28
531603934;JustLau;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 08:23:53;2025/24/04 05:37:44
340479367;lBerrinchesl;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 10:16:39;2025/24/04 03:21:03
431325262;MenteMaestra;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 07:51:34;2025/24/04 03:44:23
436023142;Miss Lake;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 15:32:48;2025/24/04 03:35:30
548470975;Navi Neytiri;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 09:40:02;2025/24/04 05:47:04
701803552;QueenDramaa;8;8;0;;0;7;0;0;1;;0;0;0;0;0;;25;500%;;0;0%;;2025/23/04 11:28:40;2025/24/04 00:10:29
543574138;RoyFocker01;8;8;0;;0;7;0;0;1;;0;0;0;0;0;;25;500%;;0;0%;;2025/23/04 13:56:46;2025/23/04 23:25:35
397325214;Sr Barrigon;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 07:17:29;2025/24/04 04:25:49
576773217;99 A MAN;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
645515706;Analuu;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/23/04 07:58:46;2025/24/04 00:14:18
973256396;Bespin 01;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/23/04 22:29:58;2025/24/04 05:10:02
382123478;Ehma;3;3;0;;1;2;0;0;0;;0;0;0;0;0;;2;40%;;0;0%;;2025/23/04 08:47:38;2025/23/04 21:28:55
361152256;HeAnnn;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 11:58:40;2025/23/04 18:32:20
618124236;illidain;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
928523397;KB Ares I;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/24/04 02:51:52;2025/24/04 02:56:32
728008821;MalcriadittA;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/24/04 01:25:43;2025/24/04 02:07:20
545102236;Ninja Soul;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;40%;;0;0%;;2025/23/04 21:44:14;2025/23/04 21:45:53
418916566;S O F l A;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/23/04 12:33:04;2025/23/04 18:31:47
1328976539;sakurito;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/23/04 09:21:46;2025/24/04 02:19:05
766707663;TheLaPlanta;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
783188571;ALAN BOT;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/23/04 08:27:21;2025/23/04 19:50:46
1092693154;Ariel1588;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/24/04 05:44:17;2025/24/04 05:58:40
590822297;ASTERIS7;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/23/04 09:28:24;2025/23/04 15:42:54
638291226;BLACKGHOST;5;5;0;;0;3;2;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/23/04 10:03:40;2025/23/04 21:31:53
410194825;ByDarkDays;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/23/04 12:50:19;2025/23/04 23:52:40
563475545;Capriann;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
727539438;Dkno25;9;9;0;;0;9;0;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/23/04 19:20:17;2025/24/04 02:35:44
649145941;DOMINIC E77;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/23/04 11:40:42;2025/24/04 05:54:04
646441942;el rey montc;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 07:21:04;2025/23/04 11:01:31
329944274;Espartajesus;3;3;0;;0;1;1;1;0;;0;0;0;0;0;;13;260%;;0;0%;;2025/23/04 06:27:44;2025/23/04 07:45:00
543013733;Fernando1984;6;6;0;;0;5;0;0;1;;0;0;0;0;0;;23;460%;;0;0%;;2025/23/04 16:37:42;2025/24/04 00:29:00
1059350230;Fuji Thanos;6;6;0;;0;5;0;0;1;;0;0;0;0;0;;23;460%;;0;0%;;2025/23/04 14:36:44;2025/24/04 04:07:25
628779245;jazmines;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
559373435;Jazmines 1;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/23/04 20:00:36;2025/23/04 20:00:36
631695724;Jedimester;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/23/04 11:51:18;2025/23/04 23:26:38
735770009;Johan0311;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/23/04 12:45:44;2025/24/04 00:21:37
517552301;Kuuuushhhh;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/23/04 11:46:35;2025/24/04 04:20:01
505302369;Liiiin;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1280216522;Lone WoIf;5;5;0;;0;4;0;1;0;;0;0;0;0;0;;13;260%;;0;0%;;2025/23/04 10:40:12;2025/24/04 00:20:30
430669190;Malzar;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
634411493;MarkusE77;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/24/04 05:30:10;2025/24/04 05:44:36
1021127073;Nnahhh;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/23/04 07:17:33;2025/24/04 02:30:19
424919012;Ocean BlueX;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 13:01:36;2025/23/04 23:44:37
1254769416;P i c a r d;4;4;0;;0;2;1;1;0;;0;0;0;0;0;;14;280%;;0;0%;;2025/23/04 10:31:48;2025/24/04 00:32:22
429963525;RAIBACK;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/23/04 12:43:55;2025/23/04 22:44:09
410376152;ryckzolea;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/23/04 22:28:03;2025/23/04 22:30:16
1345757571;S  R  K;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 12:23:14;2025/23/04 17:55:24
1332726248;Sakuron;1;1;0;;0;1;0;0;0;;0;0;0;0;0;;1;20%;;0;0%;;2025/23/04 18:42:43;2025/23/04 18:42:43
556628743;Soy Sami;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/23/04 12:09:05;2025/23/04 13:47:53
447590111;Thunderekmek;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/23/04 13:13:35;2025/24/04 00:45:51
634025093;valigolo02;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/23/04 11:44:04;2025/23/04 11:59:42
641610850;WUILSON15;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
970928415;XD Alloush 1;7;7;0;;0;6;1;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/23/04 15:03:26;2025/24/04 05:26:58
1220131131;XD Alloush 2;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;40%;;0;0%;;2025/23/04 18:01:23;2025/23/04 18:04:38
894530700;XD Alloush 3;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/23/04 07:32:44;2025/23/04 22:15:08
1856345000;XD Alloush 4;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/23/04 10:04:41;2025/24/04 05:47:35
1896876881;XD Alloush 5;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1041730165;XINHXA;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1271365113;xWalkerS01x;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/23/04 12:03:37;2025/23/04 23:44:10
1271365117;xWalkerS02x;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/23/04 12:13:30;2025/23/04 23:51:24
1271365142;xWalkerS03x;9;9;0;;0;8;1;0;0;;0;0;0;0;0;;11;220%;;0;0%;;2025/23/04 12:03:00;2025/23/04 23:37:20
1271365281;xWalkerS04x;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/23/04 12:14:20;2025/23/04 23:48:56
1271365250;xWalkerS05x;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/23/04 12:04:07;2025/23/04 23:43:12
1271388715;xWalkerW06x;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/23/04 12:14:39;2025/23/04 23:54:47
1271388743;xWalkerW07x;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/23/04 12:03:13;2025/23/04 23:36:48
1271388783;xWalkerW08x;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/23/04 12:14:00;2025/23/04 23:50:22
1271389449;xWalkerW09x;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/23/04 12:03:59;2025/23/04 23:37:08
1271389452;xWalkerW10x;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/23/04 12:14:50;2025/23/04 23:53:41
646349957;XxMGSxX;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/23/04 13:08:53;2025/23/04 17:46:39
428954168;Athos91;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/24/04 01:08:32;2025/24/04 01:13:15
1830420196;Chin Dafnn;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
699590989;ooVaS001oo;9;9;0;;0;8;1;0;0;;0;0;0;0;0;;11;220%;;0;0%;;2025/23/04 12:07:40;2025/23/04 23:32:46
699600401;ooVaS002oo;9;9;0;;0;8;1;0;0;;0;0;0;0;0;;11;220%;;0;0%;;2025/23/04 12:07:31;2025/23/04 23:32:17
699600536;ooVaS003oo;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/23/04 12:07:16;2025/23/04 23:32:15
699600230;ooVaS004oo;10;10;0;;0;9;1;0;0;;0;0;0;0;0;;12;240%;;0;0%;;2025/23/04 12:07:18;2025/23/04 23:32:40
699600237;ooVaS005oo;9;9;0;;0;8;1;0;0;;0;0;0;0;0;;11;220%;;0;0%;;2025/23/04 12:06:28;2025/23/04 23:33:31
699615662;ooVaS006oo;54;54;0;;0;53;1;0;0;;0;0;0;0;0;;56;1120%;;0;0%;;2025/23/04 12:06:40;2025/23/04 23:32:23
699615914;ooVaS007oo;9;9;0;;0;8;1;0;0;;0;0;0;0;0;;11;220%;;0;0%;;2025/23/04 12:08:16;2025/23/04 23:32:37
699615715;ooVaS008oo;57;57;0;;0;56;1;0;0;;0;0;0;0;0;;59;1180%;;0;0%;;2025/23/04 12:06:32;2025/24/04 04:01:47
699615845;ooVaS009oo;54;54;0;;0;53;1;0;0;;0;0;0;0;0;;56;1120%;;0;0%;;2025/23/04 12:06:32;2025/23/04 23:32:58
699616405;ooVaS010oo;9;9;0;;0;8;1;0;0;;0;0;0;0;0;;11;220%;;0;0%;;2025/23/04 12:06:20;2025/23/04 23:32:21
