IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1345757571;S  R  K;RANK2;1128331255;1128174215;157040;21257256;21257256;0;
1332726248;Sakuron;RANK2;1083556023;1083603955;-47932;6428957;6263957;165000;
1328976539;sakurito;RANK3;2057282607;2055021697;2260910;40355576;40355576;0;
1280216522;Lone WoIf;RANK1;614147478;611633734;2513744;76081879;76081879;0;
1271389452;xWalkerW10x;RANK2;561352909;557381716;3971193;17324;17324;0;
1271389449;xWalkerW09x;RANK2;560029811;556062618;3967193;34448;34448;0;
1271388783;xWalkerW08x;RANK2;559750898;555787705;3963193;45373;45373;0;
1271388743;xWalkerW07x;RANK2;560344061;556376868;3967193;29240;29240;0;
1271388715;xWalkerW06x;RANK2;560795056;556827863;3967193;13315;13315;0;
1271365281;xWalkerS04x;RANK2;560654373;556687180;3967193;7354;7354;0;
1271365250;xWalkerS05x;RANK2;560553506;556590313;3963193;18764;18764;0;
1271365142;xWalkerS03x;RANK2;560409026;556445833;3963193;22966;22966;0;
1271365117;xWalkerS02x;RANK2;560861093;556897900;3963193;6455;6455;0;
1271365113;xWalkerS01x;RANK2;560963414;556996221;3967193;2966;2966;0;
1254769416;P i c a r d;RANK1;798997438;795766634;3230804;87377352;87377352;0;
1092693154;Ariel1588;RANK2;478772262;478772262;0;3136473;3136473;0;
1059350230;Fujin Heros;RANK2;1470693460;1470615660;77800;138048069;138048069;0;
1041730165;XINHXA;RANK1;1500269189;1498487309;1781880;333620690;333620690;0;
1021127073;Nnahhh;RANK2;1074165904;1073331238;834666;64321849;64321849;0;
973256396;Bespin 01;RANK3;2487221492;2487221492;0;66736016;66736016;0;
928523397;KB Ares I;RANK3;399052504;398935797;116707;1713779;1713779;0;
844451387;xxPerseoxx;RANK2;871343810;871359938;-16128;46384631;46384631;0;
766707663;TheLaPlanta;RANK3;598443321;603251868;-4808547;8572799;8572799;0;
747751737;cyntu;RANK4;1585254507;1582385483;2869024;126687593;126687593;0;
735770009;Johan0311;RANK2;1342594935;1341467450;1127485;34556970;34556970;0;
728008821;MalcriadittA;RANK3;951773136;951773136;0;46408944;46408944;0;
727539438;Dkno25;RANK1;959301460;959085460;216000;107039772;107039772;0;
701803552;QueenDramaa;RANK4;1361959378;1361379382;579996;51861503;51861503;0;
699616405;ooVaS010oo;RANK2;1743805199;1739906600;3898599;3112866;3112866;0;
699615914;ooVaS007oo;RANK2;1756314666;1752416067;3898599;5521761;5521761;0;
699615845;ooVaS009oo;RANK2;1769138516;1765239917;3898599;6176798;6176798;0;
699615715;ooVaS008oo;RANK2;1744576732;1740678133;3898599;8688152;8688152;0;
699615662;ooVaS006oo;RANK2;1765088147;1761189548;3898599;5106014;5106014;0;
699600536;ooVaS003oo;RANK2;1741217977;1736779378;4438599;24804289;24804289;0;
699600401;ooVaS002oo;RANK2;1746461424;1741946205;4515219;5410000;5410000;0;
699600237;ooVaS005oo;RANK2;1748236116;1743797517;4438599;17728169;17728169;0;
699600230;ooVaS004oo;RANK2;1759325045;1754886446;4438599;17556422;17556422;0;
699590989;ooVaS001oo;RANK2;1745952410;1741488811;4463599;29491862;29491862;0;
687037882;El Dorado;RANK4;619638991;619521391;117600;1413706;1413706;0;
686099078;Darkgreen;RANK4;887289215;886608599;680616;52330580;52330580;0;
681257144;JUANPE;RANK3;1979656202;1979456751;199451;67552852;67552852;0;
672088260;Dark Mundo;RANK4;1517411186;1517351002;60184;229572093;229572093;0;
665549405;giackrox;RANK4;1912663506;1912482306;181200;211843588;211843588;0;
653763973;Fifi fifone;RANK4;1624670202;1622676117;1994085;260892699;260892699;0;
646441942;el rey montc;RANK2;1720149556;1719609556;540000;173822438;173822438;0;
646349957;XxMGSxX;RANK2;1664737819;1664737819;0;78088205;78088205;0;
645515706;Analuu;RANK2;1367887889;1367815889;72000;37357195;37357195;0;
641610850;WUILSON15;RANK2;623621660;623656159;-34499;6731177;6731177;0;
634025093;valigolo02;RANK1;906856306;906856306;0;22374214;22374214;0;
631695724;Jedimester;RANK2;799756864;798495434;1261430;1294341;1294341;0;
628779245;jazmines;RANK2;996946955;996946955;0;25288717;25288717;0;
618124236;illidain;RANK3;1391806532;1391136012;670520;126242315;126242315;0;
614304278;Thewallenged;RANK3;1312074640;1308523600;3551040;108806904;108806904;0;
590822297;ASTERIS7;RANK2;632766318;632708140;58178;518238;518238;0;
579115818;Felipe8;RANK4;731136662;731112662;24000;3706888;3706888;0;
576773217;99 A MAN;RANK3;3128760213;3126419369;2340844;409722121;409722121;0;
573727599;Jeska33;RANK2;1552191492;1552087492;104000;207928673;207928673;0;
569699918;The toxic;RANK3;1720545023;1718069937;2475086;169814220;169814220;0;
567581769;AVATAR 22;RANK2;727354531;725945183;1409348;46343062;46343062;0;
563475545;Capriann;RANK2;1398233612;1396763782;1469830;20103721;20103721;0;
562040476;0RickHunter0;RANK4;240422151;240334151;88000;5442396;5442396;0;
559373435;Jazmines 1;RANK2;1194861869;1194887933;-26064;39127889;39127889;0;
556628743;Soy Sami;RANK2;757867089;757867089;0;14156655;14156655;0;
548470975;Navi Neytiri;RANK4;1147592972;1147592972;0;8562525;8562525;0;
545102236;Ninja Soul;RANK3;204157608;203907608;250000;1382743;1382743;0;
543574138;RoyFocker01;RANK4;1867632926;1862191565;5441361;468107793;468107793;0;
543536478;Juan 7777777;RANK4;1397396494;1394863314;2533180;839004662;839004662;0;
543057075;VoiDarknigth;RANK2;2155178525;2155178525;0;247610816;247610816;0;
543013733;Fernando1984;RANK2;1817983352;1817981552;1800;586633812;586633812;0;
531603934;JustLau;RANK4;1317832425;1317676425;156000;30663937;30663937;0;
527850333;FedEx2021;RANK4;1880881625;1880881625;0;325843569;325843569;0;
527571135;Matias8;RANK5;2084876838;2084876838;0;1029737119;1029737119;0;
522130170;Campanula13;RANK4;1559180465;1559336609;-156144;159280728;159280728;0;
505302369;Liiiin;RANK2;2865621506;2865200306;421200;475614017;475614017;0;
469048815;Ashnyk;RANK4;1165998345;1165989119;9226;35088473;35088473;0;
447590111;Thunderekmek;RANK2;1602725165;1602704573;20592;220720366;220720366;0;
436361778;Dariiooo;RANK4;1443493570;1442908278;585292;351469978;351469978;0;
436023142;Miss Lake;RANK4;1798506924;1798083205;423719;651505163;651505163;0;
431325262;MenteMaestra;RANK4;1276311735;1276107579;204156;36651392;36651392;0;
430669190;Malzar;RANK2;882747507;882747507;0;157895349;157895349;0;
429963525;RAIBACK;RANK2;925885411;925251811;633600;30559300;30559300;0;
424919012;Ocean BlueX;RANK2;752780705;752878893;-98188;24643320;24643320;0;
418916566;S O F l A;RANK3;1160200645;1160018241;182404;39337578;39337578;0;
410376152;ryckzolea;RANK2;1027747441;1027086768;660673;4570964;4570964;0;
410194825;ByDarkDays;RANK2;1470627363;1470743835;-116472;104184158;104184158;0;
397325214;Sr Barrigon;RANK4;785668059;785668059;0;15423006;15423006;0;
367704327;Black cat00;RANK2;1278084644;1277177333;907311;28045906;28045906;0;
361152256;HeAnnn;RANK3;2635849988;2635693468;156520;138498395;138498395;0;
340479367;lBerrinchesl;RANK4;466832379;466832379;0;52423535;52423535;0;
329944274;Espartajesus;RANK2;2245113387;2245113387;0;252112776;252112776;0;
316763913;DianaNegris;RANK2;1030573607;1030392287;181320;323068326;323068326;0;
