IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1845510816;X H    C R 7;RANK1;71462535;71291582;170953;11220438;11220438;0;
1283842095;Mikee II;RANK2;837694928;837694928;0;16435416;16434492;924;
1242670035;Ako Ako 98;RANK3;781711338;781432938;278400;12761404;12761404;0;
1218072831;Thezoombiii;RANK2;742075778;741988007;87771;18089167;18089167;0;
1075661724;felipe l pro;RANK3;802152253;800047731;2104522;7525547;7525547;0;
1038727112;CASTILL0 1;RANK2;1073055993;1070969543;2086450;16862748;16862748;0;
938480174;Black Liger;RANK2;1070064735;1070064735;0;3784502;3784502;0;
900415702;Radhamantyss;RANK3;549438482;549307240;131242;5734586;5734586;0;
898393247;miya musashi;RANK3;668791185;668116097;675088;7134257;7134257;0;
869501957;lordDanny00;RANK3;675335699;675335699;0;20112704;20112704;0;
856937350;xx Heimdall;RANK3;848419365;836687687;11731678;29861543;29861543;0;
824337039;Dragonfist7;RANK2;1434398111;1433858111;540000;80962151;80962151;0;
819166586;S07LP4SS;RANK2;602101041;601431649;669392;183162393;183162393;0;
812940542;ANDREW J09R;RANK3;525695933;525220733;475200;43136237;43136237;0;
810368634;Maximss;RANK2;481766659;480848077;918582;5680816;5680816;0;
799021718;xAndarna;RANK3;333611889;333611889;0;978225;978225;0;
790117836;the Zeus 000;RANK3;1028836550;1027979956;856594;58621083;58621083;0;
790057093;Mr Juanzhito;RANK2;308091664;308091664;0;813471;813471;0;
782251021;lokokuerdo;RANK3;905579056;904944916;634140;39700699;39700699;0;
777540447;Nico Robin26;RANK4;925120962;905877090;19243872;24512397;24512397;0;
776981913;jog2;RANK3;1191193925;1183442219;7751706;29248163;29248163;0;
775557885;KINGLYON 5;RANK3;824318108;824318108;0;9354134;9354134;0;
770859094;iKarensita;RANK2;285797010;285797010;0;1273759;1273759;0;
768898436;mrbulllzz221;RANK2;353351445;353351445;0;6031912;6031912;0;
766183317;kvothe 19;RANK3;820305474;820296348;9126;9419267;9419267;0;
763305835;KarenxiTq;RANK2;396391879;396391879;0;19576520;19576520;0;
762350010;zT Tian;RANK3;598932205;598856881;75324;68549977;68549977;0;
760762600;omegasclmb;RANK3;1040979679;1038207676;2772003;1124106;1124106;0;
756000274;juligan;RANK3;763336060;763390720;-54660;30530486;30530486;0;
728690522;rocky5t;RANK3;808759629;807629412;1130217;16569073;16569073;0;
702031414;Heviel;RANK4;1784093479;1783929479;164000;586368985;586368985;0;
701939892;F41RYT41L;RANK3;1963269983;2033277908;-70007925;75501554;73107283;2394271;
701929222;06saske;RANK3;1443194623;1442774252;420371;60828367;60828367;0;
696890984;arubiac;RANK3;139168547;139064883;103664;863227;863227;0;
694641208;DRAKO rc;RANK3;1028210251;1028240877;-30626;9701060;9701060;0;
694058607;ES LIA;RANK3;437815517;437797265;18252;203942;203942;0;
689447365;GRANTITO 30;RANK3;434275358;434275358;0;12133392;12133392;0;
688104890;rambito v;RANK3;794608207;793919865;688342;17655759;17655759;0;
676976652;vikingo;RANK3;1042678855;1042531615;147240;27077058;27077058;0;
674597107;Gaby TMO;RANK4;317345957;317345959;-2;198993;198993;0;
672155023;keanelove;RANK5;749240347;750858869;-1618522;561066;561066;0;
668681174;ES DSL 20;RANK3;534369390;534451542;-82152;633211;633211;0;
665107504;Dark Lord 0;RANK3;2359682947;2359112415;570532;208418169;208120855;297314;
665026043;Elsin;RANK4;1569802708;1569618756;183952;231286758;231286758;0;
664333744;sarily;RANK3;1474895576;1474725836;169740;11908241;11908241;0;
662512616;shiro128;RANK3;1218493025;1218487025;6000;7283046;7225532;57514;
653257909;MF YukariBob;RANK4;1460730771;1460730771;0;89415152;89415152;0;
649979654;mala yerba;RANK3;728165762;727589277;576485;631235;631235;0;
649717056;MF FBI Agent;RANK3;354271229;354271229;0;1146479;1146479;0;
647480950;Ave Fenix vr;RANK3;1154473161;1153893497;579664;18929613;18929243;370;
646701937;Akita v;RANK3;2061920388;2061855630;64758;103959052;103958962;90;
641096992;ES KIRA 17;RANK3;576749354;576899486;-150132;340943;340943;0;
640806262;ES ALE 94;RANK3;557416074;557415116;958;755627;755627;0;
632404550;Tairn;RANK3;473088720;0;0;2960268;0;0;
631402304;DAR10;RANK4;1143931807;1141522687;2409120;179192999;179192999;0;
628865106;XxSeruhioXx;RANK3;1321174208;1320379742;794466;22014031;22014031;0;
623042917;XH FUFU FAFA;RANK2;648569259;647515800;1053459;32508613;32431187;77426;
615512996;Yako57;RANK3;791982676;791573134;409542;18938215;18938183;32;
615469598;ODIN m;RANK3;1446799692;1443857047;2942645;9909504;9909456;48;
615387242;1e DEMOLEDOR;RANK3;1588747312;1588743460;3852;40590324;40590324;0;
612674940;Guenyiar;RANK3;1072983447;1071793287;1190160;12565013;12565013;0;
606835404;TWICE OT9;RANK3;654435617;654435617;0;12189702;12189702;0;
606089987;1e kalox;RANK4;1865772728;1865788136;-15408;137032176;136974662;57514;
602539642;Valroc;RANK3;1207909912;1207202144;707768;26548134;26547958;176;
599983871;1e Frodo;RANK3;328303557;328303557;0;4648904;4648904;0;
597915626;ninobravo;RANK3;792662586;792091293;571293;27085481;27085481;0;
597552816;XErrante;RANK4;995114770;992877370;2237400;165651460;165651460;0;
591021064;Sgael;RANK3;349768842;0;0;6208921;0;0;
590319104;LOKI mn;RANK3;523987814;506830571;17157243;20738565;20738565;0;
589740191;Namysam;RANK4;2083798898;2083865150;-66252;459987840;459987840;0;
589169919;tony2881;RANK3;832506411;831868759;637652;23326254;23326254;0;
588954402;1eOmegaclmb;RANK4;2101308038;2100886262;421776;65834062;65834062;0;
