IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1315116894;THCSMUUB2;RANK1;161544582;0;0;4144331;0;0;
1088629466;jaal;RANK3;446166985;446166985;0;8289067;8289067;0;
1011841157;Galileoooo0;RANK2;119134460;119134460;0;2492233;2492233;0;
836168726;Saul king;RANK2;497057817;497057817;0;9970863;9970863;0;
815730951;KMTANJIRO;RANK1;288845159;288845159;0;10024558;10024558;0;
813324952;Muecho;RANK2;385522859;385522859;0;14387617;14387617;0;
808133330;MrGio1;RANK3;676071408;676071408;0;58558896;58558896;0;
786043906;Latino  05;RANK4;709984353;709158549;825804;48452178;48452178;0;
773542855;ScarlettJeon;RANK3;192355510;192340510;15000;2681759;2681759;0;
768673795;Drackary;RANK4;1413216652;1413256156;-39504;296370645;296370645;0;
742285723;DAM3queteD0Y;RANK4;393838986;393632994;205992;6174976;6174976;0;
712765856;MIRMIDON;RANK1;398837022;398837022;0;2714381;2714381;0;
706432807;AQUILES    z;RANK1;572956176;572956176;0;7543947;7543947;0;
703391242;CoriOlga12;RANK4;1114535468;1114462099;73369;4616115;4616115;0;
683532126;Doof adimoC;RANK4;23451540;23450672;868;529639;529639;0;
683523854;Jossetty;RANK4;652203887;652343927;-140040;243759628;243759628;0;
671351901;Cuoredamore;RANK3;538030032;538030032;0;6587696;6587696;0;
637666059;iehz;RANK4;1922798383;1922969995;-171612;160993324;160993324;0;
637661849;s h e i;RANK4;390043613;390212481;-168868;2531421;2531421;0;
636258671;BANKRNX13;RANK2;687290041;687290041;0;91350564;91350564;0;
629222784;Doow aredaM;RANK4;186339398;186340718;-1320;30244;30244;0;
617545910;Enots ardeiP;RANK4;220769081;220822649;-53568;33894047;33894047;0;
597551826;EDEN MIRU;RANK2;551320778;551320778;0;38211533;38211533;0;
587623473;DwSoMBrA;RANK4;1140886991;1139605207;1281784;26287931;26287931;0;
565155630;RA0N MIRU;RANK2;913615135;913615135;0;214562460;214562460;0;
560661134;C Y B E R;RANK4;765477921;765617961;-140040;95180359;95180359;0;
553957423;lll  Sk  lll;RANK4;454529782;454669606;-139824;95468767;95468767;0;
533673376;Ero lareniM;RANK4;260869389;260876335;-6946;35156542;35156542;0;
532815899;LareniM ErO;RANK4;25420090;25419267;823;72264;72264;0;
525583469;ll  Angel ll;RANK4;7625614;7625614;0;3618;3618;0;
501016740;joaki;RANK4;949487097;949487097;0;31686902;31686902;0;
500995004;Sackary;RANK5;2523457217;2521838297;1618920;7650948301;7650948301;0;
451159208;LinconlSky;RANK2;799190718;799190718;0;128397127;128397127;0;
445620593;Off off offf;RANK1;1028901012;0;0;38224552;0;0;
323805324;nimemires383;RANK1;1879605007;1879605007;0;377600818;377600818;0;
