IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
2022332243;658646;RANK1;35930;0;0;0;0;0;
1997866318;UP Kill Mby;RANK1;65974645;0;0;6524546;0;0;
1957721326;Liderdelord;RANK1;179408;179408;0;282;282;0;
1849099415;fdsgh43y062;RANK1;46637764;46061329;576435;376260;376260;0;
1849096468;fdsgh43y006;RANK1;43028180;42630726;397454;427863;427863;0;
1830674849;erh57f084;RANK1;46026541;45448636;577905;317163;317163;0;
1830673412;erh57f052;RANK1;45178969;43989148;1189821;558604;558596;8;
1818904645;dg23dgs071;RANK1;58959858;57213360;1746498;92701;92701;0;
1818903520;ds3dddfz038;RANK1;54947118;54160114;787004;99955;99953;2;
1818902868;t34fhg4r019;RANK1;53894831;52440132;1454699;118326;118324;2;
1818902348;rt5ghg001;RANK1;57268185;57040605;227580;215512;215504;8;
1815104923;eyuriee;RANK1;1381209;0;0;91382;0;0;
1813428745;ronsasaki7;RANK1;2106258;1595002;511256;0;0;0;
1806262977;ewey031;RANK1;63510463;62739649;770814;78059;78058;1;
1789942673;Yoda 100;RANK1;288678689;284726757;3951932;1214816;1214816;0;
1282585070;Arab ej;RANK1;14269115;0;0;797566;0;0;
1232922062;Lmymm902444;RANK1;370661209;372872970;-2211761;3947884;3911951;35933;
1076548225;p Diddy xxx;RANK1;90705667;90705667;0;13721646;13721646;0;
1068166006;tyoroneko;RANK1;51599717;51599717;0;400312;400312;0;
1051920755;zXBESHOYXz;RANK1;305296123;0;0;124277032;0;0;
1007326750;Toy Baby;RANK1;14350155;13886843;463312;0;0;0;
900744728;NoLuckForYou;RANK5;22269636;22269636;0;5727;5727;0;
890690208;MiniBadger;RANK1;21924887;21924887;0;48223;48223;0;
889591779;Bar24h Open;RANK1;93172718;0;0;4595;0;0;
857817748;0Noor0;RANK1;263892405;263923961;-31556;3256906;3256906;0;
812542865;XNightMareXx;RANK1;226266109;226266109;0;11777482;11777482;0;
768819572;bilel t DZ 2;RANK1;475171595;0;0;6266893;0;0;
760291142;sharktaolao;RANK1;17499857;17499857;0;18312;18312;0;
760243900;killer 090;RANK1;848189415;848189415;0;147152356;147152356;0;
692551270;DraKarys;RANK1;453449538;452855538;594000;3982166;3982166;0;
652699588;maxxlk;RANK1;198759061;0;0;23727080;0;0;
648656018;ACL SAGA;RANK1;16153800;15619496;534304;262503;262503;0;
636406221;adhy03;RANK1;312450740;312450740;0;4501924;4501924;0;
623839637;Sala7;RANK1;1251346604;1251346604;0;247683741;247683741;0;
611875038;Mabrou;RANK1;836763;836763;0;48121;48121;0;
611210584;wowSnow girl;RANK1;14856736;0;0;131027;0;0;
610669417;VO ALISTON k;RANK1;22185307;22375135;-189828;362180;353770;8410;
608630883;dustbust;RANK1;212588153;0;0;6162642;0;0;
605307246;cukur111;RANK1;690368406;0;0;6028439;0;0;
591078219;briana9972;RANK1;299157339;0;0;7069543;0;0;
571300259;windua;RANK1;273112469;273112469;0;1594386;1594386;0;
562019921;JJLD;RANK1;834887662;0;0;112009879;0;0;
551750951;BaeBaezy;RANK1;132594537;132609337;-14800;2655782;2655782;0;
540450330;traucon1;RANK1;128416463;128416463;0;12094401;12094401;0;
529190270;BigBagOne;RANK1;709988007;0;0;57361210;0;0;
501715866;smolk22;RANK1;163869227;163260957;608270;1300310;1300310;0;
452029399;ERROR21;RANK1;96592572;96592572;0;19747901;19747901;0;
429195620;Ahodunno1;RANK1;306312694;306312694;0;3218101;3218101;0;
406708560;Ahodunno;RANK1;465819371;465819371;0;12678228;12678228;0;
383257659;shadow coco2;RANK1;55589287;55589287;0;13491128;13491128;0;
373314998;ameno sagiry;RANK1;26088536;26088536;0;2042358;2042358;0;
372248613;Ace Hayking;RANK1;1522982;1522982;0;104680;104680;0;
