IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1995083469;AutoBot80;RANK2;33457;33457;0;0;0;0;
1953004725;exparta 300;RANK3;220578447;220276628;301819;1824959;1824959;0;
1869827776;BMW033;RANK4;157691474;154228125;3463349;2480636;2480636;0;
1865655896;Arnald;RANK3;123716550;154064912;-30348362;417656;307171;110485;
1812242908;Davids34;RANK2;53195499;53163297;32202;1559197;1559197;0;
1715301671;ZERO ONE RED;RANK2;195133890;195076296;57594;3559811;3559811;0;
1631332883;Richard 6;RANK1;321167595;0;0;44801920;0;0;
1439804125;FRAJOLA xR;RANK2;76176611;76669591;-492980;107640;107413;227;
1354968546;Jaime Duende;RANK2;42621178;42597034;24144;362402;362402;0;
1298845930;Eni 205;RANK2;151364685;151364685;0;7835688;7835688;0;
1291517751;Tex Hik ru;RANK3;300700068;302176792;-1476724;2986410;2986410;0;
1281971046;Boss X DJ;RANK2;267583687;267449723;133964;7729524;7729524;0;
1268837245;ADES333;RANK1;761599500;0;0;20498731;0;0;
1259404288;cumbia 21;RANK2;330015708;329927356;88352;4209434;4209434;0;
1258492999;babacikburda;RANK2;57355525;57355525;0;1403814;1403814;0;
1248533104;TroyMcClure7;RANK2;24061585;23996409;65176;77390;77390;0;
1218400831;sukis;RANK2;498202436;497645366;557070;15529165;15529165;0;
1204061986;rhaenyra85;RANK2;78445616;78404149;41467;578593;578593;0;
1091346744;artemisa85;RANK4;262888422;262888422;0;2251499;2251499;0;
1059882725;Nena94;RANK4;219286752;218907768;378984;4602697;4602697;0;
1052841957;Lagerthaa85;RANK2;474450467;474582827;-132360;5250881;5250881;0;
1047434554;Sr K15;RANK2;100680661;100639176;41485;3793809;3793809;0;
1037344998;Hades1234569;RANK4;1247529397;1236172172;11357225;9761026;9761026;0;
1036562095;Ryzen 9;RANK3;280167509;279736661;430848;7154023;7154023;0;
1030714087;Maradon4 xRN;RANK2;447023171;447023171;0;44760;44760;0;
1025440513;vengador  12;RANK2;436115443;436115443;0;10181798;10181798;0;
1021109878;franco e isa;RANK3;766687422;765267386;1420036;3052848;3052848;0;
1017960864;Darcksider2;RANK3;466642028;466644774;-2746;23300662;23300662;0;
1000860405;Chapolin xRn;RANK5;1814287191;1813499655;787536;176380610;176380610;0;
988897627;Afrodita101;RANK3;1669242127;1680058911;-10816784;9836512;9836512;0;
988653129;SantiSO;RANK4;622444571;621929771;514800;5252756;5252756;0;
988631428;Saruman X;RANK4;564022995;752585816;-188562821;13887308;13887308;0;
954413696;Napoleon2018;RANK4;795067155;794134937;932218;11076020;11076020;0;
950983102;Jordi  E N P;RANK2;419958016;419761856;196160;39142240;39142240;0;
919014383;Nemesis29;RANK2;280058648;277287604;2771044;7599985;7599985;0;
896632660;Destructoski;RANK4;458667835;458306191;361644;7330408;7330408;0;
886861087;ADES 888;RANK1;1039829696;0;0;12001216;0;0;
885343531;Malvada s;RANK2;853738372;1071060492;-217322120;28728518;28728518;0;
880503697;castiel thc;RANK2;688453840;684430511;4023329;7661883;7661883;0;
875686253;Yna16;RANK2;465180078;463794150;1385928;17410166;17410166;0;
862668268;Olgiz;RANK3;509981794;509908989;72805;15165183;15165183;0;
845155861;ADES444;RANK1;491797573;0;0;21280558;0;0;
843203063;Misssa;RANK1;322571422;0;0;6902894;0;0;
838078071;TexHik pyc;RANK3;836349260;879677572;-43328312;9617894;9617894;0;
837112253;borre1421;RANK4;788719778;788628670;91108;32341320;32341320;0;
836562718;rufo 44;RANK4;705614870;705751274;-136404;36330617;36330617;0;
834188413;3AXAP GALA;RANK3;972626058;1019270106;-46644048;6567719;6567719;0;
829438122;Intel i9;RANK3;460652526;460176589;475937;22830294;22830294;0;
829121660;Desquintador;RANK3;500335645;500114497;221148;33394413;33394413;0;
822362301;Tourbulence;RANK2;617025982;600250839;16775143;14562277;14562277;0;
813734403;3axap gala U;RANK3;889187144;929851856;-40664712;8476739;8476739;0;
813359673;juanpablo3;RANK4;1168481484;1168405730;75754;73614353;73614353;0;
812510915;radamanthizz;RANK2;551152836;551152836;0;67011428;67011428;0;
812108151;LordTaz20;RANK2;176251694;176205686;46008;4455349;4455349;0;
805478451;AMATEUS;RANK4;1120545389;1133903792;-13358403;270772673;270772673;0;
800319527;Lord Josed;RANK4;845592901;845481045;111856;26359454;26359454;0;
737959216;robert72 jr;RANK3;109618169;109618169;0;1361969;1361969;0;
722457143;rey d Gondor;RANK4;902281861;900864829;1417032;185474284;185474284;0;
704183402;davids28;RANK2;336342412;336342412;0;1430294;1430294;0;
638999778;GIVARA2;RANK3;141904724;140981016;923708;1835199;1835199;0;
613764743;David 29;RANK3;601760060;601457180;302880;41449497;41449497;0;
609926462;Diosa gea 24;RANK2;396334180;396334180;0;40647229;40647229;0;
574580766;CH1HUAHUA;RANK2;225689718;225795318;-105600;30721459;30721459;0;
573617829;Davids33;RANK4;651659480;644043544;7615936;92498049;92498049;0;
570579322;BOMBERO777;RANK2;277859569;277859569;0;28963385;28963385;0;
556909957;Robert 72;RANK4;1016657895;1016080311;577584;114127326;114127326;0;
407478730;deadpol10;RANK2;617750188;617210188;540000;166903394;166903394;0;
402214266;rey Gondor;RANK4;1154092069;1152994967;1097102;423385724;423385724;0;
393765136;Orlando7807;RANK2;479292165;479292165;0;10012949;10012949;0;
347180916;Orlando AG;RANK3;777631503;777569103;62400;23806788;23806788;0;
250133078;FIREROBERT72;RANK4;1760118843;1759650843;468000;1056370449;1056370449;0;
