IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
2033138594;kaptianvia3;RANK3;1648906;1354406;294500;309;309;0;
2031061478;xxducanxx0;RANK3;1935264;1910184;25080;100;100;0;
2016343715;JoudGF;RANK3;14012162;13995042;17120;32539;32539;0;
1986103591;1st Woody;RANK3;9752470;9736750;15720;2498;2498;0;
1986103510;1st Orey;RANK3;15433597;15406571;27026;1445;1445;0;
1986103362;1st Foody;RANK3;13413426;13384022;29404;20398;20398;0;
1986103225;1st Soney;RANK3;13118212;13112492;5720;2071;2071;0;
1977696807;jia rangers;RANK1;27487209;47469966;-19982757;138861;127210;11651;
1973237397;jaguarsh;RANK2;16153151;14817922;1335229;25880;25880;0;
1960554985;anderson341;RANK1;27425708;27388856;36852;381522;381522;0;
1949580970;Blood Kiing;RANK3;2977980;2969780;8200;5765;5765;0;
1949563409;xxxMonicaxxx;RANK3;3399187;3390427;8760;1007;1007;0;
1938627955;Yousuf joo;RANK2;12921132;12921132;0;665023;665023;0;
1938435406;kerajaan1632;RANK1;7041989;7041989;0;139145;139145;0;
1920113554;lonhan278279;RANK3;61710378;61703378;7000;38134;38134;0;
1916749854;kaizen51;RANK3;179137498;179127418;10080;6464907;6464907;0;
1897725816;little frey;RANK2;34285806;34089571;196235;787283;787283;0;
1880440499;ABDELOUHEB;RANK2;17935976;17935976;0;600052;600052;0;
1864691617;Qtaka2893;RANK3;67953024;67880735;72289;31655;31655;0;
1864690307;Qtaka8231;RANK3;69668566;69508325;160241;28250;28250;0;
1851482535;isoroku56;RANK1;9492789;9492789;0;1537552;1537552;0;
1737600997;1sstQueen;RANK3;118463360;118293008;170352;1404603;1404603;0;
1617707012;Mikitalu;RANK1;188562703;186680089;1882614;1751421;1751192;229;
1597393541;SherwoodFire;RANK2;44342900;43577642;765258;2515136;2515136;0;
1592402407;KAISAR 1628;RANK1;2129695;2129695;0;6286;6286;0;
1434655537;CrIativMenN;RANK2;7823694;7823694;0;483241;483241;0;
1404904323;DannSam;RANK2;102436782;102436782;0;1114327;1114327;0;
1363732887;Charly XX;RANK2;266048470;264774507;1273963;11713732;11713732;0;
1300120872;murarz123456;RANK1;191111687;186048653;5063034;9001221;9000370;851;
1279100886;oh N3ttinho;RANK1;246297438;246297438;0;8466485;8466485;0;
1259985152;Marceloice;RANK3;525731750;0;0;1814989;0;0;
1229120787;Hugo2016;RANK1;41987347;41945107;42240;191463;191463;0;
1207861398;CH Hanck;RANK1;117750971;117750971;0;3590575;3590575;0;
1110160692;WD Mhammdyyy;RANK2;551344086;548844114;2499972;19374061;19374061;0;
1106192753;l Bebita;RANK3;176073332;176073332;0;10965;10965;0;
1106109377;Andro Eidos;RANK4;347333838;347454254;-120416;36012581;35762581;250000;1stQueenMini
1105881920;Saad Mahmoud;RANK1;799127086;798970046;157040;40135469;40135270;199;
1105437656;1st Wood;RANK3;379129176;378891576;237600;10740;10740;0;
1105291569;1st Oree;RANK5;266296405;265900405;396000;533850;533850;0;
1104890350;1st MoreOre;RANK3;366114594;366101394;13200;24933;24933;0;
1104732407;1st Stone;RANK4;323780219;323482931;297288;123979;123979;0;
1104665181;1st Ore;RANK3;313533565;313101565;432000;1613950;1613950;0;
1093489344;Madonna l;RANK3;262506510;262506510;0;7331205;7331205;0;
1033907576;Blue Lord;RANK1;601983400;601983400;0;8237565;8237565;0;
1010503202;l Blackwidow;RANK1;186465001;186465001;0;605046;605046;0;
985734551;llSNIPER2ll;RANK2;572525047;572497687;27360;19492853;19492853;0;
979383695;sonris;RANK2;376123194;376123194;0;5242316;5242316;0;
956236721;1sst Bank;RANK4;410510019;410496819;13200;595;595;0;
956218265;1st Food;RANK3;290653979;290651475;2504;3299;3299;0;
923806726;Kiguun;RANK1;1443974025;0;0;114013741;0;0;
918799663;ELITE UNION;RANK3;432856533;432856533;0;27381559;27381559;0;
914154130;emna 1234567;RANK1;98267;61581;36686;0;0;0;
850371125;Black Sky We;RANK1;221732616;221732616;0;3524849;3524849;0;
831663931;DONMUERTE;RANK4;165406287;165213623;192664;2194290;2194290;0;
821813698;TM WIN 21;RANK2;41339997;41339997;0;1001539;1001539;0;
809840101;WutangMafiaa;RANK2;35273325;35273325;0;197602;197602;0;
776100589;Ark Oso;RANK1;191518748;191381762;136986;481084;481084;0;
756004088;U2gpacuJl;RANK1;737862823;733215512;4647311;8780872;8780872;0;MoCkuToJl
746294470;Alexis Perez;RANK1;63123425;63060121;63304;1588090;1588090;0;
744178489;agjhjptwl;RANK1;739864072;739864072;0;26641940;26641940;0;
738108236;Rei Alex;RANK1;483804493;483804493;0;7384145;7384145;0;
736733577;Burako 45;RANK4;1292581011;1292581011;0;765958;765958;0;
728007210;goondorr;RANK3;112447809;112535609;-87800;2589305;2589295;10;
727696728;Two mo Ro;RANK3;70735811;70735811;0;1958235;1958235;0;
724491337;jia6;RANK2;246281700;245514189;767511;2895586;2895586;0;
713877580;0Ne pesi;RANK3;79790600;79790600;0;8522987;8522987;0;
713450402;prasanthking;RANK1;80213340;80144969;68371;3819606;3819606;0;
712029436;6DaRK9AnGeL6;RANK1;1551336;1551336;0;181;181;0;
711828498;Bondol;RANK3;739274290;739274290;0;28786347;28786347;0;
687065884;dmdmwjtjgp;RANK1;947581284;947581284;0;44298083;44298083;0;
682875945;ministerssdf;RANK1;2236290;2217306;18984;43414;43414;0;
682776214;Skyglobus2;RANK3;629883985;629883985;0;35990018;35990018;0;
682216602;BanKMarcelo;RANK1;497219628;497207628;12000;370175;370175;0;
675357922;Rol3l3eR;RANK3;103882520;103882520;0;6455680;6455680;0;
673984341;Charly  XX;RANK2;353982601;353982601;0;6983754;6983754;0;
655774907;Cccccfffaa;RANK1;164243457;164243457;0;16957887;16957887;0;
632838607;pausebio;RANK3;201461526;201461526;0;620833;620833;0;
625383323;pikout;RANK3;1312915418;1312283186;632232;228547294;228547294;0;
608296155;Qqqqqqq1q;RANK4;675397621;675325539;72082;30720086;30720086;0;
594778252;avarinding;RANK3;405256797;405256797;0;7209034;7209034;0;
585247599;DONMUERTE13;RANK3;660555354;660401454;153900;12749205;12749205;0;
550508119;BlackxRavens;RANK3;429014181;426574831;2439350;7773550;7773550;0;
543746210;JadeFamily;RANK4;517453060;517453060;0;14761247;14761247;0;
470526005;XuliganW2;RANK1;1572101132;1571521132;580000;690149078;690149078;0;
469932947;GGENERAL;RANK1;605975976;605975976;0;8804097;8804097;0;
435544901;3ai4ona;RANK1;574607829;574607829;0;53747511;53747511;0;
432857413;vandjava;RANK4;839915718;837628886;2286832;47296305;47296305;0;
417226885;HIDA 506;RANK2;301176513;301176513;0;12002271;12002271;0;
408983976;Darkboy64;RANK2;156659433;156570105;89328;2354410;2354410;0;
357230279;Indo945;RANK2;171702231;171702231;0;35777459;35777459;0;
343167876;xX ToToCa Xx;RANK3;21038331;21038331;0;2182541;2182541;0;
