User ID;Name;Total;Hunt;Purchase; ;L1 (Hunt);L2 (Hunt);L3 (Hunt);L4 (Hunt);L5 (Hunt); ;L1 (Purchase);L2 (Purchase);L3 (Purchase);L4 (Purchase);L5 (Purchase); ;Points (Hunt);Goal Percentage (Hunt); ;Points (Purchase);Goal Percentage (Purchase); ;First Hunt Time;Last Hunt Time
0;Total;418;418;0;;1;365;47;5;0;;0;0;0;0;0;;0;0%;;0;0%;;2025/14/08 06:00:00;2025/15/08 06:00:00
429589771;XxHinaTaxX5;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/15/08 00:28:29;2025/15/08 05:41:41
883470004;Berserker300;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;40%;;0;0%;;2025/14/08 07:44:37;2025/15/08 04:34:57
977455907;HINATA PARK;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1286911609;juju666;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/14/08 17:12:09;2025/14/08 19:24:43
979552514;MACHETE14;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/14/08 23:45:28;2025/14/08 23:45:28
414532056;MarceICE;7;7;0;;0;6;1;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/14/08 13:01:47;2025/14/08 23:53:04
842907831;minipatito;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/14/08 06:33:11;2025/15/08 05:32:03
527867739;RogerH;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/14/08 06:07:34;2025/15/08 05:20:56
333961249;Tanzuko;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/14/08 15:00:08;2025/15/08 04:48:52
557264990;X La Reina X;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;40%;;0;0%;;2025/15/08 05:20:50;2025/15/08 05:21:33
435121945;XxSaKkuRaxX;2;2;0;;0;1;1;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/14/08 16:34:52;2025/14/08 20:16:15
713699789;1BAGABUNDO3;2;2;0;;0;1;1;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/14/08 08:29:07;2025/14/08 15:05:57
902250499;AK Dexdex1;9;9;0;;1;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/14/08 20:08:34;2025/15/08 05:48:58
792010083;arandano;27;27;0;;0;27;0;0;0;;0;0;0;0;0;;27;540%;;0;0%;;2025/14/08 16:18:18;2025/15/08 03:15:57
801723402;Artemis 1203;19;19;0;;0;18;1;0;0;;0;0;0;0;0;;21;420%;;0;0%;;2025/14/08 06:08:02;2025/15/08 00:46:31
642501356;Aztaroc;3;3;0;;0;2;1;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/14/08 23:55:08;2025/15/08 03:51:43
682216602;BanKMarcelo;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/14/08 06:01:41;2025/14/08 23:55:30
838582556;Bastianfox32;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
917609204;berserker301;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/14/08 07:47:33;2025/15/08 05:47:54
971314588;berserker302;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/14/08 07:45:52;2025/15/08 05:51:18
917555805;berserker303;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/14/08 07:48:38;2025/15/08 05:28:38
882361219;Berserker305;1;1;0;;0;1;0;0;0;;0;0;0;0;0;;1;20%;;0;0%;;2025/14/08 07:54:58;2025/14/08 07:54:58
553149490;Brandon200;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/14/08 13:38:12;2025/14/08 21:12:51
1048112684;CACHAROOOOOO;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/14/08 06:42:55;2025/15/08 05:25:26
1286985307;Casper08;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/14/08 08:31:25;2025/15/08 04:04:12
418912494;Corona beer;2;2;0;;0;1;0;1;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/14/08 17:27:22;2025/15/08 02:43:39
782638837;DarwN504;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
538397333;Degaros;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/14/08 08:37:34;2025/14/08 22:23:16
938440997;Diego2525;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/14/08 13:33:56;2025/15/08 04:01:04
544049684;Dios Azteca;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
779335230;edg1000;2;2;0;;0;0;2;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/14/08 06:49:34;2025/14/08 06:51:06
1044433599;El Shojan;7;7;0;;0;5;2;0;0;;0;0;0;0;0;;11;220%;;0;0%;;2025/14/08 06:02:12;2025/15/08 05:44:38
601356914;Elizabeth 05;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/14/08 13:41:37;2025/15/08 04:01:30
463866671;ESC4NOR JR;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/14/08 09:52:19;2025/14/08 09:52:19
902657962;Franklin F;10;10;0;;0;10;0;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/14/08 14:56:11;2025/14/08 23:59:35
830658574;Goldpanda12;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/15/08 03:00:27;2025/15/08 03:03:28
825516531;Gran Boros;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/14/08 14:11:29;2025/15/08 03:43:16
470481547;grand rey;18;18;0;;0;17;1;0;0;;0;0;0;0;0;;20;400%;;0;0%;;2025/15/08 02:14:02;2025/15/08 02:30:18
991231225;Ian Skinny;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
842822028;Indestructi;3;3;0;;0;0;3;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/14/08 06:02:32;2025/15/08 00:48:16
528106919;inkiietoO;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/14/08 14:08:10;2025/15/08 05:53:46
