Name;Completed;Total;Score;Completed Bonus
XDeboraX;11;11;2570;No
TuPeorMiedoo;11;11;2536;No
MarceICE;11;11;2501;No
arandano;11;11;2421;No
Pedro SB;11;11;2419;No
Diego2525;11;11;2312;No
grand rey;11;11;2311;No
Gran Boros;11;11;2247;No
Casper08;11;11;2211;No
KAISE89R;11;11;2211;No
VeneChi;11;11;2165;No
OssiRisLove;11;11;2140;No
BanKMarcelo;11;11;2124;No
TuPeorMiedo9;11;11;2122;No
Metallero69;11;11;2122;No
Berserker305;11;11;2119;No
RogerH;11;11;2112;No
MarceloIC3;11;11;2108;No
NadPersonal;11;11;2104;No
METALEROCK75;11;11;2102;No
KillerOfDoom;11;11;2087;No
HXCpunks;11;11;2081;No
Lady Milu;11;11;2074;No
DarwN504;11;11;2063;No
xXeponaXx;11;11;2057;No
HINATA PARK;11;11;2052;No
MACHETE14;11;11;2048;No
Goldpanda12;11;11;2043;No
Indestructi;11;11;2029;No
AK Dexdex1;11;11;2024;No
RENE GADO;11;11;2014;No
MA DA FA KAA;11;11;2012;No
Shazaammmmm;11;11;2012;No
Aztaroc;11;11;2002;No
Berserker300;11;11;1999;No
xNeZuKkox;11;11;1995;No
Franklin F;11;11;1990;No
X La Reina X;11;11;1990;No
InkiietoOxo;11;11;1986;No
Ian Skinny;11;11;1981;No
inkiietoO;11;11;1981;No
Artemis 1203;11;11;1980;No
Bolo Toxico;11;11;1976;No
Monserratfer;11;11;1966;No
Darkrose46;11;11;1965;No
Corona beer;11;11;1955;No
edg1000;11;11;1953;No
berserker302;11;11;1948;No
STROM14X;11;11;1944;No
Berserker301;11;11;1936;No
Bastianfox32;11;11;1936;No
Degaros;11;11;1928;No
Camus AC;11;11;1926;No
Shadow G R;11;11;1920;No
Mirshadow;11;11;1918;No
Degaros Bank;11;11;1916;No
Marceloice;11;11;1911;No
berserker303;11;11;1908;No
XxHinaTaxX5;11;11;1906;No
1BAGABUNDO3;11;11;1899;No
Vinicar 1;10;11;1890;No
JONHHAATHAAN;10;11;1887;No
RoOckoO;11;11;1886;No
RAZIEL DARK;11;11;1885;No
Ternurita xD;11;11;1872;No
Berserker306;11;11;1870;No
Legonas34;11;11;1870;No
Dranc3r G R;11;11;1866;No
unica2;11;11;1853;No
xXGeaXx;11;11;1847;No
minipatito;10;11;1845;No
Tanzuko;11;11;1839;No
juju666;11;11;1837;No
RiidDiick;11;11;1829;No
El Shojan;11;11;1812;No
paradisv;11;11;1790;No
Paradisev;11;11;1788;No
juju 667;11;11;1787;No
xXEpicaXx;11;11;1770;No
SOY EL LIDER;11;11;1769;No
UN1K4;11;11;1761;No
ESC4NOR JR;11;11;1758;No
LeonidasIII;11;11;1755;No
cataleya05;11;11;1742;No
CACHAROOOOOO;11;11;1729;No
Shazaaammmm2;10;11;1715;No
Villamill;11;11;1701;No
Mateo D;11;11;1696;No
XxSaKkuRaxX;11;11;1682;No
Nagini v;11;11;1674;No
BankRoger;0;0;0;No
