IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1800140447;Pekoza;RANK2;64450756;64415391;35365;12196;12196;0;
1713166875;Soy Zeus;RANK2;97353213;97301015;52198;86727;86727;0;
1519799082;SOY EL LIDER;RANK3;502079447;501239289;840158;16700560;16700560;0;
1443640152;HyperWoodT;RANK3;474012335;474076271;-63936;13738316;13738316;0;
1443547797;HyperOreT;RANK3;429963076;429660208;302868;25548279;25548279;0;
1441229419;xXDOLAR SXx;RANK3;337066420;337053460;12960;448016;448016;0;
1316145539;juju 667;RANK3;529361861;529361861;0;3806544;3806544;0;
1289231505;Josedestro;RANK3;779992476;779977860;14616;38886715;38886715;0;
1289057104;YoiFm;RANK3;863273372;863288841;-15469;3872104;3872104;0;
1286985307;Casper08;RANK3;1308843481;1299523309;9320172;10679919;10679919;0;
1286911609;juju666;RANK4;1026851958;1026851958;0;46626036;46626036;0;
1231213554;XGrakoX;RANK3;393928631;393796631;132000;5602932;5602932;0;
1205361356;MA DA FA KAA;RANK3;1837237947;1836697947;540000;154155427;154155427;0;
1113709623;ODlOSA;RANK3;982774916;982669980;104936;63772385;63772385;0;
1089189645;Juno 1ero;RANK3;537791608;537791608;0;39708295;39708295;0;
1065535645;Lady Milu;RANK3;999745060;999609624;135436;18116208;18116208;0;
1048112684;CACHAROOOOOO;RANK3;526264610;526264610;0;47002484;47002484;0;
1044433599;El Shojan;RANK3;1242104890;1242095922;8968;175222495;175222495;0;
1036257176;Alexaandraaa;RANK3;1275967447;1275265160;702287;226777417;226777417;0;
1021547902;Legonas34;RANK3;1035807264;1036238454;-431190;325978537;325585537;393000;
1000880172;Nimsiky;RANK2;219643400;219643400;0;3254873;3254873;0;
977455907;HINATA PARK;RANK4;1135752219;1134940364;811855;211366059;211205011;161048;
938440997;Diego2525;RANK3;1522114675;1518622395;3492280;111096870;111096870;0;
934040261;Ternurita xD;RANK2;439023413;438872561;150852;8111738;8111738;0;
920643995;Hernanr;RANK2;497748893;488379357;9369536;13125563;13125563;0;
912311473;VeneChi;RANK3;909203832;908708916;494916;4952491;4952491;0;
887306308;EL CURANDERO;RANK2;665902474;665876263;26211;118254588;118254588;0;
874583238;perro loco;RANK2;793322298;793322298;0;52312301;52312301;0;
842907831;minipatito;RANK4;777457285;777457285;0;410369284;410369284;0;
842822028;Indestructi;RANK3;846577872;851630262;-5052390;15723707;15540200;183507;
838375562;WwTHANOS53wW;RANK3;1942464178;1940410271;2053907;914130212;914130212;0;
836205269;cnstantine;RANK3;1440768885;1440638885;130000;47351371;47351371;0;
825516531;Gran Boros;RANK3;2434139769;2431298213;2841556;7220029;7220029;0;
801723402;Artemis 1203;RANK3;844820129;844820129;0;8822560;8822560;0;
792010083;arandano;RANK3;1035321574;1032032422;3289152;67892948;67892948;0;
788358149;LaJackie;RANK3;878014692;877786548;228144;12487571;12487571;0;
782638837;DarwN504;RANK3;1399358645;1398818539;540106;133884537;133884537;0;
781591729;NadPersonal;RANK3;651645349;648281688;3363661;85199809;84681878;517931;
779335230;edg1000;RANK3;1085856863;1086022919;-166056;10852905;10852905;0;
765003236;4XL ROSSE;RANK3;1134780641;1134780641;0;241866162;241866162;0;
762775445;FARTHAMMER;RANK3;668190889;668190889;0;34893478;34893478;0;
748449653;Dr Arrecho;RANK2;1065107985;1065107985;0;109870174;109870174;0;
735077490;2 PROMETHEUS;RANK3;546580614;546580614;0;6380063;6380063;0;
