Name;Completed;Total;Score;Completed Bonus
Uriel 25;12;12;3508;Yes
DanielCPM;12;12;3447;Yes
Akitedoy;12;12;3128;Yes
nljorge2015;12;12;2993;Yes
Agent 89;12;12;2871;Yes
Knight Lute;12;12;2849;Yes
Delsy14;12;12;2745;Yes
Gera68;11;12;2684;Yes
Ven Ktecacho;12;12;2651;No
cieguito;12;12;2639;Yes
Delsy;12;12;2636;Yes
Hinata198;12;12;2623;Yes
Amaro Snappe;12;12;2595;Yes
JULIETA2023;12;12;2579;Yes
Dragonear;12;12;2569;Yes
Darkcod;12;12;2566;Yes
tesoropirata;12;12;2558;Yes
RaMiiReZz;12;12;2551;Yes
BaKcusKILL;12;12;2546;Yes
davisxd13;11;12;2543;Yes
LordFranking;12;12;2510;No
JASP Cosmos;12;12;2508;Yes
Lazy Reader;12;12;2505;Yes
Pupilo2020;12;12;2496;No
Joss  Lr;11;11;2495;Yes
Crazy Apple;12;12;2473;Yes
Cores;12;12;2460;No
CryWolf0000o;12;12;2458;Yes
Tuerto;12;12;2447;No
Whitey Bay;11;12;2434;Yes
Titto o1;12;12;2433;No
stev123;11;12;2425;Yes
Keilynd;12;12;2416;Yes
Anton200;11;12;2412;No
Dinamita000;11;12;2402;Yes
G04;12;12;2401;Yes
MacArthor;12;12;2400;Yes
CapitanLuffy;11;12;2385;Yes
RaMiiReZz24;12;12;2373;No
WellingtonGF;12;12;2373;Yes
XxTurGuTxX;12;12;2365;No
minipirata;12;12;2354;Yes
CH  Fox;12;12;2334;Yes
VALIR LM;11;12;2329;Yes
MapleQoQleaf;12;12;2315;No
toma toma ch;12;12;2311;Yes
BLACK BARTD;12;12;2311;Yes
Franking127;10;12;2301;Yes
RaMiiReZz1;12;12;2297;No
ViperIA;12;12;2277;Yes
Fortus2556;11;12;2266;No
SPaRRoWdark;12;12;2259;Yes
LORD ISRAFEL;10;11;2239;Yes
Anon Z;12;12;2187;No
condoritoo;12;12;2184;Yes
Keila Jr;10;12;2176;Yes
hasan dmr;12;12;2148;No
YINGYANG SOO;11;12;2133;Yes
ramdai;11;12;2122;No
arkdarkangel;11;12;2121;No
I MrLoverman;12;12;2120;No
Aminedz31;11;12;2108;No
Huntsman198;11;12;2107;No
Gemini 09;12;12;2101;No
Niga777 Oww;11;11;2092;Yes
Ningguan;11;11;2070;Yes
FugasDark;10;12;2067;No
FiberIA;12;12;2062;No
El Sr Noche;11;11;2056;No
Zevalon;12;12;2046;No
RockDXebe;12;12;1999;Yes
mvk11;10;10;1947;Yes
foodXtrigo;10;12;1905;No
MR RABB1T;10;12;1871;No
craxus;10;11;1859;No
Tholin;10;11;1855;Yes
Zeexysssm;10;12;1851;No
abrahamchino;9;10;1839;Yes
Dixon124;9;10;1831;No
Maroc 1rad2;11;12;1826;No
KP12;9;9;1785;Yes
Dixon93;10;10;1766;No
ramizaabanku;10;12;1761;No
