IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1993043416;foodXtrigo;RANK4;34361757;34309763;51994;2563;2563;0;
1931999926;Juani cd;RANK2;60558516;60306353;252163;662606;662606;0;
1833982199;ARKERAOSCURA;RANK4;191000705;189990708;1009997;1982913;1982913;0;
1821947720;momonga2224;RANK3;186762810;184574661;2188149;2334664;2334664;0;
1769404856;DanielCPM;RANK3;481885623;481737534;148089;2666839;2666839;0;
1349735167;toma toma ch;RANK2;360343474;360343474;0;692001;692001;0;
1320544409;Kirito F;RANK2;796060516;795988516;72000;6429881;6429881;0;
1085355636;alex 2031;RANK1;75352365;73316949;2035416;450921;450921;0;
991824699;Hinata198;RANK3;333992690;333972977;19713;2776922;2776922;0;
970682298;LordFranking;RANK2;712318679;711506127;812552;11310735;11310735;0;
950815929;JASP Cosmos;RANK3;862089160;861953128;136032;7980635;7979265;1370;
922811790;Castlewar;RANK2;103631046;103545930;85116;287875;287875;0;
895465762;OldwarriorR;RANK3;1169148696;1168568696;580000;46934356;46934356;0;
875030490;alex2131;RANK1;413293470;413295358;-1888;6599541;6599541;0;
832148490;Ningguan;RANK2;278952852;278328852;624000;27116452;27116452;0;
831891353;Darkcod;RANK4;1118708391;1096703511;22004880;52611678;52611678;0;
831518455;craxus;RANK3;971643223;971702983;-59760;22031905;22031905;0;
830851438;arkdarkangel;RANK2;15292172;15292172;0;12760;12760;0;
830596565;Ven Ktecacho;RANK3;1028737529;1027917529;820000;63422364;63422364;0;
828692261;Floppy 1218;RANK2;1439925019;1434649770;5275249;11788996;11788996;0;
828134300;PegasusDark;RANK2;1026668280;1026501880;166400;8182396;8182396;0;
826839849;Uriel 25;RANK3;523456967;523456967;0;17865354;17865354;0;
824269943;I N X 92;RANK2;548114536;547786936;327600;237208;237208;0;
812137514;MacArthor;RANK4;1305932750;1305776750;156000;203138018;203138018;0;
811788517;hasan dmr;RANK2;876487750;876487750;0;10674822;10674822;0;
807663807;m siu;RANK4;1072263642;1069279308;2984334;86858584;86858584;0;
795567443;stev123;RANK4;899287995;898892259;395736;23207939;23207939;0;
776648251;RockDXebe;RANK2;86290484;85660484;630000;190382;190382;0;
775199185;CapitanLuffy;RANK2;20576217;20576217;0;652659;652659;0;
773606034;XxTurGuTxX;RANK3;793208616;793208616;0;4216838;4216838;0;
773316046;Delsy14;RANK3;1030507129;1030442809;64320;18578403;18578403;0;
773085582;Lazy Reader;RANK3;668454109;668120151;333958;9801157;9801157;0;
773025853;Huntsman198;RANK3;629079150;628928322;150828;11173892;11173892;0;
763965635;Anton200;RANK4;1103240119;1102550455;689664;44036570;44036570;0;
754302043;Dixon93;RANK3;678397802;678275380;122422;6131826;6131826;0;
744236892;Fortus2556;RANK2;276389742;276373341;16401;115994;115994;0;
742450424;Tuerto;RANK3;420481616;420711764;-230148;439440;438791;649;
736862175;bocajrss;RANK3;401840069;395451089;6388980;9523894;9523894;0;
725176675;RaMiiReZz1;RANK2;1388753939;1388649939;104000;52343133;52343133;0;
707169548;FugasDark;RANK3;358915741;358953829;-38088;111552;111552;0;
706874998;Franking127;RANK3;1059486540;1057448201;2038339;26572296;26572296;0;
704383467;RaMiiReZz24;RANK2;296941986;296941986;0;2087515;2087515;0;
694991679;Whitey Bay;RANK5;1972586775;1971848871;737904;1129242341;1129242341;0;
689020679;VALIR LM;RANK3;939014174;937743914;1270260;62280991;62280991;0;
671971498;Joss  Lr;RANK3;757413592;757413592;0;23006136;23006136;0;
664334180;YINGYANG SOO;RANK2;628251164;627711164;540000;63405678;63405678;0;
