Name;Completed;Total;Score;Completed Bonus
Cores;9;9;1891;No
Knight Lute;9;9;1890;No
Agent 89;9;9;1792;No
Dragonear;9;9;1770;No
tesoropirata;9;9;1749;No
minipirata;9;9;1675;No
Delsy14;9;9;1668;No
Delsy;9;9;1635;No
Lazy Reader;9;9;1625;No
Crazy Apple;9;9;1612;No
LordFranking;9;9;1573;No
Tuerto;9;9;1556;No
Franking127;9;9;1550;No
Ningguan;8;9;1548;No
Anton200;9;9;1540;No
JASP Cosmos;9;9;1529;No
WellingtonGF;9;9;1512;No
XxTurGuTxX;9;9;1506;No
AlexGeoo;9;9;1500;No
MacArthor;9;9;1492;No
SPaRRoWdark;9;9;1479;No
Fug4s;9;9;1478;No
CryWolf0000o;9;9;1477;No
nljorge2015;9;9;1476;No
RaMiiReZz24;9;9;1473;No
lxlpersa;9;9;1468;No
best bby;9;9;1463;No
DanielCPM;9;9;1463;No
Darkcod;8;8;1460;No
Fortus2556;9;9;1446;No
RaMiiReZz;9;9;1445;No
Flaco F1;9;9;1442;No
m siu;9;9;1436;No
Amaro Snappe;8;9;1435;No
toma toma ch;8;9;1432;No
RaMiiReZz1;8;8;1432;No
Hinata198;9;9;1427;No
VALIR LM;9;9;1423;No
Huntsman198;8;9;1405;No
Whitey Bay;9;9;1404;No
MapleQoQleaf;9;9;1403;No
N1GGA 777;9;9;1386;No
FugasBrave;9;9;1384;No
FugasPed;9;9;1382;No
FugasDark;9;9;1378;No
Akitedoy;9;9;1368;No
craxus;9;9;1361;No
esperion2019;9;9;1349;No
Gandalf JB;9;9;1345;No
stev123;9;9;1337;No
Uriel 25;9;9;1335;No
Tholin;8;8;1324;No
LORD ISRAFEL;6;6;1323;No
I N X 92;9;9;1319;No
Niga777 Oww;8;9;1313;No
IGC2024;9;9;1303;No
Dixon93;8;8;1277;No
MR Clipper;9;9;1275;No
mvk11;9;9;1269;No
foodXtrigo;9;9;1262;No
Silsamun;8;9;1260;No
ZEYAD777;8;8;1214;No
FugasMin;7;7;1211;No
Ven Ktecacho;6;6;1206;No
hasan dmr;8;9;1202;No
akileskach0;8;8;1190;No
FREEPALEST1N;8;9;1143;No
Joss  Lr;7;8;1134;No
Dixon124;8;8;1130;No
YINGYANG SOO;8;8;1100;No
Death lol;7;8;1072;No
M1ST3RI0;8;8;1059;No
BlitzWolf So;7;8;1056;No
Dinamita000;8;9;1045;No
