IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1993043416;foodXtrigo;RANK4;32718399;32457298;261101;1611;1611;0;
1833982199;ARKERAOSCURA;RANK4;176355673;174707901;1647772;1625859;1625859;0;
1821947720;momonga2224;RANK3;157644113;152918739;4725374;2334664;2334664;0;
1769404856;DanielCPM;RANK3;476573967;463300563;13273404;2666839;2666839;0;
1436843562;FugasPed;RANK3;224409887;224165755;244132;620706;620706;0;
1401208142;FugasMin;RANK3;216791365;216783685;7680;944219;944219;0;
1349735167;toma toma ch;RANK2;328090010;328090010;0;692001;692001;0;
1320544409;Kirito F;RANK2;770520547;770426547;94000;6429881;6429881;0;
991824699;Hinata198;RANK3;321238446;319896546;1341900;2776922;2776922;0;
970682298;LordFranking;RANK2;695882776;695882776;0;11310735;11310735;0;
950815929;JASP Cosmos;RANK3;854327783;854243629;84154;7979265;7979265;0;
895465762;OldwarriorR;RANK2;1155161738;1155140025;21713;46934356;46934356;0;
832148490;Ningguan;RANK2;356068333;356068333;0;26770816;26770816;0;
831891353;Darkcod;RANK4;1141301735;1141301735;0;51058234;51058234;0;
831518455;craxus;RANK3;950101447;946921799;3179648;22021878;22021878;0;
830851438;arkdarkangel;RANK2;10582757;10566257;16500;12743;12743;0;
830596565;Ven Ktecacho;RANK3;983533742;983429742;104000;63378815;63378815;0;
828692261;Floppy 1218;RANK2;1387493141;1387467797;25344;11788996;11788996;0;
828134300;PegasusDark;RANK2;1000173779;1000007379;166400;8178515;8178515;0;
826839849;Uriel 25;RANK2;508052588;507846560;206028;17865354;17865354;0;
824269943;I N X 92;RANK2;478195554;478137554;58000;237208;237208;0;
817382736;Gandalf JB;RANK3;933311455;933311455;0;24702614;24702614;0;
812137514;MacArthor;RANK4;1304214050;1303843486;370564;203138018;203138018;0;
811788517;hasan dmr;RANK2;816208856;815748971;459885;10425950;10363595;62355;
807663807;m siu;RANK4;1022519025;1019394975;3124050;86729335;86729335;0;
795567443;stev123;RANK3;877523232;877148274;374958;23207939;23207939;0;
779484501;lxlpersa;RANK2;785210083;779189079;6021004;10689684;10689596;88;
776648251;RockDXebe;RANK2;82684234;82369234;315000;190150;190150;0;
775199185;CapitanLuffy;RANK2;21054089;20994089;60000;652316;652316;0;
773606034;XxTurGuTxX;RANK3;789644926;789644926;0;4216838;4216838;0;
773316046;Delsy14;RANK3;1024593305;1024531985;61320;18578403;18578403;0;
773085582;Lazy Reader;RANK3;658408613;658116193;292420;9801157;9801157;0;
773025853;Huntsman198;RANK2;610017808;605858329;4159479;11173892;11132022;41870;
763965635;Anton200;RANK4;1087128906;1087128906;0;43985378;43985378;0;
744236892;Fortus2556;RANK2;274669942;273795852;874090;115994;115994;0;
742450424;Tuerto;RANK3;420711764;420711764;0;438791;438791;0;
736862175;bocajrss;RANK3;382535731;382442303;93428;9523894;9523894;0;
725176675;RaMiiReZz1;RANK2;1382684842;1382144842;540000;52343133;52343133;0;
707169548;FugasDark;RANK3;329467217;329027020;440197;111552;111552;0;
706874998;Franking127;RANK3;1037799979;1037486455;313524;26543601;26543601;0;
704383467;RaMiiReZz24;RANK2;270521020;269785756;735264;1800912;1800912;0;
694991679;Whitey Bay;RANK5;2021700711;2021657943;42768;1117978572;1117978572;0;
689020679;VALIR LM;RANK2;906374937;900395317;5979620;62280991;62280991;0;
683110836;FugasBrave;RANK3;335751723;335735883;15840;239868;239868;0;
671971498;Joss  Lr;RANK1;757692361;757692361;0;22744965;22744965;0;
664334180;YINGYANG SOO;RANK2;620560898;620560898;0;63405678;63405678;0;
653073693;Dinamita000;RANK3;514897350;514897350;0;1421049;1421049;0;
649129633;Dragonear;RANK2;732829104;732496464;332640;6403310;6403310;0;
646388458;LORD ISRAFEL;RANK3;1459210489;1458094475;1116014;81178924;81178924;0;
645296234;Crazy Apple;RANK3;494932990;494923390;9600;55654;55654;0;
635128233;Agent 89;RANK3;575509197;575509197;0;15948498;15948498;0;
633176319;tesoropirata;RANK3;150164286;150164286;0;520523;520523;0;
