User ID;Name;Total;Hunt;Purchase; ;L1 (Hunt);L2 (Hunt);L3 (Hunt);L4 (Hunt);L5 (Hunt); ;L1 (Purchase);L2 (Purchase);L3 (Purchase);L4 (Purchase);L5 (Purchase); ;Points (Hunt);Goal Percentage (Hunt); ;Points (Purchase);Goal Percentage (Purchase); ;First Hunt Time;Last Hunt Time
0;Total;275;274;1;;14;198;60;2;0;;1;0;0;0;0;;0;0%;;0;0%;;2025/30/07 06:00:00;2025/31/07 06:00:00
686476355;RANA BRH;3;3;0;;0;1;2;0;0;;0;0;0;0;0;;7;20%;;0;0%;;2025/30/07 08:48:53;2025/30/07 18:23:48
805478451;AMATEUS;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;8;23%;;0;0%;;2025/30/07 17:18:29;2025/30/07 22:12:04
791477549;Arman BRH;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;17%;;0;0%;;2025/30/07 18:19:13;2025/31/07 05:47:00
544246204;Balok Rana 3;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;9%;;0;0%;;2025/30/07 14:13:15;2025/30/07 14:13:15
1829533916;BD FoYsal22;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;6;17%;;0;0%;;2025/30/07 09:33:55;2025/30/07 17:32:18
837112253;borre1421;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;14%;;0;0%;;2025/30/07 08:33:58;2025/30/07 14:20:38
1000860405;Chapolin xRn;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;9%;;0;0%;;2025/31/07 03:26:14;2025/31/07 03:26:14
250133078;FIREROBERT72;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1231864379;Flokitho;11;11;0;;2;9;0;0;0;;0;0;0;0;0;;9;26%;;0;0%;;2025/30/07 16:40:25;2025/31/07 03:53:43
511194212;Jhonyk;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
402214266;rey Gondor;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;9%;;0;0%;;2025/31/07 01:39:31;2025/31/07 01:39:31
641662210;Robbersdog;1;1;0;;0;1;0;0;0;;0;0;0;0;0;;1;3%;;0;0%;;2025/30/07 08:19:04;2025/30/07 08:19:04
836562718;rufo 44;5;5;0;;0;3;2;0;0;;0;0;0;0;0;;9;26%;;0;0%;;2025/30/07 18:44:06;2025/31/07 03:08:18
1434098193;SAiFuL 0;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;11%;;0;0%;;2025/30/07 09:27:57;2025/30/07 21:41:02
558407092;SH MuNnA;7;7;0;;0;6;1;0;0;;0;0;0;0;0;;9;26%;;0;0%;;2025/30/07 06:49:24;2025/31/07 00:35:16
529963297;SilentD;3;3;0;;0;2;1;0;0;;0;0;0;0;0;;5;14%;;0;0%;;2025/30/07 18:28:36;2025/30/07 18:29:49
871687154;sreelaxman;15;15;0;;0;0;15;0;0;;0;0;0;0;0;;45;129%;;0;0%;;2025/30/07 14:02:25;2025/30/07 18:20:30
961035645;TAKBIR xD;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;17%;;0;0%;;2025/30/07 17:52:05;2025/30/07 18:26:24
356317468;WhiteJackal;2;2;0;;0;0;2;0;0;;0;0;0;0;0;;6;17%;;0;0%;;2025/31/07 02:46:38;2025/31/07 02:47:51
1491111997;ABDUL 420;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;9%;;0;0%;;2025/30/07 09:16:28;2025/30/07 17:33:47
1274053856;ABDUL AKJ;1;1;0;;0;0;0;1;0;;0;0;0;0;0;;9;26%;;0;0%;;2025/30/07 09:12:38;2025/30/07 09:12:38
886861087;ADES 888;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;14%;;0;0%;;2025/30/07 19:33:42;2025/30/07 19:37:46
1268837245;ADES333;2;2;0;;0;1;1;0;0;;0;0;0;0;0;;4;11%;;0;0%;;2025/30/07 16:35:20;2025/30/07 16:45:36
988897627;Afrodita101;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;8;23%;;0;0%;;2025/30/07 06:00:02;2025/31/07 00:20:33
1835251519;BD Archer;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;14%;;0;0%;;2025/30/07 10:02:15;2025/30/07 18:18:46
651024621;BD HaSaN CTG;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;8;23%;;0;0%;;2025/30/07 08:24:53;2025/30/07 23:38:03
574580766;CH1HUAHUA;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
613764743;David 29;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
573617829;Davids33;2;2;0;;0;1;1;0;0;;0;0;0;0;0;;4;11%;;0;0%;;2025/30/07 17:48:02;2025/31/07 01:10:48
987468963;DAVIL VIPER;3;3;0;;0;0;3;0;0;;0;0;0;0;0;;9;26%;;0;0%;;2025/30/07 11:59:38;2025/30/07 23:42:04
1103768179;Deamon420;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;9%;;0;0%;;2025/30/07 13:48:57;2025/30/07 13:48:57
829121660;Desquintador;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1953004725;exparta 300;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;29%;;0;0%;;2025/30/07 11:42:22;2025/31/07 03:51:54
1231554192;Flokitho 2;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;11%;;0;0%;;2025/30/07 19:12:29;2025/30/07 19:14:23
1021109878;franco e isa;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;9%;;0;0%;;2025/30/07 15:05:20;2025/30/07 15:05:20
1037344998;Hades1234569;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;9%;;0;0%;;2025/30/07 22:57:46;2025/30/07 22:57:46
829438122;Intel i9;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;9%;;0;0%;;2025/31/07 03:07:10;2025/31/07 03:07:10
800045913;jmic17986;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;6;17%;;0;0%;;2025/31/07 05:28:51;2025/31/07 05:39:19
813359673;juanpablo3;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
797463579;kendo21;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;9%;;0;0%;;2025/30/07 23:01:55;2025/30/07 23:01:55
1319793618;Koushikpunam;3;3;0;;0;2;1;0;0;;0;0;0;0;0;;5;14%;;0;0%;;2025/30/07 06:38:42;2025/30/07 20:06:00
706593862;l3RH;5;5;0;;2;3;0;0;0;;0;0;0;0;0;;3;9%;;0;0%;;2025/30/07 14:08:18;2025/31/07 05:38:52
515527174;lady nin;22;21;1;;0;21;0;0;0;;1;0;0;0;0;;21;60%;;1;2%;;2025/30/07 18:09:13;2025/31/07 05:29:42
820039438;laxman11;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;2;6%;;0;0%;;2025/30/07 18:06:05;2025/30/07 18:08:38
800319527;Lord Josed;3;3;0;;0;1;2;0;0;;0;0;0;0;0;;7;20%;;0;0%;;2025/30/07 08:19:47;2025/31/07 05:21:29
812108151;LordTaz20;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;9%;;0;0%;;2025/30/07 17:56:35;2025/31/07 05:34:39
