Name;Completed;Total;Score;Completed Bonus
ADES444;11;11;2605;No
SH JunioR;11;11;2581;No
Ades banck;11;11;2502;No
TAKBIR xD;11;11;2442;No
Ashraful stu;11;11;2307;No
SAiFuL 0;10;11;2306;No
Sam BNG;11;11;2306;No
Arman BRH;11;11;2303;No
rufo 44;11;11;2301;No
Balok Rana 3;11;11;2280;No
SantiSO;11;11;2277;No
Sk MaNiK 0;11;11;2265;No
ADES333;11;11;2233;No
laxman11;11;11;2231;No
taj bhai  W;11;11;2221;No
Rock  Ford 2;11;11;2214;No
Saruman X;11;11;2212;No
MAGNUM mg;11;11;2211;No
Arnald;11;11;2200;No
SHALOM KHAN;11;11;2184;No
Koushikpunam;11;11;2180;No
Royal Bangla;11;11;2152;No
Robbersdog;11;11;2144;No
l3RH;11;11;2143;No
Wolrdkill01;11;11;2138;No
RANA BRH;11;11;2136;No
Ades 999;11;11;2133;No
World kill02;11;11;2129;No
Davids34;11;11;2128;No
Jordi  E N P;11;11;2117;No
Rock  Ford;11;11;2111;No
Intel i9;10;10;2099;No
Lagerthaa85;11;11;2089;No
AMATEUS;11;11;2087;No
Darcksider2;11;11;2083;No
davids28;11;11;2080;No
Afrodita101;11;11;2073;No
Rock Junior;11;11;2064;No
SH MuNnA;10;11;2049;No
rey Gondor;11;11;2048;No
Robert 72;11;11;2047;No
franco e isa;11;11;2044;No
Jhonyk;11;11;2034;No
avila59;10;10;2034;No
Shao khan x;11;11;2027;No
David 29;10;11;2027;No
Napoleon2018;11;11;2026;No
rey d Gondor;11;11;2023;No
taj bhai 0;11;11;2017;No
SilentD;11;11;2016;No
ADES 888;11;11;2015;No
sr tio;11;11;2002;No
BD FoYsal22;11;11;1994;No
Olgiz;11;11;1984;No
Nemesis29;11;11;1981;No
Orlando7807;11;11;1974;No
Desquintador;11;11;1973;No
Ulises lara;11;11;1969;No
jmic17986;11;11;1969;No
Flokitho;11;11;1954;No
Maradon4 xRN;10;11;1948;No
borre1421;11;11;1947;No
sukis;11;11;1947;No
ABDUL AKJ;11;11;1941;No
juanpablo3;11;11;1939;No
TAKUDA XXX;11;11;1935;No
cumbia 21;11;11;1925;No
Chapolin xRn;10;11;1921;No
med49Z;11;11;1909;No
exparta 300;11;11;1896;No
radamanthizz;11;11;1881;No
Lord Josed;10;10;1867;No
Davids33;9;10;1848;No
PK Shahadat;11;11;1843;No
OSMAN BRH;10;10;1831;No
taj bhai F;11;11;1817;No
ABDUL 420;10;11;1816;No
sreelaxman;10;11;1815;No
Hades1234569;11;11;1805;No
PENETREITORR;10;11;1803;No
Wh1teJacka1;10;10;1782;No
WhiteJackal;9;9;1781;No
Tourbulence;10;11;1761;No
ViiahM;11;11;1757;No
BD HaSaN CTG;10;11;1748;No
robert72 jr;11;11;1741;No
MINATO NMKZE;11;11;1736;No
FIREROBERT72;11;11;1735;No
Md Jashim;9;10;1717;No
ANDERSON RC;11;11;1698;No
Flokitho 2;11;11;1695;No
Wh1teJackaL;9;10;1672;No
Rossemberthg;9;11;1541;No
lady nin;4;4;815;No
kendo21;5;5;766;No
BD Archer;0;0;0;No
SHOPON Bhai;0;0;0;No
P3RV3G07;0;0;0;No
ZED Fun;0;0;0;No
