IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1976370463;Rohit BRH;RANK3;52835163;52835163;0;530071;530071;0;
1953004725;exparta 300;RANK4;335134833;329993889;5140944;3437902;3437902;0;
1878226755;OSMAN BRH;RANK1;323035189;322656269;378920;1219228;1219228;0;
1865655896;Arnald;RANK3;170463639;170463639;0;417656;417656;0;
1829533916;BD FoYsal22;RANK4;505352853;503658669;1694184;18883200;18883200;0;
1824967818;ANDERSON RC;RANK3;273242316;273005148;237168;2570978;2570978;0;
1812242908;Davids34;RANK2;71373245;71362745;10500;1566193;1566193;0;
1798082358;sr tio;RANK3;244079873;243873259;206614;4393064;4393064;0;
1575135925;World kill02;RANK3;388625913;378617442;10008471;102765071;102765071;0;
1491111997;ABDUL 420;RANK3;539469641;539434397;35244;1091248;1091248;0;
1445451551;enjoy life H;RANK3;1940268196;1939242036;1026160;2106431018;2106429478;1540;
1439804125;FRAJOLA xR;RANK2;102392866;0;0;179168;0;0;
1434098193;SAiFuL 0;RANK4;1403297436;1398505761;4791675;37563293;37563292;1;
1361074590;PIKA PIKA SK;RANK2;237506854;237506854;0;16890678;16890678;0;
1359676169;SK SABBIR;RANK3;1469246454;1467090908;2155546;1109592381;1109412810;179571;
1319793618;Koushikpunam;RANK4;801644359;782363869;19280490;7999216;7999216;0;
1291517751;Tex Hik ru;RANK3;327584083;327551469;32614;3099540;3099540;0;
1274053856;ABDUL AKJ;RANK3;1261799739;1262001483;-201744;23224411;23224411;0;
1268837245;ADES333;RANK3;890680832;890884908;-204076;20915866;20915866;0;
1259404288;cumbia 21;RANK3;360252375;360070335;182040;4734636;4734636;0;
1257365499;z3 Captain;RANK3;237921005;236828609;1092396;16273422;16273422;0;
1231864379;Flokitho;RANK4;841900503;842236163;-335660;49972181;49972181;0;
1231554192;Flokitho 2;RANK3;1017029987;1014328052;2701935;33346083;33268067;78016;
1230715621;Ulises lara;RANK3;608738768;608228742;510026;14593164;14593164;0;
1218400831;sukis;RANK3;584204348;584084028;120320;16836073;16836073;0;
1103768179;Deamon420;RANK3;593783319;593783319;0;26714287;26714287;0;
1096643932;TAKBIR HSC;RANK4;241924154;233120802;8803352;783016;783016;0;
1089729250;Rossemberthg;RANK3;1123435285;1123395285;40000;15818923;15818923;0;
1059882725;una de burro;RANK1;278197487;278210866;-13379;7789204;7789204;0;
1052841957;Lagerthaa85;RANK2;515024391;510237738;4786653;6680497;6680497;0;
1037344998;Hades1234569;RANK3;1349706534;1344421588;5284946;10374665;10349996;24669;
1030714087;Maradon4 xRN;RANK3;479085082;476473404;2611678;44760;44760;0;
1021109878;franco e isa;RANK3;835542857;835349089;193768;3106851;3106851;0;
1020536322;Royal Bangla;RANK3;1582857665;1582095169;762496;34547080;34547080;0;
1017960864;Darcksider2;RANK3;554096812;550438891;3657921;23618575;23618575;0;
1008653686;med49Z;RANK2;591359439;588824946;2534493;65829481;65784981;44500;
1000860405;Chapolin xRn;RANK4;1801845899;1802165195;-319296;190361731;190361731;0;
988897627;Afrodita101;RANK3;1773039354;1772520482;518872;16410954;16410953;1;
988653129;SantiSO;RANK3;662618551;662443551;175000;5275998;5275998;0;
988631428;Saruman X;RANK3;797563101;797050701;512400;15503660;15503660;0;
987468963;DAVIL VIPER;RANK4;1139657585;1139036720;620865;146172427;146172427;0;
976753644;Glad73737373;RANK3;1329437151;1329437149;2;5775132;5775132;0;
961035645;TAKBIR xD;RANK4;1096086650;1096060970;25680;83547117;83547117;0;
954413696;Napoleon2018;RANK3;842009474;833572935;8436539;11184183;11184183;0;
950983102;Jordi  E N P;RANK3;410889425;381624927;29264498;43907488;43907488;0;
936528904;Nittanondo 1;RANK3;1112178735;1108054165;4124570;47871672;47871671;1;
886861087;ADES 888;RANK4;1097883084;1097904036;-20952;17749236;17749236;0;
871687154;sreelaxman;RANK4;2112559081;2112554965;4116;1053612368;1053612368;0;
862668268;Olgiz;RANK3;573261813;563156652;10105161;15373358;15373358;0;
845155861;ADES444;RANK3;523579225;523579225;0;22459665;22459665;0;
838078071;TexHik pyc;RANK3;935193734;934693428;500306;9955366;9955366;0;
837112253;borre1421;RANK4;641739572;641688156;51416;33859821;33859821;0;
836562718;rufo 44;RANK4;740828276;740790446;37830;37047436;37047436;0;
834188413;3AXAP GALA;RANK3;1142445839;1142467347;-21508;7653496;7653496;0;
829438122;Intel i9;RANK3;482226830;481650830;576000;23665592;23665592;0;
829121660;Desquintador;RANK3;507814546;496011732;11802814;33799634;33799634;0;
822362301;Tourbulence;RANK3;721481057;721318597;162460;14579070;14579070;0;
820039438;laxman11;RANK3;309959990;309361808;598182;1827730;1827730;0;
813734403;3axap gala U;RANK3;974271725;973327432;944293;9188777;9188777;0;
813359673;juanpablo3;RANK3;1230855756;1230395136;460620;80656307;80608068;48239;
812510915;radamanthizz;RANK3;548211260;548211260;0;67065290;67065290;0;
812108151;LordTaz20;RANK3;240217747;240188791;28956;4965538;4965538;0;
805478451;AMATEUS;RANK4;1463175411;1462354725;820686;286846415;286658309;188106;
800319527;Lord Josed;RANK4;888025253;887057447;967806;27437854;27437854;0;
800045913;jmic17986;RANK3;1035754835;1020351847;15402988;10299407;10299407;0;
797463579;kendo21;RANK3;900638593;900587689;50904;24170258;24170258;0;
791477549;Arman BRH;RANK4;1679615812;1679357292;258520;164377722;164377722;0;
737959216;robert72 jr;RANK3;193406425;193406425;0;1361969;1361969;0;
722457143;rey d Gondor;RANK4;910171258;901935928;8235330;194338254;194338254;0;
706593862;l3RH;RANK3;229668393;224702479;4965914;6881833;6881833;0;
704183402;davids28;RANK2;341780206;341780106;100;1687371;1687371;0;
686476355;RANA BRH;RANK4;1466611706;1466291649;320057;717784041;717784040;1;
651024621;BD HaSaN CTG;RANK3;1299297475;1295242851;4054624;215123152;215123152;0;
641662210;Robbersdog;RANK4;1771698342;1760990111;10708231;27360784;27360784;0;
613764743;David 29;RANK4;583944849;582734116;1210733;42990425;42990425;0;
606827608;Md Jashim;RANK3;1498351354;1491525286;6826068;370601319;370601318;1;
602361598;Sk MaNiK 0;RANK4;1516310149;1515862045;448104;26431736;26431736;0;
577117904;RickyBobby66;RANK3;222406550;222406550;0;33861410;33861410;0;
574580766;CH1HUAHUA;RANK1;228182829;228182829;0;31402551;31402551;0;
573617829;Davids33;RANK4;686159643;686111091;48552;95061864;95061864;0;
570579322;BOMBERO777;RANK2;317911712;315802184;2109528;30575906;30575906;0;
558407092;SH MuNnA;RANK4;1609212662;1609248185;-35523;149348907;149337062;11845;
557940230;taj bhai 0;RANK3;708475548;703237437;5238111;6477430;6477430;0;
556909957;Robert 72;RANK3;1050057499;1050057499;0;114509821;114509821;0;
555998369;taj bhai F;RANK3;695116940;695094312;22628;6521778;6521778;0;
544246204;Balok Rana 3;RANK4;1020829317;1020750189;79128;66619483;66619482;1;
531225052;nokick;RANK2;275000845;274963707;37138;18482470;18482470;0;
529963297;SilentD;RANK4;1547168161;1546119824;1048337;95025194;95025194;0;
525984571;taj bhai  W;RANK3;1101115042;1101105004;10038;12200819;12200819;0;
515527174;lady nin;RANK4;1380378932;1374805852;5573080;10387838;10387838;0;
511194212;Jhonyk;RANK4;1589134871;1589113277;21594;514074474;514074473;1;
436158191;MINATO NMKZE;RANK3;348284317;348249357;34960;10415545;10415545;0;
414586964;TAKUDA XXX;RANK3;1259229174;1259211174;18000;23341522;23341522;0;
402214266;rey Gondor;RANK5;1137317449;1137377821;-60372;447556834;447556833;1;
