Name;Completed;Total;Score;Completed Bonus
ABDUL 420;9;9;2172;No
Maradon4 xRN;9;9;2062;No
Robbersdog;9;9;1936;No
Lord Josed;9;9;1740;No
Arman BRH;9;9;1700;No
Koushikpunam;9;9;1662;No
SAiFuL 0;9;9;1619;No
SH MuNnA;9;9;1615;No
Flokitho;9;9;1598;No
Afrodita101;9;9;1591;No
ABDUL AKJ;9;9;1574;No
laxman11;9;9;1546;No
Rossemberthg;9;9;1543;No
TAKBIR xD;9;9;1513;No
SantiSO;9;9;1509;No
Ulises lara;9;9;1503;No
taj bhai  W;9;9;1488;No
Destructoski;9;9;1479;No
exparta 300;9;9;1474;No
Saruman X;9;9;1464;No
rufo 44;9;9;1459;No
Royal Bangla;7;9;1444;No
robert72 jr;9;9;1433;No
Lagerthaa85;9;9;1430;No
BD FoYsal22;9;9;1425;No
BD HaSaN CTG;9;9;1423;No
Hades1234569;9;9;1414;No
MURAT 060;9;9;1411;No
lady nin;9;9;1411;No
Mdosman 01;9;9;1408;No
cumbia 21;9;9;1407;No
franco e isa;9;9;1400;No
Balok Rana 3;9;9;1397;No
3AXAP GALA;9;9;1394;No
Tex Hik ru;9;9;1387;No
David 29;9;9;1380;No
Napoleon2018;9;9;1376;No
Arnald;9;9;1365;No
Glad73737373;9;9;1357;No
3axap gala U;9;9;1357;No
TexHik pyc;9;9;1346;No
Chapolin xRn;9;9;1342;No
Olgiz;9;9;1340;No
borre1421;9;9;1334;No
Intel i9;8;8;1329;No
sukis;9;9;1320;No
AMATEUS;9;9;1320;No
LordTaz20;9;9;1298;No
FIREROBERT72;9;9;1296;No
ADES333;9;9;1295;No
Davids33;8;9;1288;No
juanpablo3;9;9;1284;No
SHOPON Bhai;8;9;1271;No
MINATO NMKZE;9;9;1270;No
Sk MaNiK 0;8;9;1259;No
Rohit BRH;9;9;1255;No
ANUBIS XXL;9;9;1250;No
rey d Gondor;9;9;1236;No
rey Gondor;9;9;1228;No
Darcksider2;9;9;1224;No
ADES 888;9;9;1209;No
taj bhai F;8;9;1204;No
davids28;8;9;1193;No
BD Archer;8;9;1179;No
Tourbulence;8;9;1169;No
Ryzen 9;7;7;1152;No
Robert 72;9;9;1138;No
Desquintador;8;9;1110;No
radamanthizz;9;9;1108;No
Jordi  E N P;9;9;1106;No
artemisa85;8;9;1101;No
mdosman 02;7;8;1098;No
SomratJS;7;9;1085;No
DAVIL VIPER;7;9;1084;No
ezequiel2B2T;8;9;1068;No
Nena94;9;9;1032;No
CretencioSV;8;9;1019;No
BOMBERO777;9;9;1004;No
BDPolice;8;8;994;No
Orlando7807;9;9;936;No
Orlando AG;7;7;898;No
rhaenyra85;7;9;872;No
Carneiro34;7;8;856;No
World kill02;6;6;853;No
Yna16;6;6;842;No
Davids34;5;5;790;No
TroyMcClure7;5;6;653;No
Bank Of BNG;0;0;0;No
S A D I Q;0;0;0;No
ZzehirR;0;0;0;No
