IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1976370463;Rohit BRH;RANK3;52805956;52835163;-29207;530331;530071;260;
1953004725;exparta 300;RANK4;341430103;335134833;6295270;3437902;3437902;0;
1902578558;Moritz  18o5;RANK3;320774288;0;0;1785000000;0;0;
1878226755;OSMAN BRH;RANK1;323359097;323035189;323908;1219228;1219228;0;
1865655896;Arnald;RANK3;170475639;170463639;12000;417656;417656;0;
1829533916;BD FoYsal22;RANK4;508112271;505352853;2759418;19933987;18883200;1050787;
1824967818;ANDERSON RC;RANK3;273237456;273242316;-4860;2570978;2570978;0;
1812242908;Davids34;RANK2;71833744;71373245;460499;1566193;1566193;0;
1798082358;sr tio;RANK3;244295444;244079873;215571;4393064;4393064;0;
1575135925;World kill02;RANK3;371789467;388625913;-16836446;104378421;102765071;1613350;
1491111997;ABDUL 420;RANK3;539318585;539469641;-151056;1091248;1091248;0;
1445451551;enjoy life H;RANK3;1940520862;1940268196;252666;2106431018;2106431018;0;
1434098193;SAiFuL 0;RANK4;1383937948;1403297436;-19359488;40200791;37563293;2637498;
1361074590;PIKA PIKA SK;RANK2;237506854;237506854;0;16890678;16890678;0;
1359676169;SK SABBIR;RANK3;1469264998;1469246454;18544;1110902966;1109592381;1310585;
1319793618;Koushikpunam;RANK4;802282851;801644359;638492;7999216;7999216;0;
1291517751;Tex Hik ru;RANK3;327953080;327584083;368997;3099540;3099540;0;
1274053856;ABDUL AKJ;RANK3;1266685084;1261799739;4885345;23224411;23224411;0;
1268837245;ADES333;RANK3;894045448;890680832;3364616;20915878;20915866;12;
1259404288;cumbia 21;RANK2;335902693;360252375;-24349682;5278047;4734636;543411;
1257365499;z3 Captain;RANK3;239745877;237921005;1824872;16273422;16273422;0;
1231864379;Flokitho;RANK4;834015463;841900503;-7885040;50181202;49972181;209021;
1231554192;Flokitho 2;RANK3;986239493;1017029987;-30790494;35509641;33346083;2163558;
1230715621;Ulises lara;RANK3;608753150;608738768;14382;14593164;14593164;0;
1218400831;sukis;RANK3;578549230;584204348;-5655118;17261300;16836073;425227;
1103768179;Deamon420;RANK3;594712360;593783319;929041;26714287;26714287;0;
1096643932;TAKBIR HSC;RANK3;242730024;241924154;805870;783016;783016;0;
1089729250;Rossemberthg;RANK3;1116732237;1123435285;-6703048;15818924;15818923;1;
1059882725;una de burro;RANK1;278320399;278197487;122912;7789204;7789204;0;
1052841957;Lagerthaa85;RANK2;513546223;515024391;-1478168;7040710;6680497;360213;
1037344998;Hades1234569;RANK3;1349689456;1349706534;-17078;10374665;10374665;0;
1030714087;Maradon4 xRN;RANK3;481362044;479085082;2276962;44760;44760;0;
1021109878;franco e isa;RANK3;837405434;835542857;1862577;3106851;3106851;0;
1020536322;Royal Bangla;RANK3;1583438849;1582857665;581184;34547080;34547080;0;
1017960864;Darcksider2;RANK3;560482200;554096812;6385388;23618575;23618575;0;
