Name;Completed;Total;Score;Completed Bonus
Salva100;10;10;1921;No
gelhidro;10;10;1820;No
Jobolu;10;10;1810;No
brantee;10;10;1789;No
angelo98981;10;10;1767;No
iguanilla;10;10;1745;No
alee33;10;10;1732;No
Coronel10;10;10;1730;No
Dhanielo;10;10;1717;No
ISalvatoreI;10;10;1715;No
REYDELNORTE;10;10;1686;No
Devis;10;10;1685;No
Helena I;10;10;1681;No
Bank M0RIA;10;10;1672;No
Aalexa12;10;10;1666;No
Reina I;10;10;1656;No
khalidcroc;10;10;1637;No
Pitbull king;10;10;1626;No
IISL4iF3RII;10;10;1623;No
REY LAGARTO;10;10;1623;No
xTROSSx;10;10;1622;No
x IGUANA x;10;10;1615;No
valee   22;10;10;1613;No
ElenadTroya;10;10;1606;No
ReinadHielo;10;10;1604;No
Alejandro 95;10;10;1602;No
alex160895;10;10;1585;No
Javier 1313;8;9;1584;No
SATANAS A;10;10;1583;No
3l gladiador;10;10;1572;No
Mustafunk;10;10;1555;No
nenocoketo 9;10;10;1537;No
winnie poo1;10;10;1530;No
PunisherIsma;10;10;1530;No
ELMEXICANO;10;10;1524;No
solreina;10;10;1517;No
LadyMdusa;10;10;1516;No
sol lit;10;10;1513;No
A SAD 1;10;10;1510;No
lanus14;10;10;1486;No
Sir Enerway;10;10;1483;No
ropersss;10;10;1474;No
Thanoz C;10;10;1457;No
hector 1234;10;10;1432;No
JULIO CSAR 3;10;10;1427;No
canitaman;10;10;1415;No
ABUELO2000;10;10;1412;No
Belly Dancer;9;9;1381;No
davidlll1;9;9;1359;No
Carl0s007;10;10;1353;No
Fernando1x;9;10;1333;No
Donisaac;8;8;1309;No
carlos0007;8;8;1194;No
carloso007;8;9;1073;No
flamenking;6;6;1012;No
Davidllll;7;7;1008;No
camaleonking;5;6;814;No
XkingLuisX3;3;3;409;No
ANTHONY 30;0;0;0;No
solitario 00;0;0;0;No
XxTsukinoxX;0;0;0;No
XxfilolialxX;0;0;0;No
AJELANDROo;0;0;0;No
