IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1960755471;carloso007;RANK2;43524386;43426712;97674;1081304;1081304;0;
1942772588;coco crocodi;RANK2;130697179;128238849;2458330;281636;281636;0;
1810344189;iguanilla;RANK2;51834206;51805131;29075;1540;1540;0;
1802026617;canitaman;RANK2;16778282;16711942;66340;30474;30474;0;
1356548453;khalidtortue;RANK3;488589449;482012813;6576636;3425141;3425141;0;
1310974438;ANTHONY 30;RANK4;309910086;313870520;-3960434;8434978;8168460;266518;
1284609497;inmortalllll;RANK2;331260866;331262306;-1440;64120693;64120693;0;
1215961243;GIN WOO;RANK3;1124287996;1119296495;4991501;14662800;14662800;0;
1208391868;solitario 00;RANK2;59371078;59371078;0;611620;611620;0;
1201021682;Raptor1221;RANK2;546246449;546246449;0;7008970;7008970;0;
1095429556;aluvion;RANK4;692995081;692996053;-972;8241867;8241867;0;
1042659181;LadyMdusa;RANK4;566239666;566229590;10076;3038715;3038715;0;
967084961;Lord Chars;RANK4;834799043;834799871;-828;23842304;23842304;0;
953561080;Fernando1x;RANK2;445559624;445178294;381330;10776295;10776295;0;
947675815;hector 1234;RANK3;603639428;603639428;0;10704227;10704227;0;
938003679;Javit08;RANK4;1126906824;1126709520;197304;50935573;50935573;0;
929178567;carlos0007;RANK3;502529421;497292349;5237072;36216483;36216483;0;
923597524;REYDELNORTE;RANK4;804868809;804868809;0;38586481;38586481;0;
905196019;khalidcroc;RANK4;1708030868;1705139777;2891091;121302810;121302810;0;
890538125;T3oKl3S;RANK4;711363346;711363346;0;3510748;3510748;0;
884002209;sol lit;RANK4;515325814;515068414;257400;4151032;4151032;0;
809898713;sr biilz;RANK4;281378766;281345310;33456;55682732;55682732;0;
791448103;Donisaac;RANK4;1438197266;1436287534;1909732;4722399;4722399;0;
783901704;PEKA FAW;RANK4;1053173932;1053173932;0;240521683;240521683;0;
783071183;xXLuTh0rXx;RANK2;146961068;146924768;36300;17021588;17021588;0;
781854474;xXLuThoRXx;RANK2;219016698;218723698;293000;21010492;21010492;0;
778372342;Devis;RANK4;510454359;507511156;2943203;1185092;1185092;0;
768757451;KRATOS FAW;RANK4;430612631;430612631;0;61912589;61912589;0;
768446678;nenocoketo 9;RANK4;596223047;594757739;1465308;10659711;10659711;0;
752871791;alex160895;RANK2;466498041;466005230;492811;11541320;11541320;0;
733895990;Helena I;RANK4;473253584;473248584;5000;2203005;2203005;0;
709053949;Alejandro 95;RANK4;1053312837;1052654093;658744;24886863;24886863;0;
702537532;SATANAS A;RANK4;1717613492;1717390832;222660;187332715;187332715;0;
692580653;xTROSSx;RANK4;1379445449;1369225111;10220338;118612545;118612545;0;
688436236;Reina I;RANK4;743521974;743520894;1080;7999501;7999501;0;
688435792;ElenadTroya;RANK4;586785852;586769080;16772;4549714;4549714;0;
682701341;KAMIKAGE;RANK1;488935767;485091003;3844764;41720536;41720536;0;
673818078;ReinadHielo;RANK4;548206892;547883470;323422;2399952;2399952;0;
667175085;Carl0s007;RANK4;1039367143;1039194295;172848;37446439;37446439;0;
663102130;Dhanielo;RANK4;798709708;794124782;4584926;26840039;26840039;0;
647014343;flamenking;RANK4;1608802537;1608652929;149608;99464044;99464044;0;
639485490;Mustafunk;RANK4;926798260;926742639;55621;31482083;31482083;0;
635430899;PunisherIsma;RANK4;164188116;164148116;40000;138445;138445;0;
634665528;camaleonking;RANK4;1232365629;1231849754;515875;139598680;139598680;0;
633270360;Y U K O N;RANK4;1029217318;1029051518;165800;249363322;249363322;0;
631001564;ISalvatoreI;RANK5;527360183;527400107;-39924;4663668;4663668;0;
628506766;alee33;RANK3;458084819;458084819;0;4352301;4352301;0;
617488437;ELMEXICANO;RANK4;843738995;843738995;0;22600192;22600192;0;
610695403;Aldemar C;RANK4;382376455;382076647;299808;13953426;13953426;0;
609098249;Kurusaki 10;RANK1;433189219;433149219;40000;121759398;121759398;0;
608075191;Bank M0RIA;RANK4;577729557;577391701;337856;116428539;116428539;0;
604038259;Andres37;RANK2;567927018;567927018;0;4234402;4234402;0;
603519552;Aalexa12;RANK4;606950523;606950523;0;37727895;37727895;0;
602123489;valee   22;RANK4;984877624;984877624;0;24437395;24437395;0;
595587844;A SAD 1;RANK2;596873940;596174888;699052;12298301;12298301;0;
594179527;Sir Enerway;RANK4;1032737258;1031895629;841629;47753965;47753965;0;
594165583;Salva100;RANK4;1092974817;1091911889;1062928;299072424;299072424;0;
593978582;Jobolu;RANK4;1478652379;1478641210;11169;281423193;281213381;209812;
586593035;Coronel10;RANK4;1093543388;1082291565;11251823;63356261;63356261;0;
567827558;solreina;RANK4;982817079;982143411;673668;19678367;19678367;0;
566611896;x IGUANA x;RANK4;1022151825;1021558269;593556;224541795;224541795;0;
563001076;IISL4iF3RII;RANK4;1437068328;1436342204;726124;215283488;215283488;0;
553549765;REY LAGARTO;RANK4;1307813731;1307124027;689704;1059438506;1059438506;0;
545956721;Rulipzin;RANK1;274856992;274856992;0;7127567;7127567;0;
467025259;Javier 1313;RANK4;829859442;827752728;2106714;23433312;23433312;0;
446107237;Thanoz C;RANK3;1145819139;1139841873;5977266;27632016;27632016;0;
431737484;Papox;RANK4;1421548223;1420087119;1461104;223409971;223409971;0;
424314706;Rulipz;RANK4;1194475561;1192960791;1514770;22625046;22625046;0;
401676719;JULIO CSAR 3;RANK1;573551567;0;0;12840221;0;0;
400339463;gelhidro;RANK4;1623392302;1622558140;834162;277741114;277737189;3925;
381821409;Pitbull king;RANK4;1594323244;1593664776;658468;78449499;78449499;0;
329959173;V KuRaMa V;RANK4;888927462;888927462;0;883426355;883426355;0;
315971442;Belly Dancer;RANK4;1150153529;1150054808;98721;26956528;26956528;0;
