Name;Completed;Total;Score;Completed Bonus
Salva100;10;10;2199;No
Aldemar C;10;10;2165;No
XkingLuisX2;10;10;2146;No
ISalvatoreI;10;10;2144;No
A SAD 1;10;10;2105;No
SATANAS A;10;10;2092;No
Platanito323;10;10;2080;No
carloso007;9;10;2028;No
Ammy02;10;10;2013;No
khalidtortue;10;10;2012;No
Aalexa12;10;10;2006;No
Dhanielo;10;10;1977;No
LadyMdusa;10;10;1949;No
valee   22;10;10;1949;No
ReinadHielo;10;10;1945;No
Reina I;10;10;1939;No
alee33;10;10;1937;No
Atamy;9;9;1922;No
Carl0s007;10;10;1901;No
AtamiZeta;10;10;1899;No
Devis;9;10;1877;No
Bank M0RIA;9;10;1836;No
khalidcroc;10;10;1831;No
ElenadTroya;10;10;1809;No
Pitbull king;10;10;1800;No
canitaman;9;10;1784;No
AZ Atami;9;10;1784;No
Javier 1313;9;9;1782;No
PunisherIsma;10;10;1775;No
Helena I;10;10;1764;No
4N4k SuN4Mun;10;10;1757;No
XkingLuisX3;10;10;1757;No
N3FeR T1T1;10;10;1750;No
x IGUANA x;9;10;1749;No
coco crocodi;10;10;1747;No
gelhidro;9;10;1746;No
Sir Enerway;10;10;1744;No
tumamaentaga;9;9;1736;No
iguanilla;10;10;1718;No
Sej BaSt3t;10;10;1713;No
1Tamy;10;10;1710;No
brantee;9;10;1694;No
Davidllll;10;10;1666;No
ELMEXICANO;10;10;1664;No
IISL4iF3RII;10;10;1649;No
REY LAGARTO;10;10;1646;No
xTROSSx;10;10;1645;No
ArMaN 10;10;10;1643;No
XkingLuisX;10;10;1634;No
solitario 00;10;10;1630;No
REYDELNORTE;10;10;1629;No
Coronel10;10;10;1626;No
sol lit;10;10;1622;No
flamenking;9;10;1606;No
camaleonking;9;10;1606;No
Mustafunk;10;10;1598;No
Jobolu;10;10;1591;No
Thanoz C;10;10;1591;No
Belly Dancer;10;10;1588;No
Donisaac;9;9;1581;No
Alejandro 95;10;10;1570;No
El superTamy;10;10;1569;No
angelo98981;9;10;1553;No
hector 1234;10;10;1543;No
alex160895;10;10;1542;No
solreina;10;10;1514;No
nenocoketo 9;10;10;1513;No
Fernando1x;10;10;1498;No
3l gladiador;9;10;1497;No
Javit08;9;9;1492;No
XkingLuisX4;8;9;1476;No
ABUELO2000;10;10;1455;No
aluvion;8;8;1412;No
carlos0007;8;10;1307;No
Lord Chars;8;9;1274;No
Spencer 98;9;9;1246;No
XkingLuisX1;8;9;1234;No
ANTHONY 30;6;6;1164;No
BotFrankii;6;7;1070;No
kazutora 96;6;9;1016;No
JULIO CSAR 3;4;6;921;No
Y U K O N;5;7;867;No
V KuRaMa V;3;6;450;No
PEKA FAW;3;5;448;No
Kurusaki 10;3;5;421;No
AJELANDROo;2;4;267;No
sr biilz;1;2;127;No
Alborotado;0;0;0;No
XkingLuisX5;0;0;0;No
XkingLuisX6;0;0;0;No
BANK RUB1US;0;0;0;No
banko faw;0;0;0;No
KRATOS FAW;0;0;0;No
3L RUB1US;0;0;0;No
Papox;0;0;0;No
davidlll1;0;0;0;No
