IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1960755471;carloso007;RANK2;34114679;34034544;80135;1067127;1067127;0;
1942772588;coco crocodi;RANK2;116339386;116339386;0;264907;264907;0;
1815015712;100k nomas;RANK2;53384503;53384503;0;49353;49353;0;
1810344189;iguanilla;RANK2;49703790;49703790;0;1540;1540;0;
1802026617;canaman;RANK2;9030898;9030898;0;14543;14543;0;
1356548453;khalidtortue;RANK3;462921320;462921320;0;3425004;3425004;0;
1310974438;ANTHONY 30;RANK2;293130144;293130144;0;7697764;7697764;0;
1284609497;DAVIDll1;RANK2;333610872;333610872;0;61958663;61958663;0;
1215961243;Arman I;RANK3;1078879756;1078747643;132113;12464571;12464571;0;
1201021682;Raptor1221;RANK2;531805699;531805699;0;6933309;6933309;0;
1095429556;aluvion;RANK3;670780912;670547247;233665;8241867;8241867;0;
1042659181;LadyMdusa;RANK3;527114016;527114016;0;3038715;3038715;0;
967084961;Lord Chars;RANK3;811623825;811590969;32856;23842304;23842304;0;
953561080;Fernando1x;RANK2;437804489;437475742;328747;10776295;10776295;0;
947675815;hector 1234;RANK3;581103608;581103608;0;10691615;10691615;0;
938003679;Javit08;RANK3;1096686464;1096635209;51255;50782304;50782304;0;
929178567;carlos0007;RANK2;527991554;528071598;-80044;35190497;35189897;600;
923597524;REYDELNORTE;RANK3;775758898;775739185;19713;38540019;38540019;0;
905196019;khalidcroc;RANK4;1674006284;1673376284;630000;121292660;121292660;0;
890538125;T3oKl3S;RANK2;707011410;706809796;201614;3510748;3510748;0;
884002209;sol lit;RANK3;508035811;508283280;-247469;4136714;4136714;0;
851839111;LORD MAU II;RANK2;118075350;118075350;0;1537050;1537050;0;
809898713;sr biilz;RANK3;261622581;261490581;132000;55673838;55673838;0;
791448103;Donisaac;RANK3;1365961189;1365302189;659000;4722399;4722399;0;
783901704;PEKA FAW;RANK4;1108816619;1108816619;0;238505003;238505003;0;
778372342;Devis;RANK4;483912141;483848541;63600;1185092;1185092;0;
768757451;KRATOS FAW;RANK3;426762533;426762533;0;61898843;61898843;0;
768446678;nenocoketo 9;RANK2;575413796;575051791;362005;10493007;10493007;0;
752871791;alex160895;RANK2;543269213;543269213;0;10995737;10995737;0;
