Name;Completed;Total;Score;Completed Bonus
TU PUTITA;11;11;2285;No
LIONKING HDe;11;11;2262;No
Sugar Nami;11;11;2254;No
DK AOME;11;11;2247;No
HDe BANK;11;11;2243;No
Mini Anita;11;11;2209;No
Amortiguador;11;11;2208;No
EL CHIVIRICO;11;11;2207;No
DK ABL;10;11;2195;No
DK Guzman;11;11;2191;No
RAULITO HDe;11;11;2186;No
Carlos 901;11;11;2182;No
DK  DARK;11;11;2171;No
aa Aqua aa;11;11;2157;No
DK CATRACHA;11;11;2156;No
DK NICOL;11;11;2153;No
YQuEFuE;11;11;2139;No
lionsilver7;11;11;2137;No
Lionbaby26;11;11;2113;No
Roberto13198;11;11;2099;No
Catrachita;11;11;2097;No
DK Rascal;11;11;2095;No
DK Anita;11;11;2090;No
Guerrenogue;11;11;2074;No
Mini Mini 1;11;11;2070;No
Queenlion22;11;11;2062;No
XxBadGirlsxx;11;11;2061;No
TU MA CHO;11;11;2039;No
Elvis5647;11;11;2029;No
DK MISHA;10;11;2025;No
DK SETH;11;11;1973;No
greenhunter6;11;11;1945;No
elvisnav656;11;11;1938;No
lhuis1978;10;10;1912;No
la sierra;11;11;1910;No
Big Akiles;11;11;1885;No
starblack6;11;11;1876;No
Devastador07;10;11;1855;No
abonor1;10;10;1808;No
el hacha;11;11;1801;No
Lionprince19;9;11;1702;No
Minilion7;8;11;1621;No
DZ baba Yaga;7;7;1271;No
MoralesFredy;4;8;721;No
CERBERO 0002;4;8;608;No
Duque999;2;4;402;No
cleopatra 20;1;2;168;No
R E  D;0;0;0;No
lactor65;0;0;0;No
