IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1285995534;Mini Anita;RANK2;369240404;369229844;10560;364412;364412;0;
1279863546;DK Guzman;RANK2;234303317;234294677;8640;1790436;1790436;0;
1210685889;x Z0ux x;RANK3;1494433663;1493790397;643266;1046671556;1046671556;0;
1207391197;Elvis5647;RANK1;1040370745;1034918677;5452068;41033499;41033499;0;
1105776805;lactor65;RANK3;505353024;504837288;515736;43103501;43103501;0;
1097188017;aa Aqua aa;RANK2;941493807;941410087;83720;11623977;11623977;0;
1072429508;Mini Mini 1;RANK2;798364553;798128611;235942;13692367;13692367;0;
918055304;Duque999;RANK4;949177016;948959624;217392;75502224;75502224;0;
847013870;DK ABL;RANK2;251411924;251404039;7885;321554;321554;0;
822057188;MoralesFredy;RANK1;713176677;713136677;40000;173205439;173205439;0;
772344660;Amortiguador;RANK2;690749105;690687173;61932;101560689;101560689;0;
771599309;SalconLimon;RANK2;1473467902;1472713286;754616;43210907;43210907;0;
763974143;lionsilver7;RANK4;1325617178;1325017882;599296;22992202;22992202;0;
755586561;R E  D;RANK4;1122033908;1121493908;540000;366646830;366646830;0;
744158448;DK CATRACHA;RANK2;494906001;494834804;71197;2108821;2108821;0;
742259998;Minilion7;RANK4;655997262;655997262;0;1703728;1703728;0;
741354800;Queenlion22;RANK4;1124290640;1123731716;558924;53187978;53187978;0;
741136368;Bammido;RANK2;1472305807;1471467495;838312;46218756;46218756;0;
736449518;DK MISHA;RANK2;870464915;869504929;959986;100150885;100150885;0;
726675686;Lionprince19;RANK4;1312603208;1312583128;20080;83065511;83065511;0;
714956409;Senton iO;RANK3;1448402659;1448250323;152336;220165851;220165851;0;
714794182;la sierra;RANK2;280449168;280449168;0;2515774;2515774;0;
714275405;LIONKING HDe;RANK5;1494338550;1482511300;11827250;315916594;315916594;0;
679668839;Ripple x;RANK3;1092279414;1092279414;0;204569380;204569380;0;
651514314;el hacha;RANK1;303495834;303495834;0;1260040;1260040;0;
626621008;SA7rawe 001;RANK1;1313456728;1312812728;644000;212439289;212439289;0;
623225347;Dead River;RANK3;2536222635;2536056511;166124;358744763;358744763;0;
620739950;greenhunter6;RANK1;906522920;906522920;0;8964102;8964102;0;
608234747;starblack6;RANK2;829337937;828342609;995328;5342436;5342436;0;
605931969;cleopatra 20;RANK3;1154985858;1154985858;0;46677397;46677397;0;
596159412;lhuis1978;RANK2;1015341242;1015277642;63600;44689501;44689501;0;
591431749;elvisnav656;RANK4;1800849226;1800745226;104000;238576951;238576951;0;
577581648;DK Anita;RANK2;891559804;891045418;514386;28441330;28441330;0;
573524267;DZ baba Yaga;RANK2;1810615056;1810003056;612000;245763941;245763941;0;
571643646;LordMacr;RANK3;1489724820;1489724820;0;66330359;66330359;0;
568472209;DogOfWar01;RANK3;2128221848;2128221848;0;759181024;759181024;0;
562581213;YQuEFuE;RANK2;1096291437;1096111509;179928;138372456;138372456;0;
560703645;EL CHIVIRICO;RANK3;1173283863;1173183337;100526;187242096;187242096;0;
557590533;luisilloo00;RANK3;911239283;911239283;0;854314019;854314019;0;
547658390;DK Rascal;RANK2;595183254;595171734;11520;9825234;9825234;0;
547476522;Roberto13198;RANK2;1519625512;1519390630;234882;74017121;74017121;0;
531076329;abonor1;RANK2;1383097983;1383039855;58128;54953903;54953903;0;
523020778;TU PUTITA;RANK2;474862293;474853653;8640;9193709;9193709;0;
512074173;Catrachita;RANK2;972830948;972180708;650240;53101369;53101369;0;
506254042;B4RRAKUS;RANK2;1458409203;1457398863;1010340;397946726;397946726;0;
502456824;CERBERO 0002;RANK1;1651296654;1650716654;580000;314193143;314193143;0;
500278574;TU MA CHO;RANK2;917530619;916834853;695766;166250288;166250288;0;
463930631;Sugar Nami;RANK4;992976737;992885777;90960;151587240;151587240;0;
452565798;HDe BANK;RANK4;794506275;794442699;63576;6674582;6674582;0;
433699656;DK SETH;RANK3;1151015343;1149958217;1057126;119562807;119562807;0;
424249240;Lionbaby26;RANK4;1396937230;1396348046;589184;41429604;41429604;0;
418592940;DK AOME;RANK3;785329782;785202062;127720;75678466;75678466;0;
409445576;DK  DARK;RANK3;1238609162;1238490108;119054;137010685;137010685;0;
392782781;A Tiger A;RANK4;1991363925;1990677992;685933;594457083;594457083;0;
385914834;DK NICOL;RANK1;1142801653;1142653393;148260;352375110;352375110;0;
359086689;XxBadGirlsxx;RANK4;602198499;602198499;0;107334592;107334592;0;
340030433;FockLords;RANK2;904158019;904158019;0;106000667;106000667;0;
338763128;Big Akiles;RANK2;1152732699;1152150245;582454;255744538;255744538;0;
316997570;Carlos 901;RANK2;1517841465;0;0;260050706;0;0;
279338920;Guerrenogue;RANK2;1128157492;1127778952;378540;2568875;2568875;0;
