User ID;Name;Total;Hunt;Purchase; ;L1 (Hunt);L2 (Hunt);L3 (Hunt);L4 (Hunt);L5 (Hunt); ;L1 (Purchase);L2 (Purchase);L3 (Purchase);L4 (Purchase);L5 (Purchase); ;Points (Hunt);Goal Percentage (Hunt); ;Points (Purchase);Goal Percentage (Purchase); ;First Hunt Time;Last Hunt Time
0;Total;436;421;15;;0;382;34;5;0;;10;5;0;0;0;;0;0%;;0;0%;;2025/06/07 06:00:00;2025/07/07 06:00:00
584888654;DK ANA;10;5;5;;0;5;0;0;0;;4;1;0;0;0;;5;100%;;6;12%;;2025/06/07 14:19:31;2025/07/07 04:33:56
628313432;Devastador07;3;3;0;;0;1;1;1;0;;0;0;0;0;0;;13;260%;;0;0%;;2025/07/07 00:13:48;2025/07/07 05:07:54
1013397933;DK Y1NG;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/06/07 08:57:32;2025/07/07 00:25:56
1032147791;DK Y4NG;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/06/07 16:06:55;2025/06/07 16:08:19
967009729;Garp2021;5;5;0;;0;3;2;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/06/07 06:26:59;2025/07/07 03:04:09
425452384;LA CHIVIRICA;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/06/07 17:53:18;2025/07/07 04:35:05
714275405;LIONKING HDe;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/06/07 09:35:08;2025/07/07 00:14:57
726675686;Lionprince19;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/06/07 07:40:14;2025/07/07 00:24:25
699145829;luisitoo11;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/06/07 15:38:42;2025/07/07 03:54:03
1054858966;Petette;11;11;0;;0;11;0;0;0;;0;0;0;0;0;;11;220%;;0;0%;;2025/06/07 06:29:03;2025/06/07 23:54:09
457500312;QUEEN NAMI;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/06/07 10:16:49;2025/06/07 23:23:46
741354800;Queenlion22;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/06/07 09:48:54;2025/07/07 05:19:50
1043146862;xzouxx123;10;5;5;;0;5;0;0;0;;3;2;0;0;0;;5;100%;;7;14%;;2025/06/07 16:39:48;2025/07/07 01:15:49
392782781;A Tiger A;9;9;0;;0;9;0;0;0;;0;0;0;0;0;;9;180%;;0;0%;;2025/06/07 09:03:24;2025/06/07 19:35:16
595429031;BLACK VEN0M;8;8;0;;0;7;1;0;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/06/07 11:41:10;2025/07/07 04:12:34
890682407;CARNAGE  X2;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
452565798;Catracha;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/06/07 09:17:06;2025/07/07 00:02:18
502456824;CERBERO 0002;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/06/07 07:08:47;2025/07/07 04:09:35
409893128;CHIVIRICO JR;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/06/07 12:32:09;2025/07/07 02:05:35
605931969;cleopatra 20;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/07/07 03:00:20;2025/07/07 03:08:31
409445576;DK  DARK;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/06/07 17:30:46;2025/06/07 17:38:00
407059672;DK B A N K;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/06/07 08:47:57;2025/06/07 23:04:38
612997155;DK Inmortal;3;3;0;;0;2;1;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/07/07 01:31:33;2025/07/07 01:37:50
822057188;DKAvengers;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/06/07 19:07:11;2025/06/07 19:11:47
560703645;EL CHIVIRICO;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/07/07 00:08:52;2025/07/07 00:18:45
591431749;elvisnav656;6;5;1;;0;5;0;0;0;;1;0;0;0;0;;5;100%;;1;2%;;2025/07/07 04:12:57;2025/07/07 04:25:03
1046154394;high soli;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
731016587;Ibra 14;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/06/07 18:35:38;2025/06/07 23:51:38
653383050;KAKU M;3;3;0;;0;2;1;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/06/07 18:01:25;2025/06/07 18:08:22
424249240;Lionbaby26;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/07/07 00:32:04;2025/07/07 01:12:11
763974143;lionsilver7;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/06/07 16:02:52;2025/06/07 16:07:53
557590533;luisilloo00;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/06/07 15:03:57;2025/07/07 04:53:05
578258144;LunasMan;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
742259998;Minilion7;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/06/07 11:04:44;2025/07/07 04:47:56
749717599;Railando;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/06/07 17:30:59;2025/06/07 17:30:59
659605690;RisingDead;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
547476522;Robert969;2;2;0;;0;1;0;1;0;;0;0;0;0;0;;10;200%;;0;0%;;2025/07/07 02:48:50;2025/07/07 04:34:01
715210568;SangreAztka;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/06/07 20:23:42;2025/07/07 04:25:50
657347075;Sharkis LAN;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1093062361;Sindyss;6;6;0;;0;5;1;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/06/07 07:24:07;2025/06/07 22:54:26
562581213;SPARCK J;3;3;0;;0;2;1;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/06/07 14:41:19;2025/07/07 03:41:09
463930631;Sugar Nami;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/06/07 19:31:27;2025/06/07 19:44:33
424317837;th3 BeastxX;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/06/07 11:13:35;2025/06/07 19:30:50
681556098;Wolfe AlienX;5;5;0;;0;4;1;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/06/07 13:59:05;2025/06/07 20:10:58
538551452;XGargolaX;1;1;0;;0;1;0;0;0;;0;0;0;0;0;;1;20%;;0;0%;;2025/06/07 16:22:30;2025/06/07 16:22:30
690669443;XxHarley xX;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
660577893;XxLUNA xX;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
600987235;xXyankeeXx;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/07/07 04:20:37;2025/07/07 04:29:48
1082295604;YUGIH0;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/06/07 20:06:11;2025/06/07 20:14:00
611030179;Zeldriz12;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/06/07 18:01:14;2025/07/07 05:14:33
1097188017;aa Aqua aa;1;1;0;;0;0;1;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/07/07 04:42:03;2025/07/07 04:42:03
531076329;abonor1;3;3;0;;0;2;1;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/07/07 01:21:32;2025/07/07 01:23:51
772344660;Amortiguador;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/06/07 18:38:06;2025/06/07 18:47:22
810092909;Ayankouji;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/06/07 11:54:36;2025/06/07 12:02:44
506254042;B4RRAKUS;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/06/07 13:03:15;2025/06/07 13:08:16
338763128;Big Akiles;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/07/07 02:14:31;2025/07/07 05:15:07
456025810;CALDERONI;4;4;0;;0;2;2;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/06/07 08:02:52;2025/06/07 23:17:56
316997570;Carlos 901;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/06/07 17:22:19;2025/06/07 17:29:11
512074173;Catrachita;7;7;0;;0;7;0;0;0;;0;0;0;0;0;;7;140%;;0;0%;;2025/06/07 07:24:34;2025/06/07 21:40:10
802871640;CV Oussama;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
623225347;Dead River;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
847013870;DK ABL;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/06/07 16:16:59;2025/07/07 04:27:51
577581648;DK Anitta;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;6;120%;;0;0%;;2025/06/07 13:06:48;2025/07/07 03:39:27
418592940;DK AOME;5;5;0;;0;5;0;0;0;;0;0;0;0;0;;5;100%;;0;0%;;2025/06/07 07:15:15;2025/06/07 21:54:27
