Name;Completed;Total;Score;Completed Bonus
GUERO 23;10;10;2191;No
Catracha;10;10;2138;No
DK FANG;10;10;2090;No
EL CHUPILUPI;10;10;2075;No
Mini Mini 1;10;10;2064;No
Mini Anita;10;10;2063;No
DK AOME;10;10;2051;No
NauN;10;10;2042;No
DK CATRACHA;10;10;2035;No
TU PUTITA;10;10;2024;No
lhuis1978;10;10;2020;No
EL CHIVIRICO;10;10;1998;No
Sugar Nami;10;10;1997;No
YQuEFuE;10;10;1993;No
QUEEN NAMI;10;10;1983;No
Lionprince19;10;10;1982;No
Catrachita;10;10;1981;No
DK Guzman;10;10;1968;No
DK ANA;10;10;1966;No
DK ABL;10;10;1962;No
Carlos 901;10;10;1960;No
aa Aqua aa;10;10;1953;No
Minilion7;10;10;1944;No
DK Anita;10;10;1943;No
DK F4NG;10;10;1935;No
DK MISHA;10;10;1920;No
luisilloo00;10;10;1919;No
lionsilver7;10;10;1916;No
LIONKING HDe;10;10;1912;No
MoisesGSX1;9;9;1901;No
elvisnav656;10;10;1900;No
Amortiguador;10;10;1873;No
Guerrenogue;10;10;1872;No
Queenlion22;10;10;1870;No
DKAvengers;10;10;1868;No
DK  DARK;10;10;1866;No
DK SETH;10;10;1859;No
TU MA CHO;9;10;1856;No
DK Rascal;9;10;1855;No
LunasMan;10;10;1843;No
FredyMorales;10;10;1839;No
XxHarley xX;10;10;1832;No
Devastador07;10;10;1832;No
DK NICOL;10;10;1825;No
The King Zam;10;10;1815;No
CALDERONI;9;10;1802;No
lactor65;10;10;1801;No
Ferrary;10;10;1801;No
RisingDead;10;10;1795;No
xzouxx123;10;10;1792;No
XxLUNA xX;10;10;1787;No
XGargolaX;10;10;1773;No
SangreAztka;10;10;1773;No
cleopatra 20;10;10;1752;No
ESTAMPA7;10;10;1746;No
A Tiger A;9;9;1745;No
The Baki;10;10;1744;No
Garp2021;10;10;1743;No
CV Oussama;9;10;1742;No
ReyHUESOS;10;10;1739;No
Ibra 14;10;10;1732;No
Lord JJDH;10;10;1729;No
Ripple x;9;9;1727;No
xXHYANKDXx;10;10;1724;No
Lionbaby26;9;10;1715;No
NaStAr2420;9;10;1714;No
x Z0ux x;9;10;1709;No
B4RRAKUS;10;10;1706;No
Zeldriz12;9;10;1696;No
luisitoo11;9;10;1664;No
xMustangx;9;10;1663;No
Ayankouji;9;9;1656;No
DK B A N K;9;10;1652;No
KidReyhuesos;10;10;1647;No
Petette;9;10;1637;No
DK Inmortal;9;10;1636;No
CERBERO 0002;10;10;1630;No
Dead River;9;10;1622;No
TU PUTITO;8;10;1621;No
Big Akiles;9;10;1609;No
DZ baba Yaga;9;9;1551;No
abonor1;8;9;1512;No
Robert969;8;10;1510;No
HiDeoN433;9;9;1508;No
YUGIH0;9;10;1498;No
semana nt;8;9;1462;No
xKiller Jack;8;10;1461;No
xXCHIMUEL0Xx;7;7;1286;No
Wolfe AlienX;0;0;0;No
