IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1315106395;MoisesGSX1;RANK2;1335384657;1323804628;11580029;32771137;32771137;0;
1285995534;Mini Anita;RANK2;360928044;349393546;11534498;324727;324727;0;
1279863546;DK Guzman;RANK2;227623801;227615161;8640;1790436;1790436;0;
1210685889;x Z0ux x;RANK2;1407506656;1407657280;-150624;1046193373;1046193373;0;
1105776805;lactor65;RANK2;510139397;509831397;308000;38573854;38573854;0;
1097188017;aa Aqua aa;RANK2;911240914;911183610;57304;11622805;11622805;0;
1096349933;zZ SEDAT zZ;RANK2;4132191422;4127336014;4855408;227912278;227912278;0;
1093062361;Sindyss;RANK3;2064619941;2061058269;3561672;1099965828;1089644210;10321618;
1082295604;YUGIH0;RANK3;772158618;772005873;152745;286706604;286706604;0;
1072429508;Mini Mini 1;RANK2;723286681;723150531;136150;13552367;13552367;0;
1056972405;The Baki;RANK1;1259235874;1254275874;4960000;173988116;173988116;0;
1054858966;Petette;RANK4;1168854196;1167774196;1080000;109915762;109915762;0;
1046154394;high soli;RANK3;531310611;976490087;-445179476;378041408;374605935;3435473;
1043146862;xzouxx123;RANK3;2117237806;2116935702;302104;249121206;248941206;180000;
1032147791;DK Y4NG;RANK4;1383004967;1383171449;-166482;879229861;879229861;0;
1013397933;EL CHUPILUPI;RANK3;907654733;907668611;-13878;98835457;98835457;0;
979334762;semana nt;RANK1;1118286229;1113714535;4571694;113639586;113639586;0;
967009729;Garp2021;RANK4;676463982;673476678;2987304;174871449;174871449;0;
922793697;iam tanmay;RANK1;1042580718;1042229718;351000;223958285;223958285;0;
920190504;KidReyhuesos;RANK2;1356360511;1355060140;1300371;98651296;98651296;0;
918055304;Duque999;RANK2;939451608;934146840;5304768;75502224;75502224;0;
847013870;DK ABL;RANK2;228176601;227954363;222238;321156;321156;0;
841305669;ReyHUESOS;RANK2;1535230968;1533305292;1925676;141285541;141285541;0;
822057188;DKAvengers;RANK3;662772204;662951606;-179402;173205439;173205439;0;
810092909;Ayankouji;RANK2;724635804;723967404;668400;90722375;90722375;0;
802871640;CV Oussama;RANK2;851882663;877667046;-25784383;18409031;18127249;281782;
789402592;xXCHIMUEL0Xx;RANK2;1133305988;1132906503;399485;137845014;137845014;0;
788620310;xMustangx;RANK1;980194231;967331955;12862276;31169902;31169902;0;
772344660;Amortiguador;RANK2;710738451;710913003;-174552;101364692;101364692;0;
763974143;lionsilver7;RANK3;1280874002;1280890018;-16016;22831395;22831395;0;
