User ID;Name;Total;Hunt;Purchase; ;L1 (Hunt);L2 (Hunt);L3 (Hunt);L4 (Hunt);L5 (Hunt); ;L1 (Purchase);L2 (Purchase);L3 (Purchase);L4 (Purchase);L5 (Purchase); ;Points (Hunt);Goal Percentage (Hunt); ;Points (Purchase);Goal Percentage (Purchase); ;First Hunt Time;Last Hunt Time
0;Total;106;104;2;;21;80;2;1;0;;2;0;0;0;0;;0;0%;;0;0%;;2025/10/04 06:00:00;2025/11/04 06:00:00
1228601943;LordCarverus;3;1;2;;0;0;1;0;0;;2;0;0;0;0;;12;240%;;2;4%;;2025/10/04 06:46:25;2025/11/04 03:24:04
977609068;3zc4nor;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;12;240%;;0;0%;;2025/10/04 23:21:59;2025/10/04 23:27:14
1693201119;Alberto1040;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
942069046;Amores1;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;16;320%;;0;0%;;2025/10/04 19:16:29;2025/11/04 02:23:54
1084280285;Bank Of LVO;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/10/04 12:36:42;2025/10/04 23:09:46
1229254360;cris100413 2;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;16;320%;;0;0%;;2025/11/04 04:38:15;2025/11/04 04:50:15
702702161;Etheredots08;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1263523353;FrikyStylexD;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/10/04 21:17:17;2025/10/04 21:40:08
1228923680;Isma King11;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;24;480%;;0;0%;;2025/10/04 15:12:38;2025/11/04 05:50:26
631374850;LordFelix19;9;9;0;;0;9;0;0;0;;0;0;0;0;0;;36;720%;;0;0%;;2025/10/04 15:10:40;2025/11/04 03:34:11
1228979362;Mariscal1;6;6;0;;0;6;0;0;0;;0;0;0;0;0;;24;480%;;0;0%;;2025/10/04 15:39:38;2025/11/04 02:03:14
1288474928;WarhammerR17;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1215158248;Yuli 88;4;4;0;;0;3;1;0;0;;0;0;0;0;0;;24;480%;;0;0%;;2025/10/04 06:26:22;2025/11/04 04:24:23
977140835;Alberto1010;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
741474930;Alberto1020;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1230161955;andy lugo;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1289783798;AngelStylexD;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;12;240%;;0;0%;;2025/10/04 22:04:45;2025/11/04 02:38:41
1250284273;Bizcochito 0;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1093551696;BUSHUSHIMA;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1229884598;chiquistriki;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/10/04 17:54:43;2025/10/04 17:55:53
1236010610;El Cuervofer;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1094265960;el triste;1;1;0;;0;1;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/10/04 13:28:56;2025/10/04 13:28:56
1286179845;el yerar 77;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
407737379;elmanolillo;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1228920137;ESTREllA1284;1;1;0;;1;0;0;0;0;;0;0;0;0;0;;1;20%;;0;0%;;2025/11/04 05:53:15;2025/11/04 05:53:15
1228405371;FelixJr 01;4;4;0;;4;0;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/10/04 13:11:29;2025/11/04 02:23:36
1028518720;Freya12;3;3;0;;0;3;0;0;0;;0;0;0;0;0;;12;240%;;0;0%;;2025/11/04 02:13:48;2025/11/04 02:20:00
1214686639;Gabriela19a;4;4;0;;0;4;0;0;0;;0;0;0;0;0;;16;320%;;0;0%;;2025/10/04 13:54:17;2025/10/04 22:19:09
1264938001;GabyJr19;3;3;0;;3;0;0;0;0;;0;0;0;0;0;;3;60%;;0;0%;;2025/10/04 13:33:35;2025/11/04 02:11:13
1747938272;Gabyjr2;2;2;0;;2;0;0;0;0;;0;0;0;0;0;;2;40%;;0;0%;;2025/10/04 13:39:45;2025/11/04 02:20:21
1241030674;Gerax 01;8;8;0;;0;8;0;0;0;;0;0;0;0;0;;32;640%;;0;0%;;2025/10/04 13:01:18;2025/11/04 05:35:33
401215526;Grappamen;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1210601117;ISIcomp;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1315391680;IsmakingII;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/10/04 23:09:10;2025/11/04 05:46:18
1215153397;Jessica20a;2;2;0;;0;2;0;0;0;;0;0;0;0;0;;8;160%;;0;0%;;2025/10/04 14:45:49;2025/10/04 14:52:12
1264083790;Leonidas17;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1277435704;Lilithk17;0;0;0;;0;0;0;0;0;;0;0;0;0;0;;0;0%;;0;0%;;0001/01/01 00:00:00;0001/01/01 00:00:00
1649828692;LocoStylexD;1;1;0;;0;1;0;0;0;;0;0;0;0;0;;4;80%;;0;0%;;2025/10/04 22:25:10;2025/10/04 22:25:10
