Name;Completed;Total;Score;Completed Bonus
IsmakingII;8;8;1246;No
Amores1;8;8;1240;No
Isma King11;8;8;1228;No
Grappamen;8;8;1209;No
noe26;8;8;1173;No
Bizcochito 0;8;8;1170;No
pesadilla35;8;8;1164;No
Migleon11;8;8;1156;No
Jessica20a;8;8;1156;No
LordCarverus;8;8;1148;No
el triste;8;8;1143;No
Araucano;8;8;1141;No
Freya12;8;8;1138;No
ISIcomp;8;8;1136;No
AngelStylexD;8;8;1133;No
sikrio123;8;8;1120;No
Gabriela19a;8;8;1114;No
elmanolillo;8;8;1101;No
Sofia Gk;8;8;1096;No
Pesadilla34;8;8;1090;No
SiKaRiO34;8;8;1082;No
chiquistriki;7;7;1080;No
Alberto1020;8;8;1071;No
Leonidas17;8;8;1060;No
Gabyjr2;8;8;1039;No
marinaleda 1;8;8;1033;No
LocoStylexD;7;7;999;No
3zc4nor;7;8;987;No
GabyJr19;8;8;985;No
Alberto1040;7;7;952;No
Bank Of LVO;8;8;935;No
FelixJr 01;7;8;910;No
cris100413 2;6;6;900;No
cris100413;6;6;900;No
FrikyStylexD;6;6;839;No
El Cuervofer;7;7;827;No
MICHAEL RH;6;7;825;No
Vegueta3;7;7;821;No
Lord Free;5;6;806;No
el yerar 77;7;8;805;No
Oskar78;7;7;797;No
Tinaquillo 2;7;7;778;No
Drawoh PL;7;7;766;No
Alberto1010;5;6;711;No
ESTREllA1284;6;8;709;No
Segs33;6;7;707;No
jocha;6;6;698;No
BUSHUSHIMA;6;6;666;No
andy lugo;5;5;662;No
WarhammerR17;4;7;551;No
Gerax 01;0;0;0;No
