IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1986559483;Lilith M;RANK1;16907596;16780010;127586;32184;32184;0;
1941616434;marinaleda 1;RANK2;109051709;108978744;72965;1746648;1746648;0;
1933480590;Huy Hong 216;RANK1;12079940;12079940;0;469085;469085;0;
1931397986;pesadilla35;RANK2;90857317;89484749;1372568;709715;709715;0;
1798360495;Sofia Gk;RANK3;14939451;14921411;18040;60323;60323;0;
1747938272;Gabyjr2;RANK3;15926482;15926482;0;6959;6959;0;
1693201119;Alberto1040;RANK4;87988357;87988357;0;58462;58462;0;
1649828692;LocoStylexD;RANK3;129648369;129704238;-55869;52890;52890;0;
1633583658;daniellope;RANK1;211709276;211515776;193500;2925219;2925219;0;
1436605171;Vegueta3;RANK3;387720907;387535811;185096;4699663;4699663;0;
1315391680;IsmakingII;RANK3;155195217;155015937;179280;2317388;2317388;0;
1289783798;AngelStylexD;RANK3;452991559;452498906;492653;319063;319063;0;
1288474928;WarhammerR17;RANK4;32853603;32853603;0;24714;24714;0;
1286179845;el yerar 77;RANK3;153100374;150478282;2622092;361000;361000;0;
1277435704;Lilithk17;RANK3;352437598;352437598;0;10257923;10257923;0;
1264938001;GabyJr19;RANK3;30783175;30783175;0;1485332;1485332;0;
1264083790;Leonidas17;RANK3;258999631;250500949;8498682;1312233;1312233;0;
1263523353;FrikyStylexD;RANK4;642301897;642285532;16365;1351746;1351746;0;
1250284273;Bizcochito 0;RANK3;90735690;90735690;0;14542;14542;0;
1246881260;Oskar78;RANK3;135309956;135309956;0;1894805;1894805;0;
1242857857;3l V4r0n;RANK2;19900092;17323172;2576920;8031;8031;0;
1241030674;Gerax 01;RANK3;1012427033;1012427033;0;45878398;45878398;0;
1236010610;El Cuervofer;RANK3;397356404;396548997;807407;4644701;4644701;0;
1230161955;andy lugo;RANK3;424496767;423546290;950477;1626932;1626932;0;
1229947599;Tinaquillo 2;RANK2;222062689;222062689;0;3753055;3753055;0;
1229884598;chiquistriki;RANK3;922228972;922188972;40000;9249794;9249794;0;
1229771516;jocha;RANK2;855956314;853667390;2288924;6521628;6521628;0;
1229658326;noe26;RANK3;883795627;882075962;1719665;13679892;13679892;0;
1229254360;cris100413 2;RANK4;461209500;461209500;0;62506372;62500764;5608;
1229168740;LutySkywalkr;RANK1;383157554;383157554;0;6321249;6321249;0;
1228979362;Mariscal1;RANK4;1036090347;1036059387;30960;58829931;58829931;0;
1228923680;Isma King11;RANK4;384839212;384229924;609288;5775970;5775970;0;
1228920137;ESTREllA1284;RANK3;358370530;353220178;5150352;3722672;3722672;0;
1228741110;sikrio123;RANK3;824560638;824020638;540000;7453467;7453467;0;
1228643807;Segs33;RANK3;197827594;197625870;201724;1953959;1953959;0;
1228601943;LordCarverus;RANK5;1083683877;1082665026;1018851;48412843;48412843;0;
1228405371;FelixJr 01;RANK3;33733992;34071186;-337194;28434;27881;553;
1217886034;Migleon11;RANK3;232224600;229227914;2996686;554343;554343;0;
1215158248;Yuli 88;RANK4;984693899;977837411;6856488;13479186;13479186;0;
1215153397;Jessica20a;RANK3;358036654;357734826;301828;13278453;13278453;0;
1214686639;Gabriela19a;RANK3;404094379;404094379;0;12253042;12253042;0;
1210601117;ISIcomp;RANK3;366615252;351827719;14787533;4567955;4567955;0;
1094265960;el triste;RANK3;389245870;389047870;198000;4114870;4114870;0;
1093551696;BUSHUSHIMA;RANK3;805807980;805351356;456624;9188420;9188420;0;
1084280285;Bank Of LVO;RANK4;278693252;278693252;0;11936336;11936336;0;
1028518720;Freya12;RANK3;403906585;403906585;0;3883125;3883125;0;
977609068;3zc4nor;RANK4;298108642;298061616;47026;5685139;5685139;0;
977140835;Alberto1010;RANK3;860161068;860161068;0;8529165;8529165;0;
942069046;Amores1;RANK4;435292367;434780663;511704;1721972;1721972;0;
910549119;Drawoh PL;RANK2;124194376;123951042;243334;5500049;5500049;0;
839472082;MICHAEL RH;RANK1;321701217;321720227;-19010;3923600;3923509;91;
826878209;Ludociel ADM;RANK1;245059717;245027445;32272;2258799;2258799;0;
823340341;Lord Free;RANK2;417727286;437321776;-19594490;12243923;12215749;28174;
778377352;Pesadilla34;RANK1;707203210;690192740;17010470;16748504;16748504;0;
752206866;Adxniss;RANK1;183282908;183282908;0;3672789;3672789;0;
741474930;Alberto1020;RANK3;427745086;427580506;164580;2036598;2036598;0;
702702161;Etheredots08;RANK4;1268164957;1268164957;0;169101481;169101481;0;
683483289;SiKaRiO34;RANK1;579758336;579748336;10000;25223671;25223671;0;
649969410;Araucano;RANK1;573320793;568220688;5100105;5641544;5641544;0;
631374850;LordFelix19;RANK4;1442647742;0;0;113856075;0;0;
617521930;Thumadree;RANK2;1101817207;1101757015;60192;26712566;26712566;0;
583569292;Diego Brito;RANK2;97346207;91631475;5714732;1158210;1158210;0;
554854155;Cenutrio max;RANK1;19837330;19837330;0;395869;395869;0;
518541756;cris100413;RANK3;994001924;983909696;10092228;410685977;410685977;0;
407737379;elmanolillo;RANK3;637771370;637723370;48000;8354216;8354216;0;
401215526;Grappamen;RANK3;1131102465;1130431865;670600;42012436;42012436;0;
317548670;XKingslayer;RANK3;277793603;277779083;14520;22212817;22212817;0;
