IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1931397986;pesadilla35;RANK2;97568154;97524494;43660;709715;709715;0;
1798360495;Sofia Gk;RANK3;15911058;15892538;18520;60323;60323;0;
1747938272;Gabyjr2;RANK3;16230679;16230679;0;7203;7203;0;
1693201119;Alberto1040;RANK3;90287528;90287528;0;58462;58462;0;
1649828692;LocoStylexD;RANK3;133470810;133436306;34504;52890;52890;0;
1436605171;Vegueta3;RANK3;397497299;397497299;0;4699663;4699663;0;
1315391680;IsmakingII;RANK3;161879387;161891307;-11920;2317388;2317388;0;
1289783798;AngelStylexD;RANK3;456389593;456351284;38309;319063;319063;0;
1288474928;WarhammerR17;RANK3;32852763;32853603;-840;24762;24762;0;
1286179845;el yerar 77;RANK3;162168438;162168438;0;361000;361000;0;
1264938001;GabyJr19;RANK3;31056997;30980879;76118;1486143;1486143;0;
1264083790;Leonidas17;RANK3;269027313;268966300;61013;1312233;1312233;0;
1263523353;FrikyStylexD;RANK4;651131436;651101436;30000;1351746;1351746;0;
1250284273;Bizcochito 0;RANK3;90739738;90735682;4056;14542;14542;0;
1246881260;Oskar78;RANK3;134500835;131171716;3329119;1915482;1915482;0;
1241030674;Gerax 01;RANK4;915325139;903055367;12269772;47471177;47471177;0;
1236010610;El Cuervofer;RANK3;417291239;392221423;25069816;4717243;4717243;0;
1230161955;andy lugo;RANK3;427066103;426913001;153102;1626932;1626932;0;
1229947599;Tinaquillo 2;RANK2;219943700;227130614;-7186914;3794501;3783124;11377;
1229884598;chiquistriki;RANK4;936341816;934209124;2132692;9249794;9249794;0;
1229771516;jocha;RANK2;873416893;872080542;1336351;6521628;6521628;0;
1229658326;noe26;RANK3;895921959;894997648;924311;13747159;13747159;0;
1229254360;cris100413 2;RANK4;461875500;461875500;0;62574430;62568638;5792;
1228979362;Mariscal1;RANK5;1051991243;1051990955;288;58829931;58829931;0;
1228923680;Isma King11;RANK3;387525680;387527272;-1592;5775970;5775970;0;
1228920137;ESTREllA1284;RANK3;364145571;363585411;560160;3800226;3800226;0;
1228741110;sikrio123;RANK3;834217996;834145996;72000;7453467;7453467;0;
1228643807;Segs33;RANK3;199933483;199825720;107763;1953959;1953959;0;
1228405371;FelixJr 01;RANK3;33985752;33985752;0;29289;29289;0;
1217886034;Migleon11;RANK3;255851991;255835041;16950;554343;554343;0;
1215153397;Jessica20a;RANK4;359738452;359332578;405874;13382342;13382342;0;
1214686639;Gabriela19a;RANK2;418408737;418268657;140080;12263397;12263397;0;
1210601117;ISIcomp;RANK3;372704277;372598803;105474;4567955;4567955;0;
1094265960;el triste;RANK3;397472319;397472319;0;4114870;4114870;0;
1093551696;BUSHUSHIMA;RANK3;808034342;808034342;0;9188420;9188420;0;
1084280285;Bank Of LVO;RANK3;279510762;279356595;154167;11936336;11936336;0;
1028518720;Freya12;RANK4;391542720;388085496;3457224;4100299;4100299;0;
977140835;Alberto1010;RANK3;879706726;879684384;22342;8529165;8529165;0;
910549119;Drawoh PL;RANK2;124854047;124854047;0;5511081;5511081;0;
839472082;MICHAEL RH;RANK2;322754235;322768621;-14386;3927380;3926856;524;
823340341;Lord Free;RANK2;465403155;465403155;0;12348007;12348007;0;
778377352;Pesadilla34;RANK3;728390738;728207522;183216;16748504;16748504;0;
741474930;Alberto1020;RANK3;430012450;429826462;185988;2036598;2036598;0;
683483289;SiKaRiO34;RANK3;605004614;604444073;560541;25223671;25223671;0;
649969410;Araucano;RANK3;583163027;583103886;59141;5641544;5641544;0;
637846743;xRayBanx;RANK2;190181878;190181878;0;15553890;15553890;0;
407737379;elmanolillo;RANK3;656174530;655670962;503568;8354216;8354216;0;
401215526;Grappamen;RANK3;1074708844;1027636456;47072388;42621425;42621425;0;
