IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1948037833;RIYA SING;RANK1;27721579;0;0;1649694;0;0;
1893988055;rorolmar4090;RANK1;17172165;17055522;116643;26952;26815;137;
1893988024;rorolmar1192;RANK1;20089476;18994159;1095317;453770;453598;172;
1893987872;nadekasa1742;RANK1;19554505;18690101;864404;282237;282233;4;
1890911961;youse6322;RANK1;16784185;16764303;19882;234636;234592;44;
1849099415;fdsgh43y062;RANK1;41231649;0;0;376232;0;0;
1849096468;fdsgh43y006;RANK1;38798883;0;0;427839;0;0;
1830674849;erh57f084;RANK1;40821327;0;0;317159;0;0;
1830673412;erh57f052;RANK1;40368305;0;0;558567;0;0;
1830672227;erh57f025;RANK1;46930999;0;0;526783;0;0;
1818904645;dg23dgs071;RANK1;51701317;0;0;92701;0;0;
1818903520;ds3dddfz038;RANK1;48442193;0;0;99951;0;0;
1818902868;t34fhg4r019;RANK1;48030293;0;0;118320;0;0;
1818902348;rt5ghg001;RANK1;52930283;0;0;215485;0;0;
1813428745;ronsasaki7;RANK1;429185;93808;335377;0;0;0;
1806262977;ewey031;RANK1;58865579;0;0;78055;0;0;
1627377501;FAREED TIGER;RANK1;100630608;0;0;6675049;0;0;
1600622205;Balrmk;RANK1;593540772;0;0;266158665;0;0;
1327701534;little mj;RANK1;192620463;0;0;3433514;0;0;
1313825302;0 pagan 0;RANK1;263755845;0;0;4755365;0;0;
1268959139;No1KnowsM3;RANK1;239128419;0;0;14809981;0;0;
1232922062;Lmymm902444;RANK1;372188417;370177360;2011057;3879858;3878302;1556;
1093264454;vampire47662;RANK1;6481293;0;0;824;0;0;
921844897;A Ashe;RANK1;742737575;0;0;25801675;0;0;
916127976;SMOLJEN;RANK1;350681712;0;0;10895091;0;0;
900744728;NoLuckForYou;RANK5;21824383;21824383;0;5727;5727;0;
890690208;MiniBadger;RANK1;21924887;21924887;0;48223;48223;0;
833253593;2TURKOGLU 35;RANK1;355436910;355436910;0;3200400;3200400;0;
818160510;TinyBadger;RANK1;54007482;0;0;127579;0;0;
696307228;jjhjjjffvddd;RANK1;597630509;598046749;-416240;3405657;3366501;39156;
692551270;DraKarys;RANK1;451873740;451377740;496000;3982166;3982166;0;
663380148;EL TIGER S;RANK1;846694233;0;0;26273560;0;0;
640984569;GabriellPvh;RANK1;103245116;103245116;0;2115995;2115995;0;
639019432;SaIvo;RANK1;170318164;0;0;45074364;0;0;
608991837;Sethee;RANK1;61791024;0;0;868347;0;0;
608630883;dustbust;RANK1;212586695;212552200;34495;6162642;6162642;0;
571300259;windua;RANK1;271085277;271124935;-39658;1593575;1592768;807;
549274680;po jsis;RANK1;32536723;32536723;0;4459329;4459329;0;
546382896;laukaanj;RANK1;986121;986121;0;860763;860763;0;
525209998;AzR LoRd Ca;RANK1;68649919;0;0;743275;0;0;
525195953;AzE LoRd EL;RANK1;170653821;0;0;3296337;0;0;
520784220;AkifTr;RANK1;999050178;999050178;0;73103480;73103480;0;
506449703;AzE LoRdS pl;RANK1;45829610;0;0;1177610;0;0;
501715866;smolk22;RANK1;155057707;157324754;-2267047;1266154;1263133;3021;
455856987;TCL Jinx;RANK1;1271026003;0;0;5112202;0;0;
452029399;ERROR21;RANK1;96592574;96592574;0;19747901;19747901;0;
419640599;morner;RANK1;668770946;0;0;31127336;0;0;
383257659;shadow coco2;RANK1;55589287;55589287;0;13491128;13491128;0;
383114853;MeiFran 085;RANK1;1348244555;0;0;19279530;0;0;
372248613;Ace Hayking;RANK1;1444899;1444899;0;104672;104672;0;
