Name;Completed;Total;Score;Completed Bonus
Legion876;8;8;1248;No
Nemesis876;8;8;1226;No
LuisGon10;8;8;1201;No
Hie12;8;8;1178;No
Foo12;8;8;1113;No
R3Y PELIGRO;8;8;1097;No
DonRamon77;8;8;1091;No
REY SUPR3MO;8;8;1054;No
rayo1977;7;7;1040;No
Rad Ghost;7;8;997;No
Coquena;7;7;977;No
CrazyBomb1;7;7;974;No
Samaritan876;6;6;922;No
R3Y DE REY3S;7;8;904;No
mixrh;6;7;900;No
kronosDG;6;8;883;No
Amastter;6;7;876;No
KanAnikila;5;5;809;No
Reina Glori;5;6;788;No
t3qu3;5;5;780;No
Marino1234;5;6;775;No
Don Gloton;5;6;726;No
Gustavo83;6;6;696;No
ElZoquete;4;4;597;No
pecosa1977;4;4;593;No
JuveS5;2;2;286;No
PIKULISIT0;2;4;278;No
Julve15;1;1;141;No
bmale;0;0;0;No
Strom1;0;0;0;No
jhomanfrito1;0;0;0;No
jesus 23;0;0;0;No
BBIT0 FIUFIU;0;0;0;No
AMR97;0;0;0;No
ayigoel;0;0;0;No
River Pl4te;0;0;0;No
