IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
2023958550;R3Y PELIGRO;RANK4;2892136;2759543;132593;0;0;0;
1854107901;Foo12;RANK4;75365525;75322497;43028;466;466;0;
1795361609;bmale;RANK4;129265264;128980762;284502;8494;8494;0;
1793197141;Reina Glori;RANK4;417138180;417077940;60240;9929267;9929267;0;
1775524939;Don Gloton;RANK3;135025570;134942749;82821;40782;40782;0;
1757161132;Londor1724;RANK3;40877687;40805655;72032;3867;3867;0;
1468786259;Nemesis876;RANK3;304518224;304518224;0;911164;911164;0;
1428075256;PIKULISIT0;RANK2;27907259;27907259;0;34076;34076;0;
1358625545;Rad Ghost;RANK3;292878696;292883179;-4483;219287;219287;0;
1347847775;Philipspro06;RANK4;119094478;118936478;158000;2744406;2744406;0;
1330884250;CrazyBomb1;RANK4;304434108;304304328;129780;849905;849905;0;
1324095470;Philipsproo3;RANK4;314920524;314912364;8160;1742987;1742987;0;
1322188763;pecosa1977;RANK3;359457395;359445978;11417;4458082;4458082;0;
1316599481;Chechu0525;RANK4;539273551;539149980;123571;8981572;8981572;0;
1315907918;R3Y DE REY3S;RANK4;497099374;494296422;2802952;13319096;13319096;0;
1310166303;t3qu3;RANK3;487640867;485994825;1646042;5295750;5295750;0;
1292987618;Hie12;RANK4;294355316;294233154;122162;13900249;13900249;0;
1285501762;REY SUPR3MO;RANK5;815861022;816044658;-183636;30756221;30756221;0;
1285479728;kronosDG;RANK4;438828679;438593926;234753;4740286;4740286;0;
1285442719;Alvin0525;RANK4;537576658;537576658;0;11316870;11316870;0;
1285437444;Philipspro0;RANK4;674602781;674354952;247829;34147375;34147375;0;
1285128653;Samaritan876;RANK4;664395553;664326697;68856;8122240;8122240;0;
1285098880;rayo1977;RANK4;495791151;495775380;15771;2614414;2614414;0;
1285037529;LuisGon10;RANK3;466389629;466391462;-1833;5074231;5074231;0;
1285029724;jesus 23;RANK4;618266399;618048399;218000;10413711;10413711;0;
1284636887;jpsg0000;RANK4;724438335;724451259;-12924;15934635;15934635;0;
1284344782;PANDA 2023;RANK4;1186222181;1186098181;124000;46537358;46537358;0;
1283459469;Gustavo83;RANK3;438026280;430966936;7059344;4985661;4985661;0;
1282924281;Julve15;RANK3;254446695;254446695;0;4927940;4927940;0;
1277356854;Philipsproo2;RANK4;239614868;239602368;12500;1246450;1246450;0;
1273764383;TICOMETAL;RANK3;446251912;446090044;161868;4888319;4888319;0;
1271584289;Amastter;RANK2;791559770;791486705;73065;20598129;20598129;0;
1269634830;Philipsproo4;RANK3;330269520;330269520;0;7950702;7950702;0;
1267910371;BBIT0 FIUFIU;RANK4;649377883;649390699;-12816;10619795;10619795;0;
1266500405;DESTAJADOR83;RANK3;319918800;319853568;65232;4067575;4067575;0;
1261288065;Brayan1109;RANK4;367054520;366957764;96756;18223060;18223060;0;
1253344316;Philipsproo5;RANK4;338180006;338180006;0;7367427;7367427;0;
1253276646;Marino1234;RANK4;223612829;223612829;0;2544169;2544169;0;
1240610196;KanAnikila;RANK4;543289173;539761253;3527920;82579833;82579833;0;
1232345765;Lolito  Kax;RANK2;310933388;310731108;202280;7899854;7899854;0;
1230028596;Coquena;RANK4;431565172;431602630;-37458;2112679;2112679;0;
1228454315;JuveS5;RANK3;577903052;577433180;469872;8485912;8485912;0;
1221454394;DonRamon77;RANK4;214772122;214742001;30121;2516;2516;0;
1211898812;Philipspro07;RANK4;765192507;765192507;0;89917445;89917445;0;
1206273035;Ragnarok GD;RANK4;942803046;942409670;393376;32284071;32284071;0;
1102545049;mixrh;RANK4;445449347;445261007;188340;61241602;61241602;0;
1054710362;mendez 93;RANK2;366991067;366973636;17431;7881505;7881505;0;
1021575885;AMR97;RANK4;1275361551;1274730399;631152;252376774;252376774;0;
871031899;darkking1;RANK4;1046291131;1039537923;6753208;109394938;109394938;0;
867000274;zayko;RANK1;347786496;347783255;3241;5810611;5810611;0;
