Name;Completed;Total;Score;Completed Bonus
Samaritan876;8;8;1444;No
REY SUPR3MO;8;8;1257;No
Nemesis876;8;8;1246;No
KanAnikila;8;8;1244;No
mixrh;8;8;1233;No
Hie12;8;8;1211;No
R3Y DE REY3S;8;8;1197;No
LuisGon10;8;8;1193;No
Alvin0525;8;8;1172;No
t3qu3;8;8;1165;No
rayo1977;8;8;1164;No
jesus 23;8;8;1152;No
bmale;8;8;1138;No
Coquena;8;8;1137;No
Gustavo83;8;8;1136;No
Don Gloton;8;8;1133;No
pecosa1977;8;8;1132;No
Rad Ghost;8;8;1131;No
CrazyBomb1;8;8;1131;No
Foo12;8;8;1119;No
DonRamon77;8;8;1109;No
Marino1234;7;8;1095;No
Reina Glori;7;7;1055;No
JuveS5;7;7;1044;No
R3Y PELIGRO;7;8;1030;No
Lolito  Kax;7;8;1017;No
Amastter;7;8;1007;No
kronosDG;7;8;990;No
Perez1109;6;6;871;No
BBIT0 FIUFIU;6;7;869;No
Julve15;6;6;851;No
PANDA 2023;5;6;703;No
PIKULISIT0;2;4;278;No
AMR97;0;1;0;No
