IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
2023958550;R3Y PELIGRO;RANK4;55782;12550;43232;0;0;0;
1950619331;PINOCHO1;RANK1;311708;0;0;44;0;0;
1919870785;DaMiedo;RANK3;34803337;34747361;55976;681010;681010;0;
1899068658;No O 2015;RANK2;149329311;149329311;0;5951992;5951992;0;
1874883805;EJC ASRAEL;RANK3;9899076;9899076;0;798806;798806;0;
1874334769;EJC YOGUI;RANK3;2115769;2115769;0;272;272;0;
1874330978;EJC PITUFO;RANK3;1944860;1944860;0;74;74;0;
1874327060;EJC PIOLIN;RANK3;1329341;1329341;0;21;21;0;
1874311284;EJC COYOTE;RANK3;2208676;2208676;0;136;136;0;
1854107901;Foo12;RANK4;57637155;57563655;73500;466;466;0;
1848598324;abuelo 50;RANK3;71628008;71496525;131483;1414679;1414679;0;
1795361609;bmale;RANK3;107451216;107426146;25070;8494;8494;0;
1793197141;Reina Glori;RANK4;326451751;326556028;-104277;9459597;9459597;0;
1775524939;Don Gloton;RANK3;84950223;84925129;25094;40782;40782;0;
1768616725;EJC RUNING01;RANK3;13262019;13262019;0;2966;2966;0;
1764120794;EJC GORDON01;RANK3;17250393;17137440;112953;8651;8651;0;
1764103300;EJC FLASH01;RANK3;12997622;12997622;0;8685;8685;0;
1764089194;EJC POWER01;RANK3;16455982;16455982;0;2830;2830;0;
1764066592;EJC SUGAR01;RANK3;16480677;16480677;0;1609;1609;0;
1615063548;CaRoS 77;RANK4;683987379;683771659;215720;35753593;35753593;0;
1491798385;EJC THORPOWE;RANK3;35902455;35902455;0;14769;14769;0;
1491764494;EJC CICLOPE1;RANK3;26979226;25850730;1128496;16870;16870;0;
1486941293;EJC ARES1;RANK3;31098098;31098098;0;16805;16805;0;
1486900530;EJC ZEUS 1;RANK3;29122008;29122008;0;113080;113080;0;
1486891083;EJC HEFESTO1;RANK3;27380331;27380331;0;10877;10877;0;
1486845651;EJC ODISEO 1;RANK3;32969721;32969721;0;15421;15421;0;
1486801699;EJC PERSEO 1;RANK3;36313518;36313518;0;26131;26131;0;
1486761393;EJC SANSON;RANK3;92323924;92323924;0;75505;75505;0;
1461635621;fernjr;RANK3;172325402;170810580;1514822;2457168;2457168;0;
1428075256;PIKULISIT0;RANK4;27905259;27905259;0;34076;34076;0;
1403808042;BeeSam;RANK3;89866137;89866137;0;3686289;3686289;0;
1358625545;Rad Ghost;RANK3;261478022;250690142;10787880;219286;219286;0;
1347847775;Philipspro06;RANK4;109648204;109516204;132000;2744406;2744406;0;
1347618320;Antonio84;RANK1;223251122;0;0;7634357;0;0;
1341355661;Bank Dei;RANK3;180655114;180655114;0;2619360;2619360;0;
1337196418;DiegoC26;RANK4;447392610;446959900;432710;4559523;4559523;0;
1330884250;CrazyBomb1;RANK4;297706728;286652244;11054484;849905;849905;0;
1324949085;EJC GUERREGO;RANK4;148319264;147963636;355628;1009165;1009165;0;
1324095470;Philipsproo3;RANK4;283963808;283826000;137808;1742987;1742987;0;
1322188763;pecosa1977;RANK3;356960237;356960237;0;4134209;4134209;0;
1316599481;Chechu0525;RANK4;471114422;471043452;70970;7177556;7177556;0;
