User ID;Name;Total;Hunt;Purchase; ;L1 (Hunt);L2 (Hunt);L3 (Hunt);L4 (Hunt);L5 (Hunt); ;L1 (Purchase);L2 (Purchase);L3 (Purchase);L4 (Purchase);L5 (Purchase); ;Points (Hunt);Goal Percentage (Hunt); ;Points (Purchase);Goal Percentage (Purchase); ;First Hunt Time;Last Hunt Time
0;Total;2369;2299;70;;0;1522;696;73;8;;34;28;5;2;1;;0;0%;;0;0%;;2025/28/04 06:00:00;2025/05/05 06:00:00
846491933;Sofocles;11;11;0;;0;6;5;0;0;;0;0;0;0;0;;21;60%;;0;0%;;2025/28/04 06:01:31;2025/01/05 10:49:24
1226171089;0PARZIVAL;28;28;0;;0;19;8;1;0;;0;0;0;0;0;;52;149%;;0;0%;;2025/28/04 06:34:08;2025/04/05 23:17:38
534091266;Hel3n4;33;33;0;;0;27;6;0;0;;0;0;0;0;0;;45;129%;;0;0%;;2025/28/04 06:38:10;2025/05/05 05:47:49
790967668;xXChArLi3Xx;30;30;0;;0;27;3;0;0;;0;0;0;0;0;;36;103%;;0;0%;;2025/28/04 06:46:13;2025/04/05 19:57:53
766982787;Simox91;25;25;0;;0;8;16;1;0;;0;0;0;0;0;;65;186%;;0;0%;;2025/28/04 06:53:08;2025/04/05 23:53:13
894633449;El Kraken1;38;38;0;;0;32;6;0;0;;0;0;0;0;0;;50;143%;;0;0%;;2025/28/04 06:54:53;2025/05/05 02:34:00
378346548;iron bjorn;26;25;1;;0;11;14;0;0;;1;0;0;0;0;;53;151%;;1;2%;;2025/28/04 07:12:32;2025/04/05 19:19:49
844185466;ALUCARD 503;13;13;0;;0;4;9;0;0;;0;0;0;0;0;;31;89%;;0;0%;;2025/28/04 07:12:37;2025/04/05 14:49:24
406591160;7  4  7;10;10;0;;0;3;7;0;0;;0;0;0;0;0;;24;69%;;0;0%;;2025/28/04 07:41:34;2025/29/04 01:01:56
635878574;The Inhumano;36;36;0;;0;31;5;0;0;;0;0;0;0;0;;46;131%;;0;0%;;2025/28/04 07:58:02;2025/04/05 19:48:17
599541936;Exp Warren;34;34;0;;0;30;4;0;0;;0;0;0;0;0;;42;120%;;0;0%;;2025/28/04 08:08:20;2025/04/05 19:38:05
674049056;Jinkatama;27;26;1;;0;12;14;0;0;;1;0;0;0;0;;54;154%;;1;2%;;2025/28/04 08:18:53;2025/04/05 18:15:46
591756994;El PeRKE;26;26;0;;0;18;8;0;0;;0;0;0;0;0;;42;120%;;0;0%;;2025/28/04 08:21:23;2025/04/05 15:02:54
814554943;SirAlexGold;24;24;0;;0;10;14;0;0;;0;0;0;0;0;;52;149%;;0;0%;;2025/28/04 08:35:24;2025/04/05 18:51:42
1283970149;Kike1970;38;38;0;;0;32;3;3;0;;0;0;0;0;0;;68;194%;;0;0%;;2025/28/04 08:36:40;2025/04/05 17:38:07
658112623;NIKlTA;14;14;0;;0;0;13;1;0;;0;0;0;0;0;;48;137%;;0;0%;;2025/28/04 09:07:03;2025/04/05 22:06:43
681664710;nico0370;17;17;0;;0;6;11;0;0;;0;0;0;0;0;;39;111%;;0;0%;;2025/28/04 09:16:19;2025/04/05 22:39:32
623318350;jambin1;35;35;0;;0;34;0;1;0;;0;0;0;0;0;;43;123%;;0;0%;;2025/28/04 09:35:22;2025/04/05 11:23:12
612111008;LA Pequeee;23;23;0;;0;14;8;1;0;;0;0;0;0;0;;47;134%;;0;0%;;2025/28/04 09:54:21;2025/04/05 23:23:40
