Name;Completed;Total;Score;Completed Bonus
El Kike70;11;11;2648;No
Kike1970;11;11;2645;No
ARIES1513;11;11;2380;No
Narada Y1;11;11;2349;No
Yapaye;11;11;2342;No
AREYESAMAYA;11;11;2309;No
ALREAM;11;11;2290;No
NIKlTA;11;11;2219;No
baltodanobb;11;11;2211;No
Hel3n4;11;11;2211;No
MrBee to;11;11;2188;No
NETG;11;11;2169;No
Aitorazu;11;11;2147;No
jinkatama;11;11;2147;No
xXChArLi3Xx;11;11;2140;No
JazminAriana;11;11;2102;No
A B D I E L;11;11;2095;No
Capitankush;11;11;2084;No
Beretta99;11;11;2070;No
Sin  Eater;11;11;2063;No
GHi Peki;11;11;2042;No
Sam Vimes;11;11;2026;No
ISABEL LMS;11;11;2026;No
PanterA CFH;11;11;2024;No
LuzDorada;11;11;2016;No
Nami15;11;11;2014;No
Tristan8;11;11;2011;No
Gio 128;11;11;2010;No
PALETA DULCE;11;11;2008;No
llrafall;11;11;2006;No
ARIDER 23;10;11;2004;No
Xx RaTM xX;11;11;2003;No
ORV3S 21;11;11;1996;No
SirAlexLove;11;11;1993;No
Kaprioty;11;11;1988;No
LA Pequeee;11;11;1986;No
jhonki87;11;11;1976;No
Ju4nM4;11;11;1970;No
SirDarkStrik;11;11;1960;No
SirAlexGold;11;11;1957;No
jhuuniior;11;11;1956;No
khalidkj;11;11;1956;No
SryBig;11;11;1952;No
ElReyHelado;10;11;1951;No
Arth3rxx;11;11;1946;No
el mato a 7;11;11;1937;No
Zape 123;11;11;1936;No
OuttaMyHoose;11;11;1935;No
IFarmVille;11;11;1930;No
HattoriJosh;11;11;1925;No
Hunterman17;11;11;1917;No
JD Hoooney;10;11;1913;No
Valentin 130;11;11;1913;No
01El Verdugo;11;11;1911;No
El Kraken1;11;11;1906;No
CrazyJT98;10;11;1906;No
TEZLA22;11;11;1903;No
lNVlCTUS;11;11;1902;No
Oscardcs;11;11;1892;No
jambin1;11;11;1891;No
titan lucioo;11;11;1888;No
Psiconauta66;11;11;1878;No
1DarkFire1;11;11;1874;No
0Joel;11;11;1873;No
G00D W4Y;11;11;1872;No
TETASQUIETO;11;11;1867;No
0Parzival;11;11;1860;No
RAJAWY91;11;11;1860;No
lealitooo;11;11;1853;No
xNightfallx;11;11;1849;No
Zurd0;11;11;1844;No
Titan Batto;11;11;1828;No
Shiva 1;10;11;1826;No
PT Diablo;11;11;1824;No
LoboMartin02;11;11;1822;No
nico0370;11;11;1821;No
Dragonlord91;11;11;1820;No
SirGrinch;11;11;1819;No
Deadpool9601;11;11;1816;No
liamwa;11;11;1813;No
Kirin I;11;11;1805;No
spiderbot;11;11;1798;No
lRafal;10;11;1793;No
aguita coco;11;11;1781;No
lanceloth12;11;11;1772;No
DRAKARiS;11;11;1768;No
banshi 1;11;11;1767;No
HERMANO FIEL;11;11;1752;No
Simox91;11;11;1750;No
lxRAGNARxl;11;11;1750;No
QUETZA7COATL;11;11;1745;No
iron bjorn;10;11;1743;No
baltodano456;11;11;1742;No
Dafne18;11;11;1738;No
moonapril;11;11;1732;No
Ar3ccO;11;11;1718;No
oliveerg;10;11;1703;No
SenkuAoi;11;11;1672;No
Browniiii;10;11;1657;No
Mini Hel3n4;0;4;0;No
