IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1954663625;aguita coco;RANK2;1059764865;1071907221;-12142356;122820532;121348482;1472050;
1842770758;Aitorazu;RANK2;130086684;0;0;4816309;0;0;
1793429491;llrafall;RANK2;369829733;0;0;3678537;0;0;
1441654950;01El Verdugo;RANK2;663891493;0;0;4795838;0;0;
1406862593;Mini Hel3n4;RANK4;142031290;141570954;460336;1002754;1002754;0;
1283970149;Kike1970;RANK3;1426003720;1436235437;-10231717;61794717;58394285;3400432;
1270241034;El Kike70;RANK2;1305432242;0;0;3456200;0;0;
1226171089;0Parzival;RANK3;1289352949;1279874802;9478147;39690711;39677448;13263;
1218672559;LuzDorada;RANK3;1368725684;1367317103;1408581;69686157;69686157;0;
1207322422;Capitankush;RANK3;753904688;735132977;18771711;137818510;137384820;433690;
1113373295;DRAKARiS;RANK2;1395822132;1393291212;2530920;21373458;21373458;0;
1099751226;moonapril;RANK3;1723316875;1706771561;16545314;49720368;49300243;420125;
1074293573;1DarkFire1;RANK3;1036099655;1035005267;1094388;4918076;4918076;0;
988568419;baltodanobb;RANK2;439417586;0;0;4984524;0;0;
947287557;Sin  Eater;RANK3;1440776022;1432663155;8112867;72843349;72843349;0;
946599901;Deadpool9601;RANK1;667940876;693758919;-25818043;65105138;64712447;392691;
933368342;Shiva 1;RANK3;1141325985;1150846493;-9520508;182971997;182013537;958460;
916564248;0Joel;RANK1;2048126748;2045815956;2310792;87424406;87424406;0;
905458881;Nami15;RANK3;967230886;966058957;1171929;148272853;148272853;0;
894633449;El Kraken1;RANK3;1132692169;1070742483;61949686;137514204;137513543;661;
877240054;SirAlexLove;RANK2;1260233420;0;0;37961897;0;0;
863611697;Narada Y1;RANK4;2004752550;2016750034;-11997484;1370694233;1357668296;13025937;
861956579;SryBig;RANK2;981532864;0;0;44201713;0;0;
848407805;Titan Batto;RANK3;1720910978;1704500908;16410070;270816551;270816551;0;
836273340;xNightfallx;RANK4;1558761259;1557188259;1573000;244731469;244731469;0;
835869850;Dragonlord91;RANK2;1759355280;1769438892;-10083612;518015074;514970473;3044601;
834286083;Beretta99;RANK3;1427816472;1410134777;17681695;421334410;420862566;471844;
829821849;jhuuniior;RANK3;1739551165;1719036830;20514335;262308305;262308305;0;
826038816;PT Diablo;RANK3;1403103017;1394298921;8804096;109232834;109232834;0;
822022891;Dafne18;RANK4;683041272;673639774;9401498;147008912;147008912;0;
820425594;ElReyHelado;RANK3;1125534686;1110788758;14745928;65364379;65364379;0;
814554943;SirAlexGold;RANK3;1969745160;1968145498;1599662;101286342;100834684;451658;
811822862;Psiconauta66;RANK1;646665674;799926051;-153260377;94077877;93380089;697788;
790967668;xXChArLi3Xx;RANK3;1086994014;0;0;211396373;0;0;
778030136;Oscardcs;RANK3;1065654019;1063671419;1982600;5436734;5436734;0;
770013823;ARIES1513;RANK2;477122480;0;0;5838141;0;0;
766982787;Simox91;RANK3;1916055348;1912648454;3406894;981686658;981686656;2;
755488005;ALREAM;RANK2;1389894496;1369923806;19970690;28282931;28271914;11017;
754677465;HERMANO FIEL;RANK3;1548943646;1556798360;-7854714;419758675;419054051;704624;
752768898;Ar3ccO;RANK4;1105277924;0;0;389833466;0;0;
748850018;ARIDER 23;RANK2;1195373525;1190036377;5337148;20630835;20444767;186068;
738738943;SirDarkStrik;RANK3;1745317145;1800372948;-55055803;105337737;103859078;1478659;
727449417;baltodano456;RANK3;850926912;842444292;8482620;35077600;35077600;0;
715282607;Browniiii;RANK3;1707412785;1719848925;-12436140;1459040372;1449029284;10011088;
711035978;JazminAriana;RANK2;1164953788;0;0;205164462;0;0;
707140350;SirGrinch;RANK2;1010618290;1005336646;5281644;160057166;160057166;0;
703470469;titan lucioo;RANK3;1078680269;1069350438;9329831;631982857;631283149;699708;
700256343;LoboMartin02;RANK3;1150841398;1145682478;5158920;86480542;86300542;180000;
698094420;AREYESAMAYA;RANK3;1753818708;1761804302;-7985594;165428073;164565910;862163;
689557966;QUETZA7COATL;RANK3;1386174483;1383789749;2384734;18290639;18290639;0;
687446599;Kaprioty;RANK2;1155724483;1153122971;2601512;35822122;35822122;0;
681664710;nico0370;RANK3;1240859348;1238718589;2140759;217510518;217320502;190016;
674049056;jinkatama;RANK3;1589376694;1587462048;1914646;137786892;136027880;1759012;
668867082;liamwa;RANK2;1855890603;1847982583;7908020;317861986;317861986;0;
666912138;Zape 123;RANK3;1936826375;0;0;356353162;0;0;
658634924;CrazyJT98;RANK2;668022025;0;0;32735303;0;0;
658174520;Xx RaTM xX;RANK4;1411212455;1396302837;14909618;271415745;271413598;2147;XxaNTiFaxX
658112623;NIKlTA;RANK4;1218748457;1210093477;8654980;309533098;308514591;1018507;
658037276;Yapaye;RANK5;1294551187;1289832615;4718572;629837467;627610422;2227045;
651522115;GHi Peki;RANK2;1450567895;1440802261;9765634;61959296;61709296;250000;
629197511;el mato a 7;RANK2;995998472;992681723;3316749;60913379;60913379;0;
625540284;Tristan8;RANK3;1333176687;1322573711;10602976;59061837;59061837;0;
623318350;jambin1;RANK3;1333805097;1332505719;1299378;91000048;90562066;437982;
613707691;OuttaMyHoose;RANK1;1433518357;0;0;831889540;0;0;
612111008;LA Pequeee;RANK2;550631438;0;0;1314526;0;0;
609213100;spiderbot;RANK3;1288050393;1286238962;1811431;128330453;128330453;0;
603887056;oliveerg;RANK3;1030015358;1019809760;10205598;318950604;318950604;0;
602106283;lealitooo;RANK2;838644354;820683505;17960849;90132576;90127683;4893;
596720397;jhonki87;RANK3;1185848880;1181412927;4435953;144495636;142154533;2341103;
582505652;Ju4nM4;RANK3;1303220826;1300782718;2438108;206970493;206770489;200004;
581802088;Sam Vimes;RANK3;1601996597;1592711797;9284800;52790929;52790929;0;
570445390;Hunterman17;RANK3;1671306865;1666732032;4574833;857110454;855388538;1721916;
567753349;ISABEL LMS;RANK4;1275379912;1257452721;17927191;426197868;425971984;225884;
566127386;TETASQUIETO;RANK4;1527648984;1525342310;2306674;617676953;617676953;0;
564433258;TEZLA22;RANK2;760801276;0;0;39930700;0;0;
553551905;Gio 128;RANK2;1471220393;1469673310;1547083;18178283;18178283;0;
545187746;JD Hoooney;RANK3;1048929575;1042631754;6297821;87455183;86503761;951422;
534091266;Hel3n4;RANK4;532427404;532235404;192000;18977745;18977745;0;
532926043;khalidkj;RANK2;1680754896;1679027282;1727614;130053239;130053239;0;
532690198;ORV3S 21;RANK3;1436185059;1414397902;21787157;171281960;169195874;2086086;
520445173;Arth3rxx;RANK1;939494455;1252509341;-313014886;630662969;629253230;1409739;
507051905;RAJAWY91;RANK3;1841847338;1839551069;2296269;581279013;581279013;0;
466746743;lanceloth12;RANK3;1643284380;1642224570;1059810;315455977;315188945;267032;
462089026;Valentin 130;RANK2;1541044246;1539186978;1857268;14538834;14538834;0;
454036574;lNVlCTUS;RANK2;1353511195;0;0;232661626;0;0;
446326276;PanterA CFH;RANK3;1561125705;1550906500;10219205;305751608;305751608;0;
434406844;SenkuAoi;RANK3;1328690239;1326868063;1822176;218831661;218831661;0;
427738188;A B D I E L;RANK3;1361584704;1358061150;3523554;352774748;352285060;489688;
423308625;HattoriJosh;RANK3;1946784435;1948195695;-1411260;2005950699;2002519645;3431054;
419047979;PALETA DULCE;RANK1;1570522614;1568953626;1568988;233593554;233593554;0;
413863558;lRafal;RANK2;1007636006;1004375527;3260479;124260017;124260017;0;
410511830;Kirin I;RANK3;1602963909;1588349299;14614610;362216423;362216423;0;
408729856;MrBee to;RANK2;1350436691;0;0;186951803;0;0;
