User ID;Name;Total;Hunt;Purchase; ;L1 (Hunt);L2 (Hunt);L3 (Hunt);L4 (Hunt);L5 (Hunt); ;L1 (Purchase);L2 (Purchase);L3 (Purchase);L4 (Purchase);L5 (Purchase); ;Points (Hunt);Goal Percentage (Hunt); ;Points (Purchase);Goal Percentage (Purchase); ;First Hunt Time;Last Hunt Time
0;Total;3018;2950;68;;273;2049;533;78;17;;17;34;17;0;0;;0;0%;;0;0%;;2025/12/05 06:00:00;2025/19/05 06:00:00
567753349;ISABEL LMS;13;13;0;;0;0;11;2;0;;0;0;0;0;0;;51;146%;;0;0%;;2025/12/05 07:23:30;2025/18/05 09:15:35
1226171089;0PARZIVAL;39;39;0;;1;27;10;1;0;;0;0;0;0;0;;66;189%;;0;0%;;2025/12/05 17:19:45;2025/18/05 22:11:23
1074293573;1DarkFire1;12;12;0;;0;5;7;0;0;;0;0;0;0;0;;26;74%;;0;0%;;2025/13/05 13:52:31;2025/18/05 04:19:48
524063143;1Noah1;10;10;0;;0;4;3;3;0;;0;0;0;0;0;;40;114%;;0;0%;;2025/12/05 06:53:37;2025/18/05 14:41:44
752768898;Ar3ccO;36;36;0;;0;30;6;0;0;;0;0;0;0;0;;48;137%;;0;0%;;2025/13/05 02:43:06;2025/19/05 06:01:21
698094420;AREYESAMAYA;12;11;1;;0;0;9;2;0;;1;0;0;0;0;;45;129%;;1;2%;;2025/13/05 00:03:08;2025/18/05 22:39:53
527585575;Capu beni;38;38;0;;0;36;1;1;0;;0;0;0;0;0;;48;137%;;0;0%;;2025/12/05 11:05:23;2025/18/05 09:38:36
822022891;Dafne18;20;20;0;;0;15;3;2;0;;0;0;0;0;0;;42;120%;;0;0%;;2025/12/05 23:22:23;2025/18/05 20:12:47
835869850;Dragonlord91;31;31;0;;0;28;3;0;0;;0;0;0;0;0;;37;106%;;0;0%;;2025/12/05 23:31:21;2025/18/05 06:32:52
894633449;El Kraken1;46;46;0;;0;42;4;0;0;;0;0;0;0;0;;54;154%;;0;0%;;2025/12/05 17:09:31;2025/19/05 03:35:57
