Name;Completed;Total;Score;Completed Bonus
ErDiablo xD;10;10;2392;No
Kike1970;10;10;2364;No
Narada Y1;10;10;2249;No
ARIDER 23;10;10;2186;No
ALREAM;10;10;2124;No
Yapaye;10;10;2096;No
Jinkatama;10;10;2078;No
AREYESAMAYA;10;10;2073;No
OuttaMyHoose;10;10;2016;No
Mini Hel3n4;10;10;2010;No
Hel3n4;10;10;2010;No
Oscardcs;10;10;1999;No
NETG;10;10;1987;No
SirDarkStrik;10;10;1945;No
Not Guilty;10;10;1873;No
HERNANDEZ21;10;10;1867;No
ISABEL LMS;10;10;1866;No
Elportee;10;10;1863;No
Valentin 130;10;10;1861;No
El Kraken1;10;10;1857;No
DRAKARiS;10;10;1836;No
NoOoCHi;10;10;1835;No
0Parzival;10;10;1834;No
A B D I E L;10;10;1826;No
Tristan8;10;10;1823;No
Dragonlord91;10;10;1821;No
khalidkj;10;10;1821;No
Kaprioty;10;10;1820;No
SenkuAoi;10;10;1814;No
SirAlexGold;10;10;1812;No
nico0370;10;10;1803;No
I DevineSoul;10;10;1796;No
CHA PlN;10;10;1789;No
Arth3rxx;10;10;1787;No
1DarkFire1;10;10;1783;No
Gio 128;10;10;1777;No
lxRAGNARxl;10;10;1773;No
llrafall;10;10;1772;No
racagu;10;10;1767;No
NIKlTA;9;10;1765;No
xXChArLi3Xx;9;10;1764;No
Ju4nM4;10;10;1764;No
MARGINAD0;9;10;1763;No
LuzDorada;10;10;1761;No
RAJAWY91;10;10;1761;No
AAKILESS RYU;9;10;1761;No
iron bjorn;10;10;1758;No
baltodano456;10;10;1757;No
1Noah1;10;10;1756;No
xNightfallx;10;10;1746;No
jambin1;10;10;1736;No
Exp Warren;10;10;1718;No
El PeRKE;10;10;1701;No
Capu beni;9;10;1693;No
Deadpool9601;10;10;1690;No
PT Diablo;10;10;1688;No
PIRO LINDO 2;10;10;1688;No
HattoriJosh;10;10;1687;No
GHi Peki;10;10;1674;No
Hunterman17;10;10;1669;No
oliveerg;10;10;1667;No
lealitooo;10;10;1663;No
LoboMartin02;10;10;1658;No
lanceloth12;9;10;1657;No
The Inhumano;10;10;1648;No
Ar3ccO;10;10;1645;No
QUETZA7COATL;10;10;1645;No
Perceo;10;10;1642;No
Xx RaTM xX;10;10;1637;No
TETASQUIETO;10;10;1621;No
Titan Batto;9;10;1617;No
ALUCARD 503;9;10;1613;No
PALETA DULCE;9;10;1608;No
spiderbot;10;10;1593;No
Simox91;10;10;1591;No
lRafal;9;10;1581;No
0Joel;10;10;1576;No
Dafne18;10;10;1573;No
HERMANO FIEL;10;10;1566;No
Sam Vimes;9;10;1557;No
Kirin I;10;10;1553;No
JD Hoooney;9;10;1550;No
G00D W4Y;10;10;1544;No
Psiconauta66;9;10;1538;No
1killito1;10;10;1531;No
ElReyHelado;9;10;1503;No
YASHYRO RYU;0;0;0;No
YASHYRO BANK;0;0;0;No
