IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1793429491;llrafall;RANK2;308742436;305641149;3101287;3678537;3678537;0;
1406862593;Mini Hel3n4;RANK3;138273681;138261681;12000;1002754;1002754;0;
1283970149;Kike1970;RANK3;1387171628;1407961737;-20790109;28008548;21522596;6485952;
1226171089;0PARZIVAL;RANK3;1208665414;1218855923;-10190509;17236901;15639091;1597810;
1218672559;LuzDorada;RANK3;1319904145;1321769524;-1865379;68751275;68687986;63289;
1113373295;DRAKARiS;RANK3;1436717226;1435287050;1430176;16440305;16440305;0;
1099565829;Mala noche;RANK3;588782744;581995973;6786771;29292394;29292394;0;
1074293573;1DarkFire1;RANK4;998587128;996405048;2182080;4917860;4917860;0;
1020054742;Perceo;RANK4;1092042025;1111165599;-19123574;163067512;154929470;8138042;
946599901;Deadpool9601;RANK2;630556491;639270176;-8713685;55780755;53267232;2513523;
916564248;0Joel;RANK3;1996700702;2000473768;-3773066;84370125;83412035;958090;
894633449;El Kraken1;RANK3;1030705253;1048187991;-17482738;115508850;107644475;7864375;
887434016;YASHYRO RYU;RANK3;1428315348;1481676663;-53361315;1564915017;1557715626;7199391;
863611697;Narada Y1;RANK3;2013480712;0;0;1265173011;0;0;
853735873;I DevineSoul;RANK2;1193272299;1203985616;-10713317;26622407;24290188;2332219;
848407805;Titan Batto;RANK3;1566088398;1566880105;-791707;260548782;259518574;1030208;
844185466;ALUCARD 503;RANK2;1139950067;1124910612;15039455;100157320;100157320;0;
836273340;xNightfallx;RANK3;1508562896;1506634896;1928000;244419631;244419631;0;
835869850;Dragonlord91;RANK3;1769158782;1802517599;-33358817;487560733;480502654;7058079;
834286083;Beretta99;RANK3;1387504768;1392008570;-4503802;398417873;392906908;5510965;
826038816;PT Diablo;RANK3;1332037568;1336908198;-4870630;102031220;98420301;3610919;
822022891;Dafne18;RANK4;609944740;611106537;-1161797;133154322;131112391;2041931;
820425594;ElReyHelado;RANK3;1054984954;1055080061;-95107;57369540;56812231;557309;
815803504;GARVALLH JR;RANK2;1012722429;1011472219;1250210;53668622;53497183;171439;
814554943;SirAlexGold;RANK3;1883346947;1889336913;-5989966;92114149;90492928;1621221;
811822862;manuchao22;RANK1;763073562;664117690;98955872;89576284;89527915;48369;
790967668;xXChArLi3Xx;RANK3;1086090220;1091683109;-5592889;205097743;203197450;1900293;
778030136;Oscardcs;RANK2;1020158346;1017838130;2320216;5423948;5423948;0;
766982787;Simox91;RANK3;1865469190;1878202455;-12733265;942614775;930687853;11926922;
762999508;Isabelita;RANK4;105490876;0;0;243602;0;0;
755488005;ALREAM;RANK2;1311610830;1321176596;-9565766;27945504;27826633;118871;
754677465;HERMANO FIEL;RANK3;1558597546;1571048532;-12450986;384173418;378345659;5827759;
752768898;Ar3ccO;RANK4;1071665343;1073332797;-1667454;380788692;375772781;5015911;
748850018;ARIDER 23;RANK2;1166297112;1165880252;416860;18855497;18000385;855112;
738738943;SirDarkStrik;RANK3;1706032240;1701561371;4470869;100652623;100360567;292056;
727449417;baltodano456;RANK3;818168770;821077397;-2908627;31487803;29297651;2190152;
700256343;LoboMartin02;RANK3;1222819892;1229540225;-6720333;76825168;75820932;1004236;
698094420;AREYESAMAYA;RANK3;1673923933;1700018863;-26094930;161435445;156532770;4902675;
689557966;QUETZA7COATL;RANK3;1333167117;1333414922;-247805;18258784;18112476;146308;
