Name;Completed;Total;Score;Completed Bonus
khathaleya;8;8;1748;No
MamaSesta;9;9;1709;No
SK You Daddy;9;9;1600;No
Mluis179;9;9;1544;No
Coyhaiquina;9;9;1472;No
AQUELARRE;9;9;1471;No
Chilotit;9;9;1462;No
licantropo;9;9;1450;No
Lady Vamp8;9;9;1446;No
1Vannessa;9;9;1444;No
lllTANGOlll;9;9;1436;No
patagona;9;9;1432;No
que mira bob;9;9;1427;No
AleDussan1;9;9;1421;No
rey d3monio;7;7;1407;No
XxLucy16xX;7;8;1407;No
rata asesina;9;9;1401;No
patasola;9;9;1394;No
tavoelloko;9;9;1383;No
XxYurikoxX;9;9;1377;No
Usi340;9;9;1371;No
Ever rich;9;9;1370;No
khathalina;6;6;1368;No
MizukiBatman;9;9;1363;No
ESPIAME ESTA;9;9;1363;No
Selene86;9;9;1361;No
vanesi;9;9;1359;No
maltacnhuevo;8;9;1357;No
NARUTOSHINPU;9;9;1354;No
EL COLOSO;9;9;1348;No
XxXSebastian;9;9;1331;No
Giann0;9;9;1327;No
XxLadySilxX;9;9;1325;No
N1ppur;9;9;1318;No
C0NEJ0;9;9;1311;No
SANTYYY;9;9;1310;No
xx nico xx;9;9;1310;No
MrFinallBoss;9;9;1309;No
Super Tank;9;9;1302;No
BenTor;9;9;1300;No
XxCHUKYxX;9;9;1294;No
CarlosMan;9;9;1291;No
XxPerlyxX;9;9;1282;No
IrvinSM;9;9;1274;No
sir bastiann;9;9;1264;No
x Rey lobo x;9;9;1262;No
f2pPiKaBoss;8;8;1259;No
LORDJUAREZ31;9;9;1255;No
PiKaBossQ4;8;8;1234;No
EL ALEMAN;9;9;1224;No
AlbertoR4;8;8;1197;No
HerNanSCiTo;7;7;1185;No
IrvinSM26;8;9;1176;No
zmmma;8;8;1168;No
NoMolestarX;8;8;1163;No
anjomal 1;8;9;1157;No
XxDuffmanxX;8;9;1144;No
Asturyors;8;9;1121;No
chuky 01;8;9;1114;No
NewHakuna;8;8;1077;No
HFime;7;9;1074;No
ELDEMONIX;8;9;1073;No
TANQUE GM;7;8;1065;No
Europa;7;9;1063;No
AlbertoR2;7;7;1038;No
lord tanquex;7;7;1030;No
Meikobato;7;7;1026;No
viejitoo;7;7;993;No
tatto 20;6;7;917;No
WUQINGXY;6;7;850;No
tanquesito;5;5;702;No
tank food;5;7;670;No
XGod Anubis2;4;5;624;No
Alberto R1;4;4;607;No
MALEFICO;4;5;569;No
terror xtrem;4;4;553;No
X Psycho xX;4;6;552;No
XGod Anubis;3;5;474;No
Rasmus 1;3;3;455;No
maburro ctm;2;3;350;No
Johanssy;2;2;276;No
Espadas Roja;2;4;272;No
LEIDYPERLY;2;3;236;No
zx601;1;1;135;No
jonesnathan;0;0;0;No
RT020;0;0;0;No
MluisVnTINTO;0;0;0;No
Rex M;0;0;0;No
Granero;0;0;0;No
Pinotea;0;1;0;No
Shinitenshy;0;0;0;No
OnlyLeyend I;0;0;0;No
Real g4;0;0;0;No
x IP MAN x;0;0;0;No
WU El CAPO;0;0;0;No
Al3xander97;0;0;0;No
Aaddrriiaann;0;0;0;No
