IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1790128768;MluisVnTINTO;RANK2;422059571;422008397;51174;2017541;2017541;0;
1787570362;paulo1604;RANK4;655333715;652925135;2408580;10075252;10075252;0;
1326163584;LEIDYPERLY;RANK4;31818641;31173533;645108;32518;32518;0;
1281290497;LaTiaMaria;RANK4;950222303;947696427;2525876;33689480;33689480;0;
1103685981;tank food;RANK4;345905969;345905969;0;4117144;4117144;0;
1094648511;LORDJUAREZ31;RANK4;138450687;137428058;1022629;147561;147561;0;
1071959766;fofarllira;RANK4;1333118471;1330971831;2146640;12711070;12711070;0;
949454072;Mluis179;RANK4;975784798;975634238;150560;53332219;53332219;0;
949062617;Usi340;RANK4;2004397447;2003833175;564272;164435353;164435353;0;
937941305;MizukiBatman;RANK4;949678610;948290706;1387904;103559749;103559749;0;
918198297;tanquesito;RANK4;664130796;664108188;22608;8242625;8242625;0;
892680229;Asturyors;RANK4;1606283397;1605815613;467784;326985130;326985130;0;
872454860;tavoelloko;RANK4;1511881010;1511330990;550020;119232997;119232997;0;
849811942;Rex M;RANK1;1120466568;0;0;403964681;0;0;
847761572;NewHakuna;RANK3;978621802;975459428;3162374;277296702;277296702;0;
846573341;maburro ctm;RANK4;1727458619;1727354619;104000;208895171;208895171;0;
844625151;HFime;RANK4;559224787;559224787;0;8914563;8914563;0;
830239883;P4PUCH0;RANK2;252513257;251933337;579920;16944371;16944371;0;
827694659;HerNanSCiTo;RANK4;1797544065;1797012815;531250;119853783;119853783;0;
815830120;OnlyM06;RANK4;1334832895;1334047500;785395;212921373;212921373;0;
809309200;tatto 20;RANK4;561472098;558604104;2867994;98684058;98684058;0;
776416802;khatrina;RANK2;295255452;295255452;0;162616;162616;0;
772463969;AlbertoR4;RANK4;312232901;311951046;281855;1513548;1513548;0;
764366507;SK You Daddy;RANK4;1125774526;1125702526;72000;221387410;221387410;0;
753327750;Granero;RANK4;646829457;646829457;0;5311467;5311467;0;
751696444;Pinotea;RANK4;585809495;585809495;0;22223538;22223538;0;
748858433;AleDussan1;RANK4;658395386;658347386;48000;13328403;13328403;0;
748858399;Suvorov39;RANK4;1433044254;1433044254;0;358678749;358678749;0;
739205877;viejitoo;RANK5;1743588421;1743653929;-65508;1547127951;1547127951;0;
728888893;Espadas Roja;RANK3;40566926;40566926;0;582240;582240;0;
726584831;Europa;RANK3;607078214;606999338;78876;108643987;108643987;0;
718218085;que mira bob;RANK4;1309696333;1308619809;1076524;137599171;137599171;0;
702239037;IrvinSM;RANK4;522421768;515401948;7019820;6616685;6616685;0;
694876933;maltacnhuevo;RANK4;1027190511;1027093511;97000;83128415;83128415;0;
678137938;AQUELARRE;RANK4;1142265369;1141139137;1126232;80122130;80122130;0;
672413075;Rasmus 1;RANK4;497786021;496420213;1365808;15571402;15571402;0;
663777283;ELDEMONIX;RANK4;1695465137;1690719137;4746000;660197456;660197456;0;
662280632;khathalina;RANK4;1027390124;1027390124;0;5173581;5173581;0;
655921445;IrvinSM26;RANK4;1041712600;1041640600;72000;221545560;221545560;0;
651885950;patasola;RANK4;758746342;758746342;0;28913375;28913375;0;
645708235;patagona;RANK4;985406923;985302173;104750;25069358;24618367;450991;
