IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1326163584;LORDM4RT1NEZ;RANK2;7458278;7440182;18096;769;769;0;
1287617621;RuhaniCam;RANK2;26319420;26319420;0;25565;25565;0;
1103685981;tank food;RANK3;299306133;298829130;477003;2462434;2462434;0;
1094648511;LORDJUAREZ31;RANK3;128466662;128466662;0;128085;128085;0;
949454072;Mluis179;RANK3;871215300;870752112;463188;45341685;45341685;0;
949062617;Usi340;RANK3;1975054900;1975054900;0;124114991;124114991;0;
937941305;MizukiBatman;RANK3;954790383;953339619;1450764;82859401;82859401;0;
925761742;TOPO YIY0;RANK2;409847990;400970359;8877631;10668455;10668455;0;
918198297;tanquesito;RANK3;652284025;652274899;9126;6424004;6424004;0;
844861124;KINGYON1;RANK3;827027829;826222909;804920;14647174;14647174;0;
844625151;HFime;RANK3;537715699;537715699;0;7942788;7942788;0;
835099741;Johanssy;RANK3;1011099819;1009681259;1418560;7728196;7728196;0;
827694659;HerNanSCiTo;RANK3;1715813609;1715345609;468000;84824742;84824742;0;
824235455;XGod Anubis2;RANK3;380727795;380577227;150568;5422785;5422785;0;
809309200;tatto 20;RANK3;524721254;524721254;0;82811799;82811799;0;
796997690;XGod Anubis;RANK3;1180498077;1180426447;71630;142551270;142551270;0;
791541960;zmmma;RANK3;1822689540;1834070963;-11381423;339685839;339032956;652883;
772463969;AlbertoR4;RANK3;288878472;288878472;0;1357981;1357981;0;
764366507;SK You Daddy;RANK3;962240523;962143523;97000;212244581;212244581;0;
753327750;Granero;RANK3;642377182;642377182;0;5311467;5311467;0;
751696444;Pinotea;RANK3;580081559;580081559;0;22101320;22101320;0;
739205877;viejitoo;RANK4;1705457456;1704675898;781558;1448841717;1448841717;0;
728888893;Espadas Roja;RANK3;39598223;39598223;0;582240;582240;0;
718218085;que mira bob;RANK3;1184727431;1184513503;213928;122300507;122300507;0;
707005887;Im The SOUL;RANK2;825000592;825467704;-467112;431320716;431320716;0;
702239037;IrvinSM;RANK3;495339928;495339928;0;6616685;6616685;0;
694876933;maltacnhuevo;RANK3;911699238;1031266261;-119567023;81730296;80413840;1316456;
678137938;AQUELARRE;RANK3;1066467190;1066169274;297916;78783672;78783672;0;
672413075;Rasmus 1;RANK3;503833796;503593216;240580;12597136;12597136;0;
662280632;khathalina;RANK3;980690908;979764908;926000;3981797;3981797;0;
655921445;IrvinSM26;RANK3;1020232781;1020147617;85164;207482619;207482619;0;
655010613;brokentheart;RANK3;1242607092;1237764799;4842293;66067127;66067127;0;
645708235;patagona;RANK3;906284265;903828400;2455865;21543140;21543140;0;
630341892;C0NEJ0;RANK3;256502222;256448546;53676;679451;679451;0;
624903095;Shinitenshy;RANK4;1260571613;1260033389;538224;484037537;484037537;0;
624602047;Chilotit;RANK3;854385144;854014209;370935;4805706;4805706;0;
622191815;rey d3monio;RANK4;215431563;215431563;0;680808;680808;0;
585650306;ESPIAME ESTA;RANK4;1143849909;1143428966;420943;73757997;73757997;0;
584380599;AlbertoR2;RANK4;515500708;515329964;170744;15003660;15003660;0;
581678141;MamaSesta;RANK4;1219131876;1218415876;716000;85746663;85746663;0;
581670059;XxLadySilxX;RANK3;702781647;702262100;519547;50231517;50231517;0;
578070951;SANTYYY;RANK3;677252183;676385303;866880;3397502;3397502;0;
576251888;Selene86;RANK3;438059630;437861630;198000;11271813;11271813;0;
576004265;Duncans chef;RANK3;1475985514;1475167014;818500;17828039;17828039;0;
575588030;xx nico xx;RANK3;365585153;365585153;0;14049534;14049534;0;
575170344;sir bastiann;RANK3;855106774;855106774;0;4804487;4804487;0;
575112757;Alberto R1;RANK3;509663990;508676590;987400;14714118;14714118;0;
575042041;XxPerlyxX;RANK3;684741264;684741336;-72;11647672;11647672;0;
567034330;lord tanquex;RANK3;910600159;910362559;237600;10857757;10857757;0;
565644164;Meikobato;RANK3;189083550;189083550;0;5033107;5033107;0;
563483698;Real g4;RANK2;697025250;697025250;0;81732164;81732164;0;
562681573;XxLucy16xX;RANK4;279212213;279193713;18500;29672;29672;0;
558410518;XxYurikoxX;RANK5;1279386337;1279044121;342216;177482803;177482803;0;
557623431;licantropo;RANK4;1283495598;1282833690;661908;75216127;75216127;0;
556904547;X Psycho xX;RANK3;602009281;602009281;0;91323006;91323006;0;
555262823;zx601;RANK3;816626763;816626763;0;16857879;16857879;0;
547863342;NoMolestarX;RANK3;310529595;310496595;33000;31745410;31745410;0;
546955595;Martin  43;RANK3;832240448;832180448;60000;33955244;33955244;0;
543842693;vanesi;RANK3;956219013;956219013;0;6793876;6793876;0;
543814578;1Vannessa;RANK3;1213656584;1213656584;0;5345663;5345663;0;
468050803;In The Soul;RANK2;498053166;493110078;4943088;88627762;88627762;0;
463937090;Coyhaiquina;RANK3;1197595778;1197570953;24825;23454209;23454209;0;
461628858;Super Tank;RANK4;1319951900;1319951900;0;52293670;52293670;0;
446138590;Lady Vamp8;RANK4;1277887982;1277564856;323126;17859615;17859615;0;
436226230;MALEFICO;RANK3;515164606;514563436;601170;42743767;42743767;0;
430980593;XxCHUKYxX;RANK4;1364071962;1364071962;0;909311025;909311025;0;
408630761;NARUTOSHINPU;RANK3;1170325261;1170253297;71964;70283285;70283285;0;
402264140;terror xtrem;RANK3;857862744;857862744;0;96875280;96875280;0;
400641116;TANQUE GM;RANK3;1334857125;1334785125;72000;295818080;295818080;0;
397453130;N1ppur;RANK4;2135082180;2131110993;3971187;378552701;378546393;6308;
396515097;Giann0;RANK4;1033822638;1033313580;509058;86752828;86752828;0;
377334783;WUQINGXY;RANK3;636013037;635132237;880800;32025418;32025418;0;
368801815;x Rey lobo x;RANK3;845736492;845462492;274000;79262665;79262665;0;
368000441;RT020;RANK3;541784774;541784774;0;17325612;17325612;0;
366392691;Ever rich;RANK3;1387457006;1387457078;-72;44067635;44067635;0;
360517277;WU El CAPO;RANK3;1401896712;1401896712;0;144175472;144175472;0;
355381625;BenTor;RANK3;770894377;770410377;484000;11273913;11273913;0;
340020311;Al3xander97;RANK4;1234699792;1234699792;0;235537558;235537558;0;
337887912;lllTANGOlll;RANK3;1571051913;1571051913;0;161422615;161422615;0;
334814436;CarlosMan;RANK3;1020835636;1019847828;987808;156780613;156780613;0;
320352921;XxDuffmanxX;RANK4;1394855636;1394855636;0;546136018;546136018;0;
315261871;Aaddrriiaann;RANK3;1042160964;1042160964;0;100877036;100877036;0;
289564205;rata asesina;RANK3;1003366716;1003109316;257400;242231351;242231351;0;
241102972;f2pPiKaBoss;RANK3;1489825044;1489334516;490528;548894304;546395655;2498649;
