Name;Completed;Total;Score;Completed Bonus
LordFelix18;8;8;1245;No
Isma King11;8;8;1229;No
chiquistriki;8;8;1212;No
IsmakingII;8;8;1183;No
Amores1;8;8;1174;No
Freya12;8;8;1166;No
VipZeus;8;8;1166;No
Mariscal1;8;8;1149;No
noe26;8;8;1139;No
Gabriela19a;8;8;1133;No
sikrio123;8;8;1125;No
celestino1;8;8;1116;No
ISIcomp;8;8;1116;No
andy lugo;8;8;1111;No
Tinaquillo 2;8;8;1077;No
Biscochit0;7;7;1063;No
Alberto1010;7;7;1044;No
Migleon11;8;8;1038;No
Gerax 01;8;8;1035;No
Leonidas17;7;7;1032;No
el triste;7;7;1026;No
Bizcochito 0;7;8;1011;No
Alberto1040;7;7;986;No
celestiales2;7;8;924;No
el yerar 77;7;7;920;No
Alberto1020;6;7;872;No
Jessica20a;6;7;803;No
El Cuervofer;6;7;790;No
ESTREllA1284;6;8;757;No
Grappamen;5;5;732;No
CamilaV;5;5;731;No
BUSHUSHIMA;7;7;716;No
WarhammerR17;5;7;715;No
Segs33;6;7;653;No
Oskar78;5;7;588;No
Vegueta3;4;4;478;No
Lord Free;3;6;449;No
FelixJr 01;2;2;265;No
GabyJr19;2;3;259;No
Bank of LVO;1;1;161;No
JessicaJr;1;2;144;No
jocha;1;1;125;No
Sofia Gk;1;2;115;No
LocoStylexD;0;0;0;No
AngelStylexD;0;0;0;No
FrikyStylexD;0;0;0;No
Drawoh PL;0;0;0;No
MICHAEL RH;0;0;0;No
Dj Tauro;0;0;0;No
Dracula 07;0;1;0;No
cris100413 2;0;0;0;No
Inmortal76;0;0;0;No
cris100413;0;0;0;No
elmanolillo;0;0;0;No
