IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1809056253;uufirman;RANK3;95149610;95149610;0;6096514;6096514;0;
1798360495;Sofia Gk;RANK3;17971036;17512674;458362;72392;72392;0;
1747938272;JessicaJr;RANK3;16758914;16748914;10000;8244;8244;0;
1693201119;Alberto1040;RANK3;111663633;111663633;0;119648;119648;0;
1649828692;LocoStylexD;RANK3;146794775;146806187;-11412;52890;52890;0;
1487865382;ATIS TIRMA79;RANK3;840431264;840220620;210644;36510349;36510349;0;
1452901391;celestino1;RANK3;134870551;134593496;277055;156713;156713;0;
1436605171;Vegueta3;RANK3;290748111;290768543;-20432;5411534;5411534;0;
1318761538;ABORA;RANK3;1099730597;1099643620;86977;6197130;6197130;0;
1315391680;IsmakingII;RANK3;191564036;191134108;429928;2317388;2317388;0;
1289783798;AngelStylexD;RANK3;485159465;485228393;-68928;319063;319063;0;
1288474928;WarhammerR17;RANK4;33070603;33070603;0;26003;26003;0;
1286179845;el yerar 77;RANK3;201493151;201493151;0;478756;478756;0;
1280356327;Gabiot;RANK3;1427900823;1427873757;27066;12058496;12058496;0;
1273540823;SKACHAOS;RANK3;318108146;317718146;390000;13818107;13818107;0;
1264938001;GabyJr19;RANK3;32758003;32716003;42000;1489061;1489061;0;
1264083790;Leonidas17;RANK3;278961003;278742743;218260;1616531;1616531;0;
1263523353;FrikyStylexD;RANK4;693848838;692252740;1596098;1354857;1354857;0;
1250284273;Bizcochito 0;RANK3;101039433;101039433;0;20222;20222;0;
1246881260;Oskar78;RANK3;149970423;149920005;50418;1963481;1963481;0;
1241030674;Gerax 01;RANK4;842955213;842292072;663141;52609729;52609729;0;
1230161955;andy lugo;RANK3;459370608;459194776;175832;1711269;1711269;0;
1229977495;Dracula 07;RANK3;211923872;211923872;0;25013653;25013653;0;
1229947599;Tinaquillo 2;RANK3;234760969;227633093;7127876;3867363;3867363;0;
1229884598;chiquistriki;RANK4;924202168;922169837;2032331;12316949;12316949;0;
1229771516;jocha;RANK3;965704164;965344580;359584;7155074;7155074;0;
1229658326;noe26;RANK3;1015536758;1015133978;402780;16744327;16744327;0;
1228979362;Mariscal1;RANK4;886156088;886049864;106224;64400838;64400838;0;
1228923680;Isma King11;RANK4;420323200;420278688;44512;5873816;5873816;0;
1228920137;ESTREllA1284;RANK3;421597114;421597114;0;4115810;4115810;0;
1228741110;sikrio123;RANK3;962678546;962138546;540000;7801313;7801313;0;
1228643807;Segs33;RANK3;220486053;220485657;396;2152016;2152016;0;
1228601943;LordCarverus;RANK5;1200959704;1198989244;1970460;60992791;60992791;0;
1228405371;FelixJr 01;RANK3;35501674;35491114;10560;31448;31448;0;
1217886034;Migleon11;RANK3;334284438;334185054;99384;598411;598411;0;
1215153397;Jessica20a;RANK3;341167140;340986356;180784;13940901;13940901;0;
1214686639;Gabriela19a;RANK3;430059542;429904524;155018;12851145;12851145;0;
1210601117;ISIcomp;RANK3;461111620;461049220;62400;4911791;4911791;0;
1094265960;el triste;RANK3;442716146;442716146;0;4118820;4118820;0;
1093551696;BUSHUSHIMA;RANK3;836137988;836137988;0;9188420;9188420;0;
1089693730;celestiales2;RANK3;405514267;405472443;41824;2083650;2083650;0;
1084280285;LuckyFace;RANK3;282991619;282991619;0;12015475;12015475;0;
1028518720;Freya12;RANK4;371188568;371216106;-27538;4800561;4800473;88;
977140835;Alberto1010;RANK4;916161147;916097547;63600;9402111;9402111;0;
947731252;Biscochit0;RANK3;341387700;341387700;0;3985206;3985206;0;
942069046;Amores1;RANK3;444622823;444622823;0;2301648;2301648;0;
915867061;regulares 54;RANK3;327541900;327359136;182764;4364847;4364847;0;
859481983;VipZeus;RANK3;603223210;603258326;-35116;16211927;16211465;462;
854767302;EL TAQUITO;RANK3;110247948;109656430;591518;991182;940029;51153;
839472082;MICHAEL RH;RANK3;327659782;327659782;0;3942838;3942838;0;
823340341;Lord Free;RANK3;516519115;516383680;135435;15166777;15166777;0;
813413499;CamilaV;RANK4;670188645;670223095;-34450;11433266;11433266;0;
801443629;BLAS 2007;RANK1;654446460;652328231;2118229;111634366;111604365;30001;
741474930;Alberto1020;RANK3;446071102;446071102;0;2293048;2293048;0;
631374850;LordFelix18;RANK4;1345259853;1344994901;264952;133526056;133526056;0;
620363643;xXMRJUANYTXx;RANK3;45523022;45523022;0;5694860;5694860;0;
407737379;elmanolillo;RANK3;682338184;682338184;0;8624929;8624929;0;
