Name;Completed;Total;Score;Completed Bonus
Miguel1280;8;8;1171;No
G3MINIS 0;7;7;1111;No
Hh35;7;8;1100;No
Olli Stark;7;7;1068;No
QuieroPapa;7;7;1064;No
dariogrande1;6;6;914;No
TIBIRITABARA;8;8;896;No
the sniper 1;5;5;801;No
SC4RLETT;5;5;795;No
OdiseoV;4;4;652;No
LvkAs;4;4;652;No
john457;4;4;644;No
goto5;5;5;526;No
Teancum;3;4;479;No
Wakand4;3;3;471;No
LK PRESAGIOZ;2;3;326;No
DarkGh0st;2;3;322;No
WALK1NG;2;2;322;No
AAcua;2;2;287;No
Selvin502;1;3;165;No
NAirobi S;1;1;161;No
chinchulin72;1;3;152;No
GENNETHE ANN;0;0;0;No
Ave fenix a;0;0;0;No
MR REYESo;0;0;0;No
Acuabb;0;0;0;No
BurNmaXx;0;0;0;No
VileplumePy;0;0;0;No
LK MIKE;0;0;0;No
Espiachino;0;0;0;No
Juancho10;0;0;0;No
Kwan Hye;0;0;0;No
LauraEniith;0;0;0;No
Nime Mires;0;0;0;No
DrunkenDodo;0;0;0;No
Ant0n32;0;0;0;No
Iriz0o;0;0;0;No
Riccos;0;0;0;No
Riccoss;0;0;0;No
