IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1942394281;goto5;RANK1;299291512;298881799;409713;45337;45337;0;
1690068127;GENNETHE ANN;RANK2;219743118;219743118;0;5706412;5706412;0;
1269229262;Ave fenix a;RANK4;215498749;215555809;-57060;4551254;4551254;0;
935962995;MR REYESo;RANK1;471196806;471096006;100800;5947337;5947337;0;
858385000;Acuabb;RANK4;770826597;758752663;12073934;51887817;51887817;0;
831527482;john457;RANK1;251818403;251827187;-8784;9699364;9699364;0;
826891117;AAcua;RANK4;1433787085;1433895805;-108720;91843121;91843121;0;
813425406;BurNmaXx;RANK3;851738933;838160703;13578230;41106839;41086551;20288;
810374253;Hh35;RANK1;364969018;364744333;224685;8637509;8637509;0;
779995635;VileplumePy;RANK3;893773308;893679332;93976;82890926;82845153;45773;
682216602;QuieroPapa;RANK4;495575635;495563135;12500;370175;370175;0;
659564848;Wakand4;RANK4;1814294985;1814294985;0;374590964;374590964;0;
658651446;Miguel1280;RANK3;799988167;820367162;-20378995;15243312;15033308;210004;
654641598;the sniper 1;RANK3;755347328;752141273;3206055;4782052;4782052;0;
644473590;Teancum;RANK4;484559700;484559700;0;11071510;11071510;0;
628454710;DarkGh0st;RANK4;912967995;912907995;60000;15914439;15914439;0;
621819498;LK MIKE;RANK4;673675241;672723441;951800;54826806;54826806;0;
611013677;LK PRESAGIOZ;RANK4;460036797;460036797;0;18140187;18140187;0;
595251194;Espiachino;RANK3;1005480079;1005009746;470333;98271438;98271438;0;
589472506;Juancho10;RANK4;977034630;977034630;0;78510405;78510405;0;
580778867;NAirobi S;RANK3;378665594;378665594;0;3243892;3243892;0;
580744779;Kwan Hye;RANK3;265865684;265884952;-19268;1920205;1920205;0;
577228373;TIBIRITABARA;RANK3;708769929;708054069;715860;12569816;12569816;0;
570180193;LauraEniith;RANK4;1575700452;1575700452;0;44057826;44057826;0;
550385166;WALK1NG;RANK4;655949407;655949407;0;14117795;14117795;0;
513263597;Nime Mires;RANK3;1138715081;1142289542;-3574461;121612046;121574194;37852;
512364163;DrunkenDodo;RANK4;674602258;674602258;0;15290690;15290690;0;
470854130;Ant0n32;RANK3;528007099;528007099;0;7011605;7011605;0;
470722979;Iriz0o;RANK3;139269068;139269068;0;9628155;9628155;0;
466967758;LvkAs;RANK4;629752545;629743419;9126;36898651;36898651;0;
461027482;G3MINIS 0;RANK5;1005575932;1003664469;1911463;52722613;52722613;0;
442681641;SC4RLETT;RANK4;1650347320;1650347320;0;336109127;336109127;0;
421722522;Riccos;RANK4;1507639735;1507639735;0;69186339;69186339;0;
421714919;Riccoss;RANK4;1473556305;1473556305;0;74699746;74699746;0;
