Name;Completed;Total;Score;Completed Bonus
QuieroPapa;7;7;1135;No
Hh35;7;7;1127;No
AAcua;6;7;918;No
VileplumePy;3;3;483;No
Teancum;3;3;479;No
Miguel1280;3;4;471;No
TIBIRITABARA;3;5;397;No
goto5;2;2;330;No
MR REYESo;2;2;330;No
Espiachino;2;2;330;No
Ave fenix a;2;2;322;No
BurNmaXx;2;2;318;No
Nime Mires;2;2;318;No
Acuabb;1;1;165;No
LK PRESAGIOZ;1;1;161;No
GENNETHE ANN;0;0;0;No
john457;0;0;0;No
Wakand4;0;0;0;No
the sniper 1;0;1;0;No
DarkGh0st;0;0;0;No
LK MIKE;0;0;0;No
Juancho10;0;0;0;No
NAirobi S;0;0;0;No
Kwan Hye;0;0;0;No
LauraEniith;0;0;0;No
WALK1NG;0;0;0;No
DrunkenDodo;0;0;0;No
Ant0n32;0;0;0;No
Iriz0o;0;0;0;No
LvkAs;0;0;0;No
G3MINIS 0;0;0;0;No
SC4RLETT;0;0;0;No
Riccos;0;0;0;No
Riccoss;0;0;0;No
